table,setting,dataset,backbone,feature_dim,smoother,seed,val_acc,test_acc
table6,FeatFree-HOA,cora,gat,800,hoa,12345,81.53618621826172,84.49039459228516
table6,FeatFree-HOA,cora,gat,800,hoa,12346,86.1152114868164,83.75184631347656
table6,FeatFree-HOA,cora,gat,800,hoa,12347,84.0472640991211,84.93353271484375
table6,FeatFree-HOA,cora,gat,800,hoa,12348,85.81979370117188,83.4564208984375
table6,FeatFree-HOA,cora,gat,800,hoa,12349,84.0472640991211,83.3087158203125
table6,FeatFree-HOA,cora,gat,800,hoa,12350,83.16100311279297,83.3087158203125
table6,FeatFree-HOA,cora,gat,800,hoa,12351,84.93353271484375,85.81979370117188
table6,FeatFree-HOA,cora,gat,800,hoa,12352,85.37666320800781,84.0472640991211
table6,FeatFree-HOA,cora,gat,800,hoa,12353,82.42245483398438,85.22895050048828
table6,FeatFree-HOA,cora,gat,800,hoa,12354,83.3087158203125,86.41063690185547
table6,FeatFree-HOA,cora,gat,1600,hoa,12345,81.97931671142578,85.08123779296875
table6,FeatFree-HOA,cora,gat,1600,hoa,12346,86.1152114868164,83.60413360595703
table6,FeatFree-HOA,cora,gat,1600,hoa,12347,85.08123779296875,85.52436828613281
table6,FeatFree-HOA,cora,gat,1600,hoa,12348,87.14918518066406,84.49039459228516
table6,FeatFree-HOA,cora,gat,1600,hoa,12349,84.34268951416016,83.60413360595703
table6,FeatFree-HOA,cora,gat,1600,hoa,12350,83.4564208984375,84.93353271484375
table6,FeatFree-HOA,cora,gat,1600,hoa,12351,85.81979370117188,84.49039459228516
table6,FeatFree-HOA,cora,gat,1600,hoa,12352,85.08123779296875,84.49039459228516
table6,FeatFree-HOA,cora,gat,1600,hoa,12353,83.75184631347656,83.75184631347656
table6,FeatFree-HOA,cora,gat,1600,hoa,12354,84.78582000732422,86.85376739501953
table6,FeatFree-HOA,cora,gat,3200,hoa,12345,83.01329040527344,84.93353271484375
table6,FeatFree-HOA,cora,gat,3200,hoa,12346,87.2968978881836,85.22895050048828
table6,FeatFree-HOA,cora,gat,3200,hoa,12347,84.93353271484375,84.78582000732422
table6,FeatFree-HOA,cora,gat,3200,hoa,12348,87.44461059570312,84.93353271484375
table6,FeatFree-HOA,cora,gat,3200,hoa,12349,85.08123779296875,84.34268951416016
table6,FeatFree-HOA,cora,gat,3200,hoa,12350,83.75184631347656,83.01329040527344
table6,FeatFree-HOA,cora,gat,3200,hoa,12351,84.78582000732422,85.96749877929688
table6,FeatFree-HOA,cora,gat,3200,hoa,12352,85.52436828613281,85.37666320800781
table6,FeatFree-HOA,cora,gat,3200,hoa,12353,84.34268951416016,85.08123779296875
table6,FeatFree-HOA,cora,gat,3200,hoa,12354,84.19497680664062,85.96749877929688
table6,FeatFree-HOA,lastfm,gat,800,hoa,12345,89.32806396484375,88.19876098632812
table6,FeatFree-HOA,lastfm,gat,800,hoa,12346,88.4810791015625,88.98927307128906
table6,FeatFree-HOA,lastfm,gat,800,hoa,12347,88.65047454833984,88.87633514404297
table6,FeatFree-HOA,lastfm,gat,800,hoa,12348,88.53755187988281,89.21512603759766
table6,FeatFree-HOA,lastfm,gat,800,hoa,12349,89.21512603759766,86.90005493164062
table6,FeatFree-HOA,lastfm,gat,800,hoa,12350,88.08582305908203,89.38452911376953
table6,FeatFree-HOA,lastfm,gat,800,hoa,12351,88.14229583740234,88.08582305908203
table6,FeatFree-HOA,lastfm,gat,800,hoa,12352,87.972900390625,87.972900390625
table6,FeatFree-HOA,lastfm,gat,800,hoa,12353,88.70694732666016,87.12591552734375
table6,FeatFree-HOA,lastfm,gat,800,hoa,12354,89.38452911376953,87.52117156982422
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12345,89.38452911376953,87.63410186767578
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12346,88.02935791015625,88.81986999511719
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12347,88.5940170288086,88.93280792236328
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12348,88.4810791015625,88.81986999511719
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12349,88.70694732666016,86.78712463378906
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12350,87.80349731445312,88.36815643310547
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12351,87.91642761230469,88.02935791015625
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12352,87.57764434814453,88.08582305908203
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12353,88.31168365478516,87.46470642089844
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12354,89.1586685180664,87.57764434814453
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12345,89.27159881591797,87.80349731445312
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12346,88.65047454833984,88.98927307128906
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12347,88.76341247558594,88.08582305908203
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12348,88.76341247558594,89.38452911376953
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12349,88.93280792236328,86.56126403808594
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12350,88.08582305908203,88.93280792236328
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12351,88.08582305908203,88.70694732666016
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12352,88.08582305908203,87.972900390625
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12353,88.4810791015625,87.52117156982422
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12354,89.77978515625,87.46470642089844
table6,FeatFree-HOA,citeseer,gat,800,hoa,12345,69.47115325927734,71.39423370361328
table6,FeatFree-HOA,citeseer,gat,800,hoa,12346,64.42308044433594,64.78365325927734
table6,FeatFree-HOA,citeseer,gat,800,hoa,12347,65.74519348144531,63.94230651855469
table6,FeatFree-HOA,citeseer,gat,800,hoa,12348,65.625,65.2644271850586
table6,FeatFree-HOA,citeseer,gat,800,hoa,12349,62.86057662963867,64.66346740722656
table6,FeatFree-HOA,citeseer,gat,800,hoa,12350,62.980770111083984,63.94230651855469
table6,FeatFree-HOA,citeseer,gat,800,hoa,12351,65.74519348144531,63.1009635925293
table6,FeatFree-HOA,citeseer,gat,800,hoa,12352,70.67308044433594,68.26923370361328
table6,FeatFree-HOA,citeseer,gat,800,hoa,12353,67.30769348144531,66.70673370361328
table6,FeatFree-HOA,citeseer,gat,800,hoa,12354,68.14904022216797,68.99038696289062
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12345,70.55288696289062,70.79327392578125
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12346,68.5096206665039,67.54808044433594
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12347,70.3125,67.66827392578125
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12348,71.75481414794922,69.59134674072266
