backbone,true_class,pred_class,count
gcn,0,0,0
gcn,0,1,6
gcn,0,2,14
gcn,0,3,28
gcn,0,4,169
gcn,1,0,2
gcn,1,1,7
gcn,1,2,25
gcn,1,3,39
gcn,1,4,252
gcn,2,0,1
gcn,2,1,13
gcn,2,2,27
gcn,2,3,53
gcn,2,4,318
gcn,3,0,1
gcn,3,1,14
gcn,3,2,21
gcn,3,3,59
gcn,3,4,376
gcn,4,0,1
gcn,4,1,22
gcn,4,2,34
gcn,4,3,58
gcn,4,4,360
sage,0,0,0
sage,0,1,1
sage,0,2,1
sage,0,3,135
sage,0,4,80
sage,1,0,0
sage,1,1,7
sage,1,2,0
sage,1,3,206
sage,1,4,112
sage,2,0,0
sage,2,1,2
sage,2,2,5
sage,2,3,245
sage,2,4,160
sage,3,0,0
sage,3,1,4
sage,3,2,2
sage,3,3,275
sage,3,4,190
sage,4,0,0
sage,4,1,3
sage,4,2,2
sage,4,3,269
sage,4,4,201
gat,0,0,1
gat,0,1,0
gat,0,2,2
gat,0,3,128
gat,0,4,86
gat,1,0,0
gat,1,1,6
gat,1,2,4
gat,1,3,189
gat,1,4,126
gat,2,0,0
gat,2,1,2
gat,2,2,5
gat,2,3,232
gat,2,4,173
gat,3,0,0
gat,3,1,4
gat,3,2,2
gat,3,3,263
gat,3,4,202
gat,4,0,0
gat,4,1,2
gat,4,2,5
gat,4,3,265
gat,4,4,203
