method,backbone,pipeline,candidate_id,source_job_dir,repeat_id,seed,best_epoch,epochs_ran,test_n,num_classes,global_majority_class,global_majority_class_count,global_node_count,majority_class_test_count,majority_baseline_accuracy_pct,test_accuracy_pct,predicted_majority_count,predicted_majority_share_pct,dominant_predicted_class,dominant_predicted_count,dominant_predicted_share_pct,dominant_matches_global_majority,mean_max_probability_pct,correct_predictions,elapsed_sec
LPGNN,gcn,figure3_pipeline1,240,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,1,12346,59,209,1900,5,4,1965,7600,497,26.157894736842106,26.105263157894736,1884,99.15789473684211,4,1884,99.15789473684211,1,24.212323129177094,496,5.424523830413818
LPGNN,gcn,figure3_pipeline1,240,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,8,12353,42,192,1900,5,4,1965,7600,487,25.63157894736842,24.31578947368421,1423,74.89473684210526,4,1423,74.89473684210526,1,24.764230847358704,462,2.5998458862304688
LPGNN,gcn,figure3_pipeline1,240,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,15,12360,67,217,1900,5,4,1965,7600,466,24.526315789473685,24.526315789473685,1888,99.36842105263158,4,1888,99.36842105263158,1,24.40236359834671,466,2.8920137882232666
LPGNN,gcn,figure3_pipeline1,240,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,22,12367,50,200,1900,5,4,1965,7600,534,28.105263157894736,27.526315789473685,1627,85.63157894736842,4,1627,85.63157894736842,1,23.224030435085297,523,2.5673811435699463
LPGNN,gcn,figure3_pipeline1,240,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,29,12374,47,197,1900,5,4,1965,7600,509,26.789473684210527,26.789473684210527,1863,98.05263157894737,4,1863,98.05263157894737,1,25.324440002441406,509,2.5059165954589844
LPGNN,sage,figure3_pipeline1,178,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/sage/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,6,12351,135,285,1900,5,4,1965,7600,490,25.789473684210527,25.94736842105263,1434,75.47368421052632,4,1434,75.47368421052632,1,25.94296932220459,493,2.810746669769287
LPGNN,sage,figure3_pipeline1,178,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/sage/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,13,12358,36,186,1900,5,4,1965,7600,481,25.31578947368421,24.894736842105264,1766,92.94736842105263,4,1766,92.94736842105263,1,27.379032969474792,473,1.9580132961273193
LPGNN,sage,figure3_pipeline1,178,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/sage/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,20,12365,47,197,1900,5,4,1965,7600,493,25.94736842105263,24.36842105263158,1150,60.526315789473685,4,1150,60.526315789473685,1,26.568856835365295,463,1.8692028522491455
LPGNN,sage,figure3_pipeline1,178,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/sage/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,27,12372,207,357,1900,5,4,1965,7600,462,24.31578947368421,23.736842105263158,1720,90.52631578947368,4,1720,90.52631578947368,1,27.309101819992065,451,3.6883459091186523
LPGNN,gat,figure3_pipeline1,168,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gat/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gat/use_nfr=false,4,12349,118,268,1900,5,4,1965,7600,486,25.57894736842105,25.263157894736842,1831,96.36842105263158,4,1831,96.36842105263158,1,30.225610733032227,480,5.821863889694214
LPGNN,gat,figure3_pipeline1,168,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gat/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gat/use_nfr=false,11,12356,293,443,1900,5,4,1965,7600,495,26.05263157894737,26.157894736842106,1256,66.10526315789474,4,1256,66.10526315789474,1,26.99308693408966,497,9.285926580429077
LPGNN,gat,figure3_pipeline1,168,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gat/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gat/use_nfr=false,18,12363,5,155,1900,5,4,1965,7600,486,25.57894736842105,26.105263157894736,1846,97.15789473684211,4,1846,97.15789473684211,1,55.87102770805359,496,3.0991146564483643
LPGNN,gat,figure3_pipeline1,168,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gat/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gat/use_nfr=false,25,12370,322,472,1900,5,4,1965,7600,462,24.31578947368421,23.0,1167,61.421052631578945,4,1167,61.421052631578945,1,26.215890049934387,437,9.229460716247559
PrivGE,gcn,figure3_pipeline2,234,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline2.yaml/dataset=actor/feature=raw/mechanism=hds/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,2,12347,10,160,1900,5,4,1965,7600,483,25.42105263157895,25.42105263157895,1889,99.42105263157895,4,1889,99.42105263157895,1,32.58826434612274,483,2.275460720062256
PrivGE,gcn,figure3_pipeline2,234,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline2.yaml/dataset=actor/feature=raw/mechanism=hds/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,9,12354,334,484,1900,5,4,1965,7600,516,27.157894736842106,27.157894736842106,1844,97.05263157894737,4,1844,97.05263157894737,1,24.714714288711548,516,5.898895025253296
