method,backbone,n_runs,predicted_majority_share_pct_mean,predicted_majority_share_pct_std,test_accuracy_pct_mean,test_accuracy_pct_std,majority_baseline_accuracy_pct_mean,dominant_matches_majority_runs
LPGNN,gcn,30,90.259649,12.356819,25.577193,1.195758,25.819298,29
LPGNN,sage,30,74.635088,19.731660,25.252632,0.988461,25.819298,26
LPGNN,gat,30,73.478947,24.017766,25.171930,1.362961,25.819298,25
PrivGE,gcn,30,85.805263,22.831310,25.407018,1.150026,25.819298,27
PrivGE,sage,30,78.529825,20.128254,25.540351,1.361629,25.819298,27
PrivGE,gat,30,76.798246,22.255543,25.250877,1.223960,25.819298,27
UPGNet-MBM,gcn,30,77.952632,27.338272,25.466667,1.248458,25.819298,26
UPGNet-MBM,sage,30,82.533333,16.268051,25.529825,1.309490,25.819298,29
UPGNet-MBM,gat,30,85.877193,18.694958,25.335088,1.197195,25.819298,28
UPGNet-PM,gcn,30,77.382456,27.706577,25.001754,1.459517,25.819298,25
UPGNet-PM,sage,30,75.003509,21.497393,25.429825,1.377333,25.819298,26
UPGNet-PM,gat,30,76.745614,21.462023,25.192982,1.232952,25.819298,27
FeatFree,gcn,30,67.491228,12.450957,25.300000,1.177620,25.819298,28
FeatFree,sage,30,73.928070,21.215065,25.407018,1.188663,25.819298,26
FeatFree,gat,30,80.975439,18.801453,25.471930,1.098935,25.819298,27
