K,d,repeat,seed,acc,rs_z_a,kla_z_l,kla_a_l,scale,learning_rate,weight_decay,dropout,job_dir,repeat_result_dir
0,4,0,12345,29.246675491333,0.038415643065,0.001258451773,0.047079462651,16,0.01,0,0.25,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1/final_repeat10
0,4,1,12346,35.745937347412,0.038418061712,0.002803423748,0.047079462651,16,0.01,0,0.25,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1/final_repeat10
0,4,2,12347,34.121124267578,0.038421886514,0.001787094537,0.047079462651,16,0.01,0,0.25,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1/final_repeat10
0,4,3,12348,32.348598480225,0.038426460626,0.001449696471,0.047079462651,16,0.01,0,0.25,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1/final_repeat10
0,4,4,12349,29.837518692017,0.038429322376,0.001012232282,0.047079462651,16,0.01,0,0.25,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1/final_repeat10
0,4,5,12350,28.064992904663,0.038427000102,0.001741602907,0.047079462651,16,0.01,0,0.25,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1/final_repeat10
0,4,6,12351,33.530281066895,0.038426496996,0.001440457771,0.047079462651,16,0.01,0,0.25,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1/final_repeat10
0,4,7,12352,33.087150573730,0.038413232204,0.001585621442,0.047079462651,16,0.01,0,0.25,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1/final_repeat10
0,4,8,12353,35.302806854248,0.038421620196,0.001478446188,0.047079462651,16,0.01,0,0.25,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1/final_repeat10
0,4,9,12354,31.166912078857,0.038421538450,0.002269274092,0.047079462651,16,0.01,0,0.25,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1,/data/hzw/Rethinking_DP_GNN_runtime/paper_experiments/figure10/x_steps=0.yaml/dataset=cora/feature=random_normal/feature_dim=4/scale=16/random_normal_mean=0/random_normal_std=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/sanity_check=true/node_ratio=1/final_repeat10
