task_id,pool,label,status,attempts,return_code,seconds,last_log_path,error_message
repeat10_K=0_d=512,repeat10,K=0 d=512,completed,1,0,31.243741,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=0_d=512_attempt_1.log,
repeat10_K=0_d=256,repeat10,K=0 d=256,completed,1,0,33.348731,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=0_d=256_attempt_1.log,
repeat10_K=0_d=64,repeat10,K=0 d=64,completed,1,0,36.556103,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=0_d=64_attempt_1.log,
repeat10_K=0_d=4,repeat10,K=0 d=4,completed,1,0,37.961836,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=0_d=4_attempt_1.log,
repeat10_K=0_d=128,repeat10,K=0 d=128,completed,1,0,37.458137,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=0_d=128_attempt_1.log,
repeat10_K=0_d=16,repeat10,K=0 d=16,completed,1,0,39.865212,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=0_d=16_attempt_1.log,
repeat10_K=0_d=32,repeat10,K=0 d=32,completed,1,0,39.764824,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=0_d=32_attempt_1.log,
repeat10_K=0_d=2048,repeat10,K=0 d=2048,completed,1,0,39.158615,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=0_d=2048_attempt_1.log,
repeat10_K=0_d=8,repeat10,K=0 d=8,completed,1,0,42.172112,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=0_d=8_attempt_1.log,
repeat10_K=0_d=1024,repeat10,K=0 d=1024,completed,1,0,44.469838,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=0_d=1024_attempt_1.log,
repeat10_K=0_d=8192,repeat10,K=0 d=8192,completed,1,0,32.352439,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=0_d=8192_attempt_1.log,
repeat10_K=0_d=4096,repeat10,K=0 d=4096,completed,1,0,44.374060,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=0_d=4096_attempt_1.log,
repeat10_K=2_d=16,repeat10,K=2 d=16,completed,1,0,39.160246,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=2_d=16_attempt_1.log,
repeat10_K=2_d=128,repeat10,K=2 d=128,completed,1,0,34.069063,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=2_d=128_attempt_1.log,
repeat10_K=2_d=64,repeat10,K=2 d=64,completed,1,0,39.178757,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=2_d=64_attempt_1.log,
repeat10_K=2_d=8,repeat10,K=2 d=8,completed,1,0,42.386966,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=2_d=8_attempt_1.log,
repeat10_K=2_d=256,repeat10,K=2 d=256,completed,1,0,18.149462,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=2_d=256_attempt_1.log,
repeat10_K=0_d=16384,repeat10,K=0 d=16384,completed,1,0,57.514060,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=0_d=16384_attempt_1.log,
repeat10_K=2_d=32,repeat10,K=2 d=32,completed,1,0,54.204034,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=2_d=32_attempt_1.log,
repeat10_K=2_d=4,repeat10,K=2 d=4,completed,1,0,57.513460,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=2_d=4_attempt_1.log,
repeat10_K=2_d=512,repeat10,K=2 d=512,completed,1,0,22.256556,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=2_d=512_attempt_1.log,
repeat10_K=2_d=2048,repeat10,K=2 d=2048,completed,1,0,24.139431,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=2_d=2048_attempt_1.log,
repeat10_K=2_d=1024,repeat10,K=2 d=1024,completed,1,0,28.246856,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=2_d=1024_attempt_1.log,
repeat10_K=2_d=8192,repeat10,K=2 d=8192,completed,1,0,29.145779,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=2_d=8192_attempt_1.log,
repeat10_K=0_d=32768,repeat10,K=0 d=32768,completed,1,0,74.642924,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=0_d=32768_attempt_1.log,
repeat10_K=2_d=4096,repeat10,K=2 d=4096,completed,1,0,46.172645,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=2_d=4096_attempt_1.log,
repeat10_K=2_d=16384,repeat10,K=2 d=16384,completed,1,0,45.169549,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=2_d=16384_attempt_1.log,
repeat10_K=4_d=128,repeat10,K=4 d=128,completed,1,0,25.035143,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=4_d=128_attempt_1.log,
repeat10_K=4_d=16,repeat10,K=4 d=16,completed,1,0,41.060122,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=4_d=16_attempt_1.log,
repeat10_K=4_d=64,repeat10,K=4 d=64,completed,1,0,32.046440,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=4_d=64_attempt_1.log,
repeat10_K=4_d=256,repeat10,K=4 d=256,completed,1,0,27.036379,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=4_d=256_attempt_1.log,
repeat10_K=4_d=8,repeat10,K=4 d=8,completed,1,0,46.340256,/home/hzw/Rethinking_DP_GNN/final_data/figure10/repeat10_logs/K=4_d=8_attempt_1.log,
