rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,10,0,0.01,0.01,0.25,none,83.4564208984,0,83.4564208984,83.4564208984,83.1610031128,0,83.1610031128,83.1610031128,1
2,11,0,0.01,0.01,0.5,none,83.3087158203,0,83.3087158203,83.3087158203,83.3087158203,0,83.3087158203,83.3087158203,1
3,1,0,0.01,0,0.25,none,83.1610031128,0,83.1610031128,83.1610031128,82.7178726196,0,82.7178726196,82.7178726196,1
4,6,0,0.01,0.0001,0.75,none,83.1610031128,0,83.1610031128,83.1610031128,82.422454834,0,82.422454834,82.422454834,1
5,7,0,0.01,0.001,0.25,none,83.1610031128,0,83.1610031128,83.1610031128,82.7178726196,0,82.7178726196,82.7178726196,1
6,12,0,0.01,0.01,0.75,none,83.1610031128,0,83.1610031128,83.1610031128,82.8655853271,0,82.8655853271,82.8655853271,1
7,4,0,0.01,0.0001,0.25,none,83.0132904053,0,83.0132904053,83.0132904053,82.7178726196,0,82.7178726196,82.7178726196,1
8,9,0,0.01,0.001,0.75,none,83.0132904053,0,83.0132904053,83.0132904053,82.422454834,0,82.422454834,82.422454834,1
9,22,0,0.001,0.01,0.25,none,83.0132904053,0,83.0132904053,83.0132904053,83.1610031128,0,83.1610031128,83.1610031128,1
10,13,0,0.001,0,0.25,none,82.8655853271,0,82.8655853271,82.8655853271,82.8655853271,0,82.8655853271,82.8655853271,1
11,16,0,0.001,0.0001,0.25,none,82.8655853271,0,82.8655853271,82.8655853271,82.8655853271,0,82.8655853271,82.8655853271,1
12,19,0,0.001,0.001,0.25,none,82.8655853271,0,82.8655853271,82.8655853271,82.8655853271,0,82.8655853271,82.8655853271,1
13,3,0,0.01,0,0.75,none,82.7178726196,0,82.7178726196,82.7178726196,82.422454834,0,82.422454834,82.422454834,1
14,23,0,0.001,0.01,0.5,none,82.422454834,0,82.422454834,82.422454834,83.1610031128,0,83.1610031128,83.1610031128,1
15,2,0,0.01,0,0.5,none,82.2747421265,0,82.2747421265,82.2747421265,82.1270294189,0,82.1270294189,82.1270294189,1
16,5,0,0.01,0.0001,0.5,none,82.2747421265,0,82.2747421265,82.2747421265,82.1270294189,0,82.1270294189,82.1270294189,1
17,8,0,0.01,0.001,0.5,none,82.2747421265,0,82.2747421265,82.2747421265,82.1270294189,0,82.1270294189,82.1270294189,1
18,17,0,0.001,0.0001,0.5,none,82.2747421265,0,82.2747421265,82.2747421265,82.1270294189,0,82.1270294189,82.1270294189,1
19,14,0,0.001,0,0.5,none,81.9793167114,0,81.9793167114,81.9793167114,82.7178726196,0,82.7178726196,82.7178726196,1
20,20,0,0.001,0.001,0.5,none,81.9793167114,0,81.9793167114,81.9793167114,82.7178726196,0,82.7178726196,82.7178726196,1
21,24,0,0.001,0.01,0.75,none,81.9793167114,0,81.9793167114,81.9793167114,82.8655853271,0,82.8655853271,82.8655853271,1
22,21,0,0.001,0.001,0.75,none,81.8316116333,0,81.8316116333,81.8316116333,82.5701599121,0,82.5701599121,82.5701599121,1
23,15,0,0.001,0,0.75,none,81.6838989258,0,81.6838989258,81.6838989258,82.5701599121,0,82.5701599121,82.5701599121,1
24,18,0,0.001,0.0001,0.75,none,81.6838989258,0,81.6838989258,81.6838989258,82.7178726196,0,82.7178726196,82.7178726196,1
25,31,0,0.0001,0.001,0.25,none,72.8212738037,0,72.8212738037,72.8212738037,70.9010314941,0,70.9010314941,70.9010314941,1
26,25,0,0.0001,0,0.25,none,72.6735610962,0,72.6735610962,72.6735610962,70.9010314941,0,70.9010314941,70.9010314941,1
27,28,0,0.0001,0.0001,0.25,none,72.6735610962,0,72.6735610962,72.6735610962,70.9010314941,0,70.9010314941,70.9010314941,1
28,34,0,0.0001,0.01,0.25,none,72.6735610962,0,72.6735610962,72.6735610962,70.9010314941,0,70.9010314941,70.9010314941,1
29,35,0,0.0001,0.01,0.5,none,71.0487442017,0,71.0487442017,71.0487442017,70.3101959229,0,70.3101959229,70.3101959229,1
30,32,0,0.0001,0.001,0.5,none,70.753326416,0,70.753326416,70.753326416,70.457901001,0,70.457901001,70.457901001,1
31,26,0,0.0001,0,0.5,none,70.6056137085,0,70.6056137085,70.6056137085,70.457901001,0,70.457901001,70.457901001,1
32,29,0,0.0001,0.0001,0.5,none,70.6056137085,0,70.6056137085,70.6056137085,70.457901001,0,70.457901001,70.457901001,1
33,36,0,0.0001,0.01,0.75,none,68.8330841064,0,68.8330841064,68.8330841064,68.980796814,0,68.980796814,68.980796814,1
34,27,0,0.0001,0,0.75,none,68.3899536133,0,68.3899536133,68.3899536133,68.980796814,0,68.980796814,68.980796814,1
35,30,0,0.0001,0.0001,0.75,none,68.3899536133,0,68.3899536133,68.3899536133,68.980796814,0,68.980796814,68.980796814,1
36,33,0,0.0001,0.001,0.75,none,68.3899536133,0,68.3899536133,68.3899536133,68.8330841064,0,68.8330841064,68.8330841064,1
