rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,1,0,0.01,0,0.25,none,35.5982284546,0,35.5982284546,35.5982284546,30.2806491852,0,30.2806491852,30.2806491852,1
2,5,0,0.01,0.0001,0.5,none,35.0073852539,0,35.0073852539,35.0073852539,31.0192012787,0,31.0192012787,31.0192012787,1
3,2,0,0.01,0,0.5,none,34.5642547607,0,34.5642547607,34.5642547607,30.428358078,0,30.428358078,30.428358078,1
4,4,0,0.01,0.0001,0.25,none,34.5642547607,0,34.5642547607,34.5642547607,30.8714923859,0,30.8714923859,30.8714923859,1
5,7,0,0.01,0.001,0.25,none,34.5642547607,0,34.5642547607,34.5642547607,30.132938385,0,30.132938385,30.132938385,1
6,8,0,0.01,0.001,0.5,none,33.8257026672,0,33.8257026672,33.8257026672,31.0192012787,0,31.0192012787,31.0192012787,1
7,10,0,0.01,0.01,0.25,none,33.5302810669,0,33.5302810669,33.5302810669,29.837518692,0,29.837518692,29.837518692,1
8,22,0,0.001,0.01,0.25,none,31.7577533722,0,31.7577533722,31.7577533722,29.2466754913,0,29.2466754913,29.2466754913,1
9,13,0,0.001,0,0.25,none,31.314622879,0,31.314622879,31.314622879,28.951253891,0,28.951253891,28.951253891,1
10,19,0,0.001,0.001,0.25,none,31.314622879,0,31.314622879,31.314622879,28.6558322906,0,28.6558322906,28.6558322906,1
11,11,0,0.01,0.01,0.5,none,30.8714923859,0,30.8714923859,30.8714923859,28.8035449982,0,28.8035449982,28.8035449982,1
12,23,0,0.001,0.01,0.5,none,30.7237796783,0,30.7237796783,30.7237796783,28.360414505,0,28.360414505,28.360414505,1
13,9,0,0.01,0.001,0.75,none,30.5760707855,0,30.5760707855,30.5760707855,29.3943843842,0,29.3943843842,29.3943843842,1
14,17,0,0.001,0.0001,0.5,none,30.5760707855,0,30.5760707855,30.5760707855,28.5081233978,0,28.5081233978,28.5081233978,1
15,6,0,0.01,0.0001,0.75,none,30.428358078,0,30.428358078,30.428358078,29.2466754913,0,29.2466754913,29.2466754913,1
16,3,0,0.01,0,0.75,none,30.2806491852,0,30.2806491852,30.2806491852,29.2466754913,0,29.2466754913,29.2466754913,1
17,16,0,0.001,0.0001,0.25,none,29.9852275848,0,29.9852275848,29.9852275848,27.9172801971,0,27.9172801971,27.9172801971,1
18,12,0,0.01,0.01,0.75,none,29.837518692,0,29.837518692,29.837518692,28.8035449982,0,28.8035449982,28.8035449982,1
19,14,0,0.001,0,0.5,none,29.5420970917,0,29.5420970917,29.5420970917,28.2127017975,0,28.2127017975,28.2127017975,1
20,20,0,0.001,0.001,0.5,none,29.5420970917,0,29.5420970917,29.5420970917,28.2127017975,0,28.2127017975,28.2127017975,1
21,21,0,0.001,0.001,0.75,none,29.5420970917,0,29.5420970917,29.5420970917,28.2127017975,0,28.2127017975,28.2127017975,1
22,34,0,0.0001,0.01,0.25,none,29.5420970917,0,29.5420970917,29.5420970917,27.9172801971,0,27.9172801971,27.9172801971,1
23,15,0,0.001,0,0.75,none,29.3943843842,0,29.3943843842,29.3943843842,28.8035449982,0,28.8035449982,28.8035449982,1
24,28,0,0.0001,0.0001,0.25,none,29.3943843842,0,29.3943843842,29.3943843842,27.9172801971,0,27.9172801971,27.9172801971,1
25,31,0,0.0001,0.001,0.25,none,29.3943843842,0,29.3943843842,29.3943843842,27.7695713043,0,27.7695713043,27.7695713043,1
26,18,0,0.001,0.0001,0.75,none,29.2466754913,0,29.2466754913,29.2466754913,27.7695713043,0,27.7695713043,27.7695713043,1
27,26,0,0.0001,0,0.5,none,29.2466754913,0,29.2466754913,29.2466754913,28.951253891,0,28.951253891,28.951253891,1
28,35,0,0.0001,0.01,0.5,none,29.2466754913,0,29.2466754913,29.2466754913,28.6558322906,0,28.6558322906,28.6558322906,1
29,25,0,0.0001,0,0.25,none,29.0989665985,0,29.0989665985,29.0989665985,28.6558322906,0,28.6558322906,28.6558322906,1
30,29,0,0.0001,0.0001,0.5,none,29.0989665985,0,29.0989665985,29.0989665985,28.6558322906,0,28.6558322906,28.6558322906,1
31,32,0,0.0001,0.001,0.5,none,29.0989665985,0,29.0989665985,29.0989665985,28.6558322906,0,28.6558322906,28.6558322906,1
32,24,0,0.001,0.01,0.75,none,28.951253891,0,28.951253891,28.951253891,28.951253891,0,28.951253891,28.951253891,1
33,30,0,0.0001,0.0001,0.75,none,28.360414505,0,28.360414505,28.360414505,28.5081233978,0,28.5081233978,28.5081233978,1
34,33,0,0.0001,0.001,0.75,none,28.2127017975,0,28.2127017975,28.2127017975,28.6558322906,0,28.6558322906,28.6558322906,1
35,36,0,0.0001,0.01,0.75,none,28.2127017975,0,28.2127017975,28.2127017975,28.8035449982,0,28.8035449982,28.8035449982,1
36,27,0,0.0001,0,0.75,none,28.0649929047,0,28.0649929047,28.0649929047,28.2127017975,0,28.2127017975,28.2127017975,1
