rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,8,0,0.01,0.001,0.5,none,82.1270294189,0,82.1270294189,82.1270294189,84.9335327148,0,84.9335327148,84.9335327148,1
2,9,0,0.01,0.001,0.75,none,81.9793167114,0,81.9793167114,81.9793167114,84.3426895142,0,84.3426895142,84.3426895142,1
3,6,0,0.01,0.0001,0.75,none,81.8316116333,0,81.8316116333,81.8316116333,84.6381072998,0,84.6381072998,84.6381072998,1
4,3,0,0.01,0,0.75,none,81.6838989258,0,81.6838989258,81.6838989258,84.9335327148,0,84.9335327148,84.9335327148,1
5,5,0,0.01,0.0001,0.5,none,81.6838989258,0,81.6838989258,81.6838989258,84.9335327148,0,84.9335327148,84.9335327148,1
6,4,0,0.01,0.0001,0.25,none,81.3884811401,0,81.3884811401,81.3884811401,84.0472640991,0,84.0472640991,84.0472640991,1
7,7,0,0.01,0.001,0.25,none,81.3884811401,0,81.3884811401,81.3884811401,84.3426895142,0,84.3426895142,84.3426895142,1
8,1,0,0.01,0,0.25,none,81.0930557251,0,81.0930557251,81.0930557251,84.6381072998,0,84.6381072998,84.6381072998,1
9,2,0,0.01,0,0.5,none,81.0930557251,0,81.0930557251,81.0930557251,84.6381072998,0,84.6381072998,84.6381072998,1
10,10,0,0.01,0.01,0.25,none,68.0945358276,0,68.0945358276,68.0945358276,71.6395874023,0,71.6395874023,71.6395874023,1
11,11,0,0.01,0.01,0.5,none,67.0605621338,0,67.0605621338,67.0605621338,71.1964569092,0,71.1964569092,71.1964569092,1
12,12,0,0.01,0.01,0.75,none,64.6971969604,0,64.6971969604,64.6971969604,69.276222229,0,69.276222229,69.276222229,1
13,22,0,0.001,0.01,0.25,none,47.4150657654,0,47.4150657654,47.4150657654,47.5627746582,0,47.5627746582,47.5627746582,1
14,20,0,0.001,0.001,0.5,none,43.1314620972,0,43.1314620972,43.1314620972,41.0635147095,0,41.0635147095,41.0635147095,1
15,15,0,0.001,0,0.75,none,40.6203842163,0,40.6203842163,40.6203842163,39.4387016296,0,39.4387016296,39.4387016296,1
16,17,0,0.001,0.0001,0.5,none,40.324962616,0,40.324962616,40.324962616,40.1772537231,0,40.1772537231,40.1772537231,1
17,18,0,0.001,0.0001,0.75,none,40.324962616,0,40.324962616,40.324962616,39.1432800293,0,39.1432800293,39.1432800293,1
18,14,0,0.001,0,0.5,none,40.1772537231,0,40.1772537231,40.1772537231,40.0295410156,0,40.0295410156,40.0295410156,1
19,21,0,0.001,0.001,0.75,none,40.1772537231,0,40.1772537231,40.1772537231,40.0295410156,0,40.0295410156,40.0295410156,1
20,19,0,0.001,0.001,0.25,none,39.7341194153,0,39.7341194153,39.7341194153,38.4047279358,0,38.4047279358,38.4047279358,1
21,16,0,0.001,0.0001,0.25,none,39.2909889221,0,39.2909889221,39.2909889221,37.9615936279,0,37.9615936279,37.9615936279,1
22,13,0,0.001,0,0.25,none,39.1432800293,0,39.1432800293,39.1432800293,37.6661758423,0,37.6661758423,37.6661758423,1
23,23,0,0.001,0.01,0.5,none,38.7001457214,0,38.7001457214,38.7001457214,40.324962616,0,40.324962616,40.324962616,1
24,24,0,0.001,0.01,0.75,none,37.6661758423,0,37.6661758423,37.6661758423,39.1432800293,0,39.1432800293,39.1432800293,1
25,25,0,0.0001,0,0.25,none,15.0664691925,0,15.0664691925,15.0664691925,17.2821273804,0,17.2821273804,17.2821273804,1
26,26,0,0.0001,0,0.5,none,15.0664691925,0,15.0664691925,15.0664691925,17.2821273804,0,17.2821273804,17.2821273804,1
27,27,0,0.0001,0,0.75,none,15.0664691925,0,15.0664691925,15.0664691925,17.2821273804,0,17.2821273804,17.2821273804,1
28,28,0,0.0001,0.0001,0.25,none,15.0664691925,0,15.0664691925,15.0664691925,17.2821273804,0,17.2821273804,17.2821273804,1
29,29,0,0.0001,0.0001,0.5,none,15.0664691925,0,15.0664691925,15.0664691925,17.2821273804,0,17.2821273804,17.2821273804,1
30,30,0,0.0001,0.0001,0.75,none,15.0664691925,0,15.0664691925,15.0664691925,17.2821273804,0,17.2821273804,17.2821273804,1
31,31,0,0.0001,0.001,0.25,none,15.0664691925,0,15.0664691925,15.0664691925,17.2821273804,0,17.2821273804,17.2821273804,1
32,32,0,0.0001,0.001,0.5,none,15.0664691925,0,15.0664691925,15.0664691925,17.2821273804,0,17.2821273804,17.2821273804,1
33,33,0,0.0001,0.001,0.75,none,15.0664691925,0,15.0664691925,15.0664691925,17.2821273804,0,17.2821273804,17.2821273804,1
34,34,0,0.0001,0.01,0.25,none,15.0664691925,0,15.0664691925,15.0664691925,17.2821273804,0,17.2821273804,17.2821273804,1
35,35,0,0.0001,0.01,0.5,none,15.0664691925,0,15.0664691925,15.0664691925,17.2821273804,0,17.2821273804,17.2821273804,1
36,36,0,0.0001,0.01,0.75,none,15.0664691925,0,15.0664691925,15.0664691925,17.2821273804,0,17.2821273804,17.2821273804,1
