rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,12,0,0.01,0.01,0.75,none,61.5952720642,0,61.5952720642,61.5952720642,58.3456382751,0,58.3456382751,58.3456382751,1
2,15,0,0.001,0,0.75,none,57.3116645813,0,57.3116645813,57.3116645813,53.3234825134,0,53.3234825134,53.3234825134,1
3,18,0,0.001,0.0001,0.75,none,57.3116645813,0,57.3116645813,57.3116645813,53.3234825134,0,53.3234825134,53.3234825134,1
4,21,0,0.001,0.001,0.75,none,57.3116645813,0,57.3116645813,57.3116645813,53.1757774353,0,53.1757774353,53.1757774353,1
5,3,0,0.01,0,0.75,none,56.8685340881,0,56.8685340881,56.8685340881,55.0960121155,0,55.0960121155,55.0960121155,1
6,11,0,0.01,0.01,0.5,none,56.8685340881,0,56.8685340881,56.8685340881,53.9143257141,0,53.9143257141,53.9143257141,1
7,6,0,0.01,0.0001,0.75,none,56.72082901,0,56.72082901,56.72082901,55.0960121155,0,55.0960121155,55.0960121155,1
8,9,0,0.01,0.001,0.75,none,56.72082901,0,56.72082901,56.72082901,54.948299408,0,54.948299408,54.948299408,1
9,24,0,0.001,0.01,0.75,none,55.8345603943,0,55.8345603943,55.8345603943,52.5849342346,0,52.5849342346,52.5849342346,1
10,23,0,0.001,0.01,0.5,none,54.3574562073,0,54.3574562073,54.3574562073,50.3692741394,0,50.3692741394,50.3692741394,1
11,10,0,0.01,0.01,0.25,none,53.6189079285,0,53.6189079285,53.6189079285,49.4830131531,0,49.4830131531,49.4830131531,1
12,14,0,0.001,0,0.5,none,52.5849342346,0,52.5849342346,52.5849342346,48.7444610596,0,48.7444610596,48.7444610596,1
13,17,0,0.001,0.0001,0.5,none,52.5849342346,0,52.5849342346,52.5849342346,48.8921699524,0,48.8921699524,48.8921699524,1
14,20,0,0.001,0.001,0.5,none,52.4372215271,0,52.4372215271,52.4372215271,49.0398788452,0,49.0398788452,49.0398788452,1
15,22,0,0.001,0.01,0.25,none,50.6646995544,0,50.6646995544,50.6646995544,48.3013267517,0,48.3013267517,48.3013267517,1
16,8,0,0.01,0.001,0.5,none,50.3692741394,0,50.3692741394,50.3692741394,48.8921699524,0,48.8921699524,48.8921699524,1
17,5,0,0.01,0.0001,0.5,none,48.5967483521,0,48.5967483521,48.5967483521,46.6765136719,0,46.6765136719,46.6765136719,1
18,2,0,0.01,0,0.5,none,48.4490394592,0,48.4490394592,48.4490394592,46.3810920715,0,46.3810920715,46.3810920715,1
19,19,0,0.001,0.001,0.25,none,47.7104873657,0,47.7104873657,47.7104873657,45.3471183777,0,45.3471183777,45.3471183777,1
20,13,0,0.001,0,0.25,none,47.2673530579,0,47.2673530579,47.2673530579,45.642539978,0,45.642539978,45.642539978,1
21,16,0,0.001,0.0001,0.25,none,47.2673530579,0,47.2673530579,47.2673530579,45.3471183777,0,45.3471183777,45.3471183777,1
22,7,0,0.01,0.001,0.25,none,40.6203842163,0,40.6203842163,40.6203842163,39.5864105225,0,39.5864105225,39.5864105225,1
23,1,0,0.01,0,0.25,none,39.5864105225,0,39.5864105225,39.5864105225,38.5524368286,0,38.5524368286,38.5524368286,1
24,4,0,0.01,0.0001,0.25,none,39.5864105225,0,39.5864105225,39.5864105225,38.5524368286,0,38.5524368286,38.5524368286,1
25,31,0,0.0001,0.001,0.25,none,35.1550979614,0,35.1550979614,35.1550979614,33.8257026672,0,33.8257026672,33.8257026672,1
26,25,0,0.0001,0,0.25,none,34.8596763611,0,34.8596763611,34.8596763611,33.9734115601,0,33.9734115601,33.9734115601,1
27,28,0,0.0001,0.0001,0.25,none,34.8596763611,0,34.8596763611,34.8596763611,33.9734115601,0,33.9734115601,33.9734115601,1
28,34,0,0.0001,0.01,0.25,none,34.5642547607,0,34.5642547607,34.5642547607,33.8257026672,0,33.8257026672,33.8257026672,1
29,32,0,0.0001,0.001,0.5,none,33.0871505737,0,33.0871505737,33.0871505737,33.2348594666,0,33.2348594666,33.2348594666,1
30,26,0,0.0001,0,0.5,none,32.9394378662,0,32.9394378662,32.9394378662,33.2348594666,0,33.2348594666,33.2348594666,1
31,29,0,0.0001,0.0001,0.5,none,32.9394378662,0,32.9394378662,32.9394378662,33.2348594666,0,33.2348594666,33.2348594666,1
32,35,0,0.0001,0.01,0.5,none,32.496307373,0,32.496307373,32.496307373,32.3485984802,0,32.3485984802,32.3485984802,1
33,36,0,0.0001,0.01,0.75,none,30.428358078,0,30.428358078,30.428358078,29.9852275848,0,29.9852275848,29.9852275848,1
34,33,0,0.0001,0.001,0.75,none,30.132938385,0,30.132938385,30.132938385,30.5760707855,0,30.5760707855,30.5760707855,1
35,27,0,0.0001,0,0.75,none,29.837518692,0,29.837518692,29.837518692,30.428358078,0,30.428358078,30.428358078,1
36,30,0,0.0001,0.0001,0.75,none,29.837518692,0,29.837518692,29.837518692,30.5760707855,0,30.5760707855,30.5760707855,1
