rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,1,0,0.01,0,0.25,none,34.5642547607,0,34.5642547607,34.5642547607,33.2348594666,0,33.2348594666,33.2348594666,1
2,4,0,0.01,0.0001,0.25,none,34.5642547607,0,34.5642547607,34.5642547607,34.1211242676,0,34.1211242676,34.1211242676,1
3,5,0,0.01,0.0001,0.5,none,34.1211242676,0,34.1211242676,34.1211242676,32.9394378662,0,32.9394378662,32.9394378662,1
4,2,0,0.01,0,0.5,none,33.8257026672,0,33.8257026672,33.8257026672,33.5302810669,0,33.5302810669,33.5302810669,1
5,6,0,0.01,0.0001,0.75,none,33.8257026672,0,33.8257026672,33.8257026672,33.0871505737,0,33.0871505737,33.0871505737,1
6,13,0,0.001,0,0.25,none,33.8257026672,0,33.8257026672,33.8257026672,32.7917289734,0,32.7917289734,32.7917289734,1
7,7,0,0.01,0.001,0.25,none,33.6779899597,0,33.6779899597,33.6779899597,33.0871505737,0,33.0871505737,33.0871505737,1
8,15,0,0.001,0,0.75,none,33.6779899597,0,33.6779899597,33.6779899597,31.9054641724,0,31.9054641724,31.9054641724,1
9,16,0,0.001,0.0001,0.25,none,33.6779899597,0,33.6779899597,33.6779899597,33.0871505737,0,33.0871505737,33.0871505737,1
10,3,0,0.01,0,0.75,none,33.5302810669,0,33.5302810669,33.5302810669,33.9734115601,0,33.9734115601,33.9734115601,1
11,8,0,0.01,0.001,0.5,none,33.3825721741,0,33.3825721741,33.3825721741,32.7917289734,0,32.7917289734,32.7917289734,1
12,9,0,0.01,0.001,0.75,none,33.0871505737,0,33.0871505737,33.0871505737,32.3485984802,0,32.3485984802,32.3485984802,1
13,17,0,0.001,0.0001,0.5,none,33.0871505737,0,33.0871505737,33.0871505737,31.7577533722,0,31.7577533722,31.7577533722,1
14,14,0,0.001,0,0.5,none,32.9394378662,0,32.9394378662,32.9394378662,31.6100444794,0,31.6100444794,31.6100444794,1
15,19,0,0.001,0.001,0.25,none,32.7917289734,0,32.7917289734,32.7917289734,30.7237796783,0,30.7237796783,30.7237796783,1
16,26,0,0.0001,0,0.5,none,32.7917289734,0,32.7917289734,32.7917289734,31.1669120789,0,31.1669120789,31.1669120789,1
17,18,0,0.001,0.0001,0.75,none,32.6440200806,0,32.6440200806,32.6440200806,32.496307373,0,32.496307373,32.496307373,1
18,29,0,0.0001,0.0001,0.5,none,32.6440200806,0,32.6440200806,32.6440200806,31.1669120789,0,31.1669120789,31.1669120789,1
19,20,0,0.001,0.001,0.5,none,32.2008857727,0,32.2008857727,32.2008857727,32.6440200806,0,32.6440200806,32.6440200806,1
20,25,0,0.0001,0,0.25,none,32.2008857727,0,32.2008857727,32.2008857727,31.9054641724,0,31.9054641724,31.9054641724,1
21,28,0,0.0001,0.0001,0.25,none,32.0531768799,0,32.0531768799,32.0531768799,31.6100444794,0,31.6100444794,31.6100444794,1
22,31,0,0.0001,0.001,0.25,none,32.0531768799,0,32.0531768799,32.0531768799,30.7237796783,0,30.7237796783,30.7237796783,1
23,32,0,0.0001,0.001,0.5,none,31.9054641724,0,31.9054641724,31.9054641724,31.0192012787,0,31.0192012787,31.0192012787,1
24,21,0,0.001,0.001,0.75,none,31.7577533722,0,31.7577533722,31.7577533722,30.7237796783,0,30.7237796783,30.7237796783,1
25,10,0,0.01,0.01,0.25,none,31.6100444794,0,31.6100444794,31.6100444794,30.5760707855,0,30.5760707855,30.5760707855,1
26,11,0,0.01,0.01,0.5,none,31.314622879,0,31.314622879,31.314622879,30.8714923859,0,30.8714923859,30.8714923859,1
27,12,0,0.01,0.01,0.75,none,30.5760707855,0,30.5760707855,30.5760707855,30.7237796783,0,30.7237796783,30.7237796783,1
28,27,0,0.0001,0,0.75,none,30.5760707855,0,30.5760707855,30.5760707855,30.7237796783,0,30.7237796783,30.7237796783,1
29,30,0,0.0001,0.0001,0.75,none,30.5760707855,0,30.5760707855,30.5760707855,30.428358078,0,30.428358078,30.428358078,1
30,22,0,0.001,0.01,0.25,none,29.2466754913,0,29.2466754913,29.2466754913,29.3943843842,0,29.3943843842,29.3943843842,1
31,23,0,0.001,0.01,0.5,none,29.2466754913,0,29.2466754913,29.2466754913,29.3943843842,0,29.3943843842,29.3943843842,1
32,24,0,0.001,0.01,0.75,none,29.2466754913,0,29.2466754913,29.2466754913,29.3943843842,0,29.3943843842,29.3943843842,1
33,33,0,0.0001,0.001,0.75,none,29.2466754913,0,29.2466754913,29.2466754913,29.3943843842,0,29.3943843842,29.3943843842,1
34,34,0,0.0001,0.01,0.25,none,28.951253891,0,28.951253891,28.951253891,29.0989665985,0,29.0989665985,29.0989665985,1
35,35,0,0.0001,0.01,0.5,none,28.951253891,0,28.951253891,28.951253891,29.0989665985,0,29.0989665985,29.0989665985,1
36,36,0,0.0001,0.01,0.75,none,28.951253891,0,28.951253891,28.951253891,29.0989665985,0,29.0989665985,29.0989665985,1
