rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,8,0,0.01,0.001,0.5,none,44.3131446838,0,44.3131446838,44.3131446838,42.688331604,0,42.688331604,42.688331604,1
2,6,0,0.01,0.0001,0.75,none,43.7223052979,0,43.7223052979,43.7223052979,41.6543579102,0,41.6543579102,41.6543579102,1
3,3,0,0.01,0,0.75,none,43.5745925903,0,43.5745925903,43.5745925903,41.6543579102,0,41.6543579102,41.6543579102,1
4,5,0,0.01,0.0001,0.5,none,43.27917099,0,43.27917099,43.27917099,40.324962616,0,40.324962616,40.324962616,1
5,2,0,0.01,0,0.5,none,42.9837493896,0,42.9837493896,42.9837493896,40.324962616,0,40.324962616,40.324962616,1
6,9,0,0.01,0.001,0.75,none,42.5406188965,0,42.5406188965,42.5406188965,40.6203842163,0,40.6203842163,40.6203842163,1
7,7,0,0.01,0.001,0.25,none,41.802066803,0,41.802066803,41.802066803,39.1432800293,0,39.1432800293,39.1432800293,1
8,4,0,0.01,0.0001,0.25,none,40.7680931091,0,40.7680931091,40.7680931091,38.7001457214,0,38.7001457214,38.7001457214,1
9,1,0,0.01,0,0.25,none,40.324962616,0,40.324962616,40.324962616,38.5524368286,0,38.5524368286,38.5524368286,1
10,10,0,0.01,0.01,0.25,none,38.847858429,0,38.847858429,38.847858429,36.3367805481,0,36.3367805481,36.3367805481,1
11,13,0,0.001,0,0.25,none,37.8138847351,0,37.8138847351,37.8138847351,34.8596763611,0,34.8596763611,34.8596763611,1
12,11,0,0.01,0.01,0.5,none,37.5184631348,0,37.5184631348,37.5184631348,36.1890678406,0,36.1890678406,36.1890678406,1
13,12,0,0.01,0.01,0.75,none,37.5184631348,0,37.5184631348,37.5184631348,35.5982284546,0,35.5982284546,35.5982284546,1
14,16,0,0.001,0.0001,0.25,none,37.5184631348,0,37.5184631348,37.5184631348,34.7119636536,0,34.7119636536,34.7119636536,1
15,19,0,0.001,0.001,0.25,none,37.0753326416,0,37.0753326416,37.0753326416,34.8596763611,0,34.8596763611,34.8596763611,1
16,17,0,0.001,0.0001,0.5,none,35.5982284546,0,35.5982284546,35.5982284546,33.8257026672,0,33.8257026672,33.8257026672,1
17,14,0,0.001,0,0.5,none,35.4505157471,0,35.4505157471,35.4505157471,33.5302810669,0,33.5302810669,33.5302810669,1
18,20,0,0.001,0.001,0.5,none,35.4505157471,0,35.4505157471,35.4505157471,34.4165420532,0,34.4165420532,34.4165420532,1
19,22,0,0.001,0.01,0.25,none,33.8257026672,0,33.8257026672,33.8257026672,35.1550979614,0,35.1550979614,35.1550979614,1
20,15,0,0.001,0,0.75,none,33.2348594666,0,33.2348594666,33.2348594666,33.5302810669,0,33.5302810669,33.5302810669,1
21,18,0,0.001,0.0001,0.75,none,33.2348594666,0,33.2348594666,33.2348594666,33.8257026672,0,33.8257026672,33.8257026672,1
22,21,0,0.001,0.001,0.75,none,33.2348594666,0,33.2348594666,33.2348594666,33.8257026672,0,33.8257026672,33.8257026672,1
23,23,0,0.001,0.01,0.5,none,33.2348594666,0,33.2348594666,33.2348594666,34.2688331604,0,34.2688331604,34.2688331604,1
24,24,0,0.001,0.01,0.75,none,29.2466754913,0,29.2466754913,29.2466754913,28.951253891,0,28.951253891,28.951253891,1
25,28,0,0.0001,0.0001,0.25,none,26.2924671173,0,26.2924671173,26.2924671173,25.5539150238,0,25.5539150238,25.5539150238,1
26,34,0,0.0001,0.01,0.25,none,26.2924671173,0,26.2924671173,26.2924671173,26.2924671173,0,26.2924671173,26.2924671173,1
27,25,0,0.0001,0,0.25,none,26.1447544098,0,26.1447544098,26.1447544098,25.5539150238,0,25.5539150238,25.5539150238,1
28,31,0,0.0001,0.001,0.25,none,25.997045517,0,25.997045517,25.997045517,25.8493328094,0,25.8493328094,25.8493328094,1
29,35,0,0.0001,0.01,0.5,none,25.8493328094,0,25.8493328094,25.8493328094,25.7016239166,0,25.7016239166,25.7016239166,1
30,26,0,0.0001,0,0.5,none,25.7016239166,0,25.7016239166,25.7016239166,24.6676502228,0,24.6676502228,24.6676502228,1
31,29,0,0.0001,0.0001,0.5,none,25.5539150238,0,25.5539150238,25.5539150238,24.6676502228,0,24.6676502228,24.6676502228,1
32,32,0,0.0001,0.001,0.5,none,25.4062023163,0,25.4062023163,25.4062023163,24.8153610229,0,24.8153610229,24.8153610229,1
33,36,0,0.0001,0.01,0.75,none,24.8153610229,0,24.8153610229,24.8153610229,25.4062023163,0,25.4062023163,25.4062023163,1
34,33,0,0.0001,0.001,0.75,none,23.7813873291,0,23.7813873291,23.7813873291,24.5199394226,0,24.5199394226,24.5199394226,1
35,27,0,0.0001,0,0.75,none,23.6336765289,0,23.6336765289,23.6336765289,24.3722305298,0,24.3722305298,24.3722305298,1
36,30,0,0.0001,0.0001,0.75,none,23.6336765289,0,23.6336765289,23.6336765289,24.5199394226,0,24.5199394226,24.5199394226,1
