task_id,pool,label,status,attempts,return_code,seconds,last_log_path,error_message
grid_candidate_0004,grid,grid_candidate_0004,completed,1,0,16.285924,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_1/family1/shared/dataset=cora/feature=shared/feature_dim=200/shared_value=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0004_attempt_1.log,
grid_candidate_0003,grid,grid_candidate_0003,completed,1,0,16.689057,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_1/family1/shared/dataset=cora/feature=shared/feature_dim=200/shared_value=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0003_attempt_1.log,
grid_candidate_0002,grid,grid_candidate_0002,completed,1,0,16.894246,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_1/family1/shared/dataset=cora/feature=shared/feature_dim=200/shared_value=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0002_attempt_1.log,
grid_candidate_0008,grid,grid_candidate_0008,completed,1,0,16.485193,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_1/family1/shared/dataset=cora/feature=shared/feature_dim=200/shared_value=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0008_attempt_1.log,
grid_candidate_0001,grid,grid_candidate_0001,completed,1,0,17.399739,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_1/family1/shared/dataset=cora/feature=shared/feature_dim=200/shared_value=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0001_attempt_1.log,
grid_candidate_0007,grid,grid_candidate_0007,completed,1,0,16.789395,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_1/family1/shared/dataset=cora/feature=shared/feature_dim=200/shared_value=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0007_attempt_1.log,
grid_candidate_0005,grid,grid_candidate_0005,completed,1,0,17.197315,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_1/family1/shared/dataset=cora/feature=shared/feature_dim=200/shared_value=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0005_attempt_1.log,
grid_candidate_0011,grid,grid_candidate_0011,completed,1,0,16.887398,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_1/family1/shared/dataset=cora/feature=shared/feature_dim=200/shared_value=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0011_attempt_1.log,
grid_candidate_0006,grid,grid_candidate_0006,completed,1,0,17.501924,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_1/family1/shared/dataset=cora/feature=shared/feature_dim=200/shared_value=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0006_attempt_1.log,
grid_candidate_0009,grid,grid_candidate_0009,completed,1,0,17.401242,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_1/family1/shared/dataset=cora/feature=shared/feature_dim=200/shared_value=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0009_attempt_1.log,
