rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,47,4,0.01,0.01,0.5,none,84.6381072998,0,84.6381072998,84.6381072998,84.6381072998,0,84.6381072998,84.6381072998,1
2,83,8,0.01,0.01,0.5,none,84.0472640991,0,84.0472640991,84.0472640991,84.4903945923,0,84.4903945923,84.4903945923,1
3,23,2,0.001,0.01,0.5,none,83.899559021,0,83.899559021,83.899559021,84.0472640991,0,84.0472640991,84.0472640991,1
4,12,2,0.01,0.01,0.75,none,83.7518463135,0,83.7518463135,83.7518463135,83.899559021,0,83.899559021,83.899559021,1
5,46,4,0.01,0.01,0.25,none,83.7518463135,0,83.7518463135,83.7518463135,85.5243682861,0,85.5243682861,85.5243682861,1
6,48,4,0.01,0.01,0.75,none,83.7518463135,0,83.7518463135,83.7518463135,83.7518463135,0,83.7518463135,83.7518463135,1
7,150,32,0.01,0.0001,0.75,none,83.7518463135,0,83.7518463135,83.7518463135,84.1949768066,0,84.1949768066,84.1949768066,1
8,10,2,0.01,0.01,0.25,none,83.604133606,0,83.604133606,83.604133606,85.081237793,0,85.081237793,85.081237793,1
9,11,2,0.01,0.01,0.5,none,83.604133606,0,83.604133606,83.604133606,85.081237793,0,85.081237793,85.081237793,1
10,22,2,0.001,0.01,0.25,none,83.604133606,0,83.604133606,83.604133606,84.1949768066,0,84.1949768066,84.1949768066,1
11,58,4,0.001,0.01,0.25,none,83.604133606,0,83.604133606,83.604133606,85.6720809937,0,85.6720809937,85.6720809937,1
12,59,4,0.001,0.01,0.5,none,83.604133606,0,83.604133606,83.604133606,84.6381072998,0,84.6381072998,84.6381072998,1
13,118,16,0.01,0.01,0.25,none,83.604133606,0,83.604133606,83.604133606,84.4903945923,0,84.4903945923,84.4903945923,1
14,82,8,0.01,0.01,0.25,none,83.4564208984,0,83.4564208984,83.4564208984,85.081237793,0,85.081237793,85.081237793,1
15,84,8,0.01,0.01,0.75,none,83.4564208984,0,83.4564208984,83.4564208984,83.604133606,0,83.604133606,83.604133606,1
