rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,185,64,0.01,0.0001,0.5,none,83.1610031128,0,83.1610031128,83.1610031128,85.9674987793,0,85.9674987793,85.9674987793,1
2,77,8,0.01,0.0001,0.5,none,83.0132904053,0,83.0132904053,83.0132904053,85.2289505005,0,85.2289505005,85.2289505005,1
3,114,16,0.01,0.0001,0.75,none,83.0132904053,0,83.0132904053,83.0132904053,85.376663208,0,85.376663208,85.376663208,1
4,75,8,0.01,0,0.75,none,82.7178726196,0,82.7178726196,82.7178726196,85.8197937012,0,85.8197937012,85.8197937012,1
5,78,8,0.01,0.0001,0.75,none,82.7178726196,0,82.7178726196,82.7178726196,85.2289505005,0,85.2289505005,85.2289505005,1
6,111,16,0.01,0,0.75,none,82.7178726196,0,82.7178726196,82.7178726196,85.5243682861,0,85.5243682861,85.5243682861,1
7,149,32,0.01,0.0001,0.5,none,82.7178726196,0,82.7178726196,82.7178726196,85.6720809937,0,85.6720809937,85.6720809937,1
8,186,64,0.01,0.0001,0.75,none,82.7178726196,0,82.7178726196,82.7178726196,85.8197937012,0,85.8197937012,85.8197937012,1
9,73,8,0.01,0,0.25,none,82.5701599121,0,82.5701599121,82.5701599121,85.6720809937,0,85.6720809937,85.6720809937,1
10,113,16,0.01,0.0001,0.5,none,82.5701599121,0,82.5701599121,82.5701599121,85.5243682861,0,85.5243682861,85.5243682861,1
11,115,16,0.01,0.001,0.25,none,82.5701599121,0,82.5701599121,82.5701599121,85.8197937012,0,85.8197937012,85.8197937012,1
12,117,16,0.01,0.001,0.75,none,82.5701599121,0,82.5701599121,82.5701599121,85.2289505005,0,85.2289505005,85.2289505005,1
13,121,16,0.001,0,0.25,none,82.5701599121,0,82.5701599121,82.5701599121,84.9335327148,0,84.9335327148,84.9335327148,1
14,148,32,0.01,0.0001,0.25,none,82.5701599121,0,82.5701599121,82.5701599121,85.5243682861,0,85.5243682861,85.5243682861,1
15,39,4,0.01,0,0.75,none,82.422454834,0,82.422454834,82.422454834,85.081237793,0,85.081237793,85.081237793,1
16,42,4,0.01,0.0001,0.75,none,82.422454834,0,82.422454834,82.422454834,85.081237793,0,85.081237793,85.081237793,1
17,49,4,0.001,0,0.25,none,82.422454834,0,82.422454834,82.422454834,85.5243682861,0,85.5243682861,85.5243682861,1
18,76,8,0.01,0.0001,0.25,none,82.422454834,0,82.422454834,82.422454834,85.5243682861,0,85.5243682861,85.5243682861,1
19,85,8,0.001,0,0.25,none,82.422454834,0,82.422454834,82.422454834,85.081237793,0,85.081237793,85.081237793,1
20,110,16,0.01,0,0.5,none,82.422454834,0,82.422454834,82.422454834,85.5243682861,0,85.5243682861,85.5243682861,1
21,116,16,0.01,0.001,0.5,none,82.422454834,0,82.422454834,82.422454834,85.6720809937,0,85.6720809937,85.6720809937,1
22,122,16,0.001,0,0.5,none,82.422454834,0,82.422454834,82.422454834,85.081237793,0,85.081237793,85.081237793,1
23,150,32,0.01,0.0001,0.75,none,82.422454834,0,82.422454834,82.422454834,85.5243682861,0,85.5243682861,85.5243682861,1
24,151,32,0.01,0.001,0.25,none,82.422454834,0,82.422454834,82.422454834,84.9335327148,0,84.9335327148,84.9335327148,1
25,6,2,0.01,0.0001,0.75,none,82.2747421265,0,82.2747421265,82.2747421265,84.9335327148,0,84.9335327148,84.9335327148,1
26,37,4,0.01,0,0.25,none,82.2747421265,0,82.2747421265,82.2747421265,85.081237793,0,85.081237793,85.081237793,1
