rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,79,8,0.01,0.001,0.25,none,83.3087158203,0,83.3087158203,83.3087158203,85.081237793,0,85.081237793,85.081237793,1
2,80,8,0.01,0.001,0.5,none,83.1610031128,0,83.1610031128,83.1610031128,84.4903945923,0,84.4903945923,84.4903945923,1
3,81,8,0.01,0.001,0.75,none,83.0132904053,0,83.0132904053,83.0132904053,85.6720809937,0,85.6720809937,85.6720809937,1
4,43,4,0.01,0.001,0.25,none,82.8655853271,0,82.8655853271,82.8655853271,85.081237793,0,85.081237793,85.081237793,1
5,44,4,0.01,0.001,0.5,none,82.8655853271,0,82.8655853271,82.8655853271,85.081237793,0,85.081237793,85.081237793,1
6,73,8,0.01,0,0.25,none,82.8655853271,0,82.8655853271,82.8655853271,85.081237793,0,85.081237793,85.081237793,1
7,74,8,0.01,0,0.5,none,82.8655853271,0,82.8655853271,82.8655853271,84.7858200073,0,84.7858200073,84.7858200073,1
8,45,4,0.01,0.001,0.75,none,82.7178726196,0,82.7178726196,82.7178726196,84.7858200073,0,84.7858200073,84.7858200073,1
9,78,8,0.01,0.0001,0.75,none,82.7178726196,0,82.7178726196,82.7178726196,85.081237793,0,85.081237793,85.081237793,1
10,110,16,0.01,0,0.5,none,82.7178726196,0,82.7178726196,82.7178726196,85.2289505005,0,85.2289505005,85.2289505005,1
11,76,8,0.01,0.0001,0.25,none,82.5701599121,0,82.5701599121,82.5701599121,84.9335327148,0,84.9335327148,84.9335327148,1
12,109,16,0.01,0,0.25,none,82.5701599121,0,82.5701599121,82.5701599121,84.7858200073,0,84.7858200073,84.7858200073,1
13,75,8,0.01,0,0.75,none,82.422454834,0,82.422454834,82.422454834,85.376663208,0,85.376663208,85.376663208,1
14,77,8,0.01,0.0001,0.5,none,82.422454834,0,82.422454834,82.422454834,84.6381072998,0,84.6381072998,84.6381072998,1
15,8,2,0.01,0.001,0.5,none,82.2747421265,0,82.2747421265,82.2747421265,84.6381072998,0,84.6381072998,84.6381072998,1
16,112,16,0.01,0.0001,0.25,none,82.2747421265,0,82.2747421265,82.2747421265,84.3426895142,0,84.3426895142,84.3426895142,1
17,7,2,0.01,0.001,0.25,none,82.1270294189,0,82.1270294189,82.1270294189,84.7858200073,0,84.7858200073,84.7858200073,1
18,113,16,0.01,0.0001,0.5,none,82.1270294189,0,82.1270294189,82.1270294189,84.9335327148,0,84.9335327148,84.9335327148,1
19,9,2,0.01,0.001,0.75,none,81.9793167114,0,81.9793167114,81.9793167114,84.7858200073,0,84.7858200073,84.7858200073,1
20,114,16,0.01,0.0001,0.75,none,81.9793167114,0,81.9793167114,81.9793167114,85.2289505005,0,85.2289505005,85.2289505005,1
21,111,16,0.01,0,0.75,none,81.8316116333,0,81.8316116333,81.8316116333,84.9335327148,0,84.9335327148,84.9335327148,1
22,116,16,0.01,0.001,0.5,none,81.8316116333,0,81.8316116333,81.8316116333,83.604133606,0,83.604133606,83.604133606,1
23,115,16,0.01,0.001,0.25,none,81.2407684326,0,81.2407684326,81.2407684326,83.4564208984,0,83.4564208984,83.4564208984,1
24,39,4,0.01,0,0.75,none,81.0930557251,0,81.0930557251,81.0930557251,84.3426895142,0,84.3426895142,84.3426895142,1
25,42,4,0.01,0.0001,0.75,none,80.9453430176,0,80.9453430176,80.9453430176,83.7518463135,0,83.7518463135,83.7518463135,1
26,40,4,0.01,0.0001,0.25,none,80.7976379395,0,80.7976379395,80.7976379395,84.1949768066,0,84.1949768066,84.1949768066,1
27,117,16,0.01,0.001,0.75,none,80.7976379395,0,80.7976379395,80.7976379395,82.2747421265,0,82.2747421265,82.2747421265,1
28,38,4,0.01,0,0.5,none,80.5022125244,0,80.5022125244,80.5022125244,84.3426895142,0,84.3426895142,84.3426895142,1
29,149,32,0.01,0.0001,0.5,none,80.5022125244,0,80.5022125244,80.5022125244,82.8655853271,0,82.8655853271,82.8655853271,1
30,41,4,0.01,0.0001,0.5,none,80.3545074463,0,80.3545074463,80.3545074463,84.3426895142,0,84.3426895142,84.3426895142,1
31,148,32,0.01,0.0001,0.25,none,80.3545074463,0,80.3545074463,80.3545074463,81.9793167114,0,81.9793167114,81.9793167114,1
32,150,32,0.01,0.0001,0.75,none,80.3545074463,0,80.3545074463,80.3545074463,82.2747421265,0,82.2747421265,82.2747421265,1
33,4,2,0.01,0.0001,0.25,none,80.2067947388,0,80.2067947388,80.2067947388,83.4564208984,0,83.4564208984,83.4564208984,1
34,5,2,0.01,0.0001,0.5,none,80.0590820312,0,80.0590820312,80.0590820312,83.1610031128,0,83.1610031128,83.1610031128,1
35,146,32,0.01,0,0.5,none,80.0590820312,0,80.0590820312,80.0590820312,83.4564208984,0,83.4564208984,83.4564208984,1
36,145,32,0.01,0,0.25,none,79.9113769531,0,79.9113769531,79.9113769531,83.1610031128,0,83.1610031128,83.1610031128,1
37,147,32,0.01,0,0.75,none,79.9113769531,0,79.9113769531,79.9113769531,83.3087158203,0,83.3087158203,83.3087158203,1
38,37,4,0.01,0,0.25,none,79.7636642456,0,79.7636642456,79.7636642456,83.4564208984,0,83.4564208984,83.4564208984,1
39,181,64,0.01,0,0.25,none,78.7296905518,0,78.7296905518,78.7296905518,81.6838989258,0,81.6838989258,81.6838989258,1
40,6,2,0.01,0.0001,0.75,none,77.9911346436,0,77.9911346436,77.9911346436,82.422454834,0,82.422454834,82.422454834,1
41,3,2,0.01,0,0.75,none,77.4002914429,0,77.4002914429,77.4002914429,81.5361862183,0,81.5361862183,81.5361862183,1
42,2,2,0.01,0,0.5,none,75.9231872559,0,75.9231872559,75.9231872559,79.6159515381,0,79.6159515381,79.6159515381,1
43,151,32,0.01,0.001,0.25,none,75.6277694702,0,75.6277694702,75.6277694702,77.1048736572,0,77.1048736572,77.1048736572,1
44,152,32,0.01,0.001,0.5,none,75.6277694702,0,75.6277694702,75.6277694702,77.1048736572,0,77.1048736572,77.1048736572,1
45,86,8,0.001,0,0.5,none,75.1846389771,0,75.1846389771,75.1846389771,78.1388473511,0,78.1388473511,78.1388473511,1
46,1,2,0.01,0,0.25,none,75.0369262695,0,75.0369262695,75.0369262695,78.4342651367,0,78.4342651367,78.4342651367,1
47,49,4,0.001,0,0.25,none,75.0369262695,0,75.0369262695,75.0369262695,80.2067947388,0,80.2067947388,80.2067947388,1
48,52,4,0.001,0.0001,0.25,none,75.0369262695,0,75.0369262695,75.0369262695,80.2067947388,0,80.2067947388,80.2067947388,1
49,153,32,0.01,0.001,0.75,none,75.0369262695,0,75.0369262695,75.0369262695,75.9231872559,0,75.9231872559,75.9231872559,1
50,51,4,0.001,0,0.75,none,74.889213562,0,74.889213562,74.889213562,79.6159515381,0,79.6159515381,79.6159515381,1
51,85,8,0.001,0,0.25,none,74.889213562,0,74.889213562,74.889213562,77.9911346436,0,77.9911346436,77.9911346436,1
52,182,64,0.01,0,0.5,none,74.889213562,0,74.889213562,74.889213562,77.2525863647,0,77.2525863647,77.2525863647,1
53,88,8,0.001,0.0001,0.25,none,74.7415084839,0,74.7415084839,74.7415084839,77.9911346436,0,77.9911346436,77.9911346436,1
54,50,4,0.001,0,0.5,none,74.5937957764,0,74.5937957764,74.5937957764,79.4682388306,0,79.4682388306,79.4682388306,1
55,184,64,0.01,0.0001,0.25,none,74.5937957764,0,74.5937957764,74.5937957764,76.3663253784,0,76.3663253784,76.3663253784,1
56,53,4,0.001,0.0001,0.5,none,73.8552474976,0,73.8552474976,73.8552474976,78.8774032593,0,78.8774032593,78.8774032593,1
