rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,84,8,0.01,0.01,0.75,none,84.1949768066,0,84.1949768066,84.1949768066,84.4903945923,0,84.4903945923,84.4903945923,1
2,117,16,0.01,0.001,0.75,none,84.0472640991,0,84.0472640991,84.0472640991,85.5243682861,0,85.5243682861,85.5243682861,1
3,189,64,0.01,0.001,0.75,none,84.0472640991,0,84.0472640991,84.0472640991,82.8655853271,0,82.8655853271,82.8655853271,1
4,48,4,0.01,0.01,0.75,none,83.899559021,0,83.899559021,83.899559021,84.9335327148,0,84.9335327148,84.9335327148,1
5,190,64,0.01,0.01,0.25,none,83.899559021,0,83.899559021,83.899559021,85.081237793,0,85.081237793,85.081237793,1
6,12,2,0.01,0.01,0.75,none,83.7518463135,0,83.7518463135,83.7518463135,84.1949768066,0,84.1949768066,84.1949768066,1
7,119,16,0.01,0.01,0.5,none,83.7518463135,0,83.7518463135,83.7518463135,84.6381072998,0,84.6381072998,84.6381072998,1
8,153,32,0.01,0.001,0.75,none,83.7518463135,0,83.7518463135,83.7518463135,84.6381072998,0,84.6381072998,84.6381072998,1
9,60,4,0.001,0.01,0.75,none,83.604133606,0,83.604133606,83.604133606,84.1949768066,0,84.1949768066,84.1949768066,1
10,81,8,0.01,0.001,0.75,none,83.604133606,0,83.604133606,83.604133606,83.7518463135,0,83.7518463135,83.7518463135,1
11,83,8,0.01,0.01,0.5,none,83.604133606,0,83.604133606,83.604133606,85.9674987793,0,85.9674987793,85.9674987793,1
12,131,16,0.001,0.01,0.5,none,83.604133606,0,83.604133606,83.604133606,84.4903945923,0,84.4903945923,84.4903945923,1
13,155,32,0.01,0.01,0.5,none,83.604133606,0,83.604133606,83.604133606,85.8197937012,0,85.8197937012,85.8197937012,1
14,39,4,0.01,0,0.75,none,83.3087158203,0,83.3087158203,83.3087158203,83.4564208984,0,83.4564208984,83.4564208984,1
15,42,4,0.01,0.0001,0.75,none,83.3087158203,0,83.3087158203,83.3087158203,83.4564208984,0,83.4564208984,83.4564208984,1
16,45,4,0.01,0.001,0.75,none,83.3087158203,0,83.3087158203,83.3087158203,84.3426895142,0,84.3426895142,84.3426895142,1
17,75,8,0.01,0,0.75,none,83.3087158203,0,83.3087158203,83.3087158203,83.604133606,0,83.604133606,83.604133606,1
18,3,2,0.01,0,0.75,none,83.1610031128,0,83.1610031128,83.1610031128,84.1949768066,0,84.1949768066,84.1949768066,1
19,51,4,0.001,0,0.75,none,83.1610031128,0,83.1610031128,83.1610031128,84.1949768066,0,84.1949768066,84.1949768066,1
20,54,4,0.001,0.0001,0.75,none,83.1610031128,0,83.1610031128,83.1610031128,84.1949768066,0,84.1949768066,84.1949768066,1
21,57,4,0.001,0.001,0.75,none,83.1610031128,0,83.1610031128,83.1610031128,84.1949768066,0,84.1949768066,84.1949768066,1
22,78,8,0.01,0.0001,0.75,none,83.1610031128,0,83.1610031128,83.1610031128,83.3087158203,0,83.3087158203,83.3087158203,1
23,114,16,0.01,0.0001,0.75,none,83.1610031128,0,83.1610031128,83.1610031128,83.3087158203,0,83.3087158203,83.3087158203,1
24,118,16,0.01,0.01,0.25,none,83.1610031128,0,83.1610031128,83.1610031128,84.9335327148,0,84.9335327148,84.9335327148,1
25,120,16,0.01,0.01,0.75,none,83.1610031128,0,83.1610031128,83.1610031128,84.7858200073,0,84.7858200073,84.7858200073,1
26,132,16,0.001,0.01,0.75,none,83.1610031128,0,83.1610031128,83.1610031128,83.899559021,0,83.899559021,83.899559021,1
27,152,32,0.01,0.001,0.5,none,83.1610031128,0,83.1610031128,83.1610031128,84.3426895142,0,84.3426895142,84.3426895142,1
28,168,32,0.001,0.01,0.75,none,83.1610031128,0,83.1610031128,83.1610031128,84.1949768066,0,84.1949768066,84.1949768066,1
29,6,2,0.01,0.0001,0.75,none,83.0132904053,0,83.0132904053,83.0132904053,84.1949768066,0,84.1949768066,84.1949768066,1
30,96,8,0.001,0.01,0.75,none,83.0132904053,0,83.0132904053,83.0132904053,84.4903945923,0,84.4903945923,84.4903945923,1
31,111,16,0.01,0,0.75,none,83.0132904053,0,83.0132904053,83.0132904053,83.3087158203,0,83.3087158203,83.3087158203,1
32,147,32,0.01,0,0.75,none,83.0132904053,0,83.0132904053,83.0132904053,84.1949768066,0,84.1949768066,84.1949768066,1
33,156,32,0.01,0.01,0.75,none,83.0132904053,0,83.0132904053,83.0132904053,84.1949768066,0,84.1949768066,84.1949768066,1
34,191,64,0.01,0.01,0.5,none,83.0132904053,0,83.0132904053,83.0132904053,83.899559021,0,83.899559021,83.899559021,1
35,9,2,0.01,0.001,0.75,none,82.8655853271,0,82.8655853271,82.8655853271,84.6381072998,0,84.6381072998,84.6381072998,1
36,24,2,0.001,0.01,0.75,none,82.8655853271,0,82.8655853271,82.8655853271,83.899559021,0,83.899559021,83.899559021,1
37,82,8,0.01,0.01,0.25,none,82.8655853271,0,82.8655853271,82.8655853271,85.5243682861,0,85.5243682861,85.5243682861,1
38,93,8,0.001,0.001,0.75,none,82.8655853271,0,82.8655853271,82.8655853271,83.7518463135,0,83.7518463135,83.7518463135,1
39,94,8,0.001,0.01,0.25,none,82.8655853271,0,82.8655853271,82.8655853271,84.3426895142,0,84.3426895142,84.3426895142,1
40,95,8,0.001,0.01,0.5,none,82.8655853271,0,82.8655853271,82.8655853271,84.6381072998,0,84.6381072998,84.6381072998,1
41,150,32,0.01,0.0001,0.75,none,82.8655853271,0,82.8655853271,82.8655853271,84.0472640991,0,84.0472640991,84.0472640991,1
42,183,64,0.01,0,0.75,none,82.8655853271,0,82.8655853271,82.8655853271,83.1610031128,0,83.1610031128,83.1610031128,1
43,186,64,0.01,0.0001,0.75,none,82.8655853271,0,82.8655853271,82.8655853271,83.4564208984,0,83.4564208984,83.4564208984,1
44,192,64,0.01,0.01,0.75,none,82.8655853271,0,82.8655853271,82.8655853271,83.7518463135,0,83.7518463135,83.7518463135,1
45,11,2,0.01,0.01,0.5,none,82.7178726196,0,82.7178726196,82.7178726196,85.2289505005,0,85.2289505005,85.2289505005,1
46,46,4,0.01,0.01,0.25,none,82.7178726196,0,82.7178726196,82.7178726196,85.8197937012,0,85.8197937012,85.8197937012,1
47,87,8,0.001,0,0.75,none,82.7178726196,0,82.7178726196,82.7178726196,83.899559021,0,83.899559021,83.899559021,1
48,90,8,0.001,0.0001,0.75,none,82.7178726196,0,82.7178726196,82.7178726196,83.899559021,0,83.899559021,83.899559021,1
49,116,16,0.01,0.001,0.5,none,82.7178726196,0,82.7178726196,82.7178726196,84.0472640991,0,84.0472640991,84.0472640991,1
50,123,16,0.001,0,0.75,none,82.7178726196,0,82.7178726196,82.7178726196,84.1949768066,0,84.1949768066,84.1949768066,1
51,126,16,0.001,0.0001,0.75,none,82.7178726196,0,82.7178726196,82.7178726196,84.1949768066,0,84.1949768066,84.1949768066,1
52,129,16,0.001,0.001,0.75,none,82.7178726196,0,82.7178726196,82.7178726196,84.1949768066,0,84.1949768066,84.1949768066,1
53,130,16,0.001,0.01,0.25,none,82.7178726196,0,82.7178726196,82.7178726196,84.4903945923,0,84.4903945923,84.4903945923,1
54,154,32,0.01,0.01,0.25,none,82.7178726196,0,82.7178726196,82.7178726196,84.0472640991,0,84.0472640991,84.0472640991,1
