rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,202,64,0.001,0.01,0.25,none,83.0132904053,0,83.0132904053,83.0132904053,84.7858200073,0,84.7858200073,84.7858200073,1
2,205,64,0.0001,0,0.25,none,83.0132904053,0,83.0132904053,83.0132904053,85.376663208,0,85.376663208,85.376663208,1
3,208,64,0.0001,0.0001,0.25,none,83.0132904053,0,83.0132904053,83.0132904053,85.376663208,0,85.376663208,85.376663208,1
4,211,64,0.0001,0.001,0.25,none,83.0132904053,0,83.0132904053,83.0132904053,85.376663208,0,85.376663208,85.376663208,1
5,214,64,0.0001,0.01,0.25,none,83.0132904053,0,83.0132904053,83.0132904053,85.376663208,0,85.376663208,85.376663208,1
6,193,64,0.001,0,0.25,none,82.7178726196,0,82.7178726196,82.7178726196,85.2289505005,0,85.2289505005,85.2289505005,1
7,196,64,0.001,0.0001,0.25,none,82.7178726196,0,82.7178726196,82.7178726196,85.2289505005,0,85.2289505005,85.2289505005,1
8,199,64,0.001,0.001,0.25,none,82.7178726196,0,82.7178726196,82.7178726196,85.2289505005,0,85.2289505005,85.2289505005,1
9,206,64,0.0001,0,0.5,none,82.5701599121,0,82.5701599121,82.5701599121,85.2289505005,0,85.2289505005,85.2289505005,1
10,209,64,0.0001,0.0001,0.5,none,82.5701599121,0,82.5701599121,82.5701599121,85.2289505005,0,85.2289505005,85.2289505005,1
11,212,64,0.0001,0.001,0.5,none,82.5701599121,0,82.5701599121,82.5701599121,85.2289505005,0,85.2289505005,85.2289505005,1
12,215,64,0.0001,0.01,0.5,none,82.5701599121,0,82.5701599121,82.5701599121,85.376663208,0,85.376663208,85.376663208,1
13,169,32,0.0001,0,0.25,none,82.422454834,0,82.422454834,82.422454834,84.3426895142,0,84.3426895142,84.3426895142,1
14,172,32,0.0001,0.0001,0.25,none,82.422454834,0,82.422454834,82.422454834,84.3426895142,0,84.3426895142,84.3426895142,1
15,175,32,0.0001,0.001,0.25,none,82.422454834,0,82.422454834,82.422454834,84.4903945923,0,84.4903945923,84.4903945923,1
16,178,32,0.0001,0.01,0.25,none,82.2747421265,0,82.2747421265,82.2747421265,84.4903945923,0,84.4903945923,84.4903945923,1
17,194,64,0.001,0,0.5,none,82.2747421265,0,82.2747421265,82.2747421265,84.1949768066,0,84.1949768066,84.1949768066,1
18,197,64,0.001,0.0001,0.5,none,82.2747421265,0,82.2747421265,82.2747421265,84.1949768066,0,84.1949768066,84.1949768066,1
19,200,64,0.001,0.001,0.5,none,82.2747421265,0,82.2747421265,82.2747421265,84.1949768066,0,84.1949768066,84.1949768066,1
20,203,64,0.001,0.01,0.5,none,82.2747421265,0,82.2747421265,82.2747421265,84.6381072998,0,84.6381072998,84.6381072998,1
21,204,64,0.001,0.01,0.75,none,81.9793167114,0,81.9793167114,81.9793167114,84.0472640991,0,84.0472640991,84.0472640991,1
22,145,32,0.01,0,0.25,none,81.8316116333,0,81.8316116333,81.8316116333,83.1610031128,0,83.1610031128,83.1610031128,1
23,148,32,0.01,0.0001,0.25,none,81.8316116333,0,81.8316116333,81.8316116333,83.4564208984,0,83.4564208984,83.4564208984,1
24,151,32,0.01,0.001,0.25,none,81.8316116333,0,81.8316116333,81.8316116333,83.4564208984,0,83.4564208984,83.4564208984,1
25,195,64,0.001,0,0.75,none,81.8316116333,0,81.8316116333,81.8316116333,83.899559021,0,83.899559021,83.899559021,1
26,198,64,0.001,0.0001,0.75,none,81.8316116333,0,81.8316116333,81.8316116333,83.899559021,0,83.899559021,83.899559021,1
27,201,64,0.001,0.001,0.75,none,81.8316116333,0,81.8316116333,81.8316116333,83.899559021,0,83.899559021,83.899559021,1
28,154,32,0.01,0.01,0.25,none,81.5361862183,0,81.5361862183,81.5361862183,83.4564208984,0,83.4564208984,83.4564208984,1
29,166,32,0.001,0.01,0.25,none,81.5361862183,0,81.5361862183,81.5361862183,84.3426895142,0,84.3426895142,84.3426895142,1
30,179,32,0.0001,0.01,0.5,none,81.5361862183,0,81.5361862183,81.5361862183,84.4903945923,0,84.4903945923,84.4903945923,1
31,157,32,0.001,0,0.25,none,81.2407684326,0,81.2407684326,81.2407684326,83.7518463135,0,83.7518463135,83.7518463135,1
32,160,32,0.001,0.0001,0.25,none,81.2407684326,0,81.2407684326,81.2407684326,83.7518463135,0,83.7518463135,83.7518463135,1
33,163,32,0.001,0.001,0.25,none,81.2407684326,0,81.2407684326,81.2407684326,83.7518463135,0,83.7518463135,83.7518463135,1
34,170,32,0.0001,0,0.5,none,81.2407684326,0,81.2407684326,81.2407684326,84.6381072998,0,84.6381072998,84.6381072998,1
35,173,32,0.0001,0.0001,0.5,none,81.2407684326,0,81.2407684326,81.2407684326,84.6381072998,0,84.6381072998,84.6381072998,1
36,176,32,0.0001,0.001,0.5,none,81.2407684326,0,81.2407684326,81.2407684326,84.6381072998,0,84.6381072998,84.6381072998,1
37,167,32,0.001,0.01,0.5,none,81.0930557251,0,81.0930557251,81.0930557251,83.0132904053,0,83.0132904053,83.0132904053,1
38,207,64,0.0001,0,0.75,none,81.0930557251,0,81.0930557251,81.0930557251,83.604133606,0,83.604133606,83.604133606,1
39,210,64,0.0001,0.0001,0.75,none,81.0930557251,0,81.0930557251,81.0930557251,83.604133606,0,83.604133606,83.604133606,1
40,213,64,0.0001,0.001,0.75,none,81.0930557251,0,81.0930557251,81.0930557251,83.604133606,0,83.604133606,83.604133606,1
41,216,64,0.0001,0.01,0.75,none,81.0930557251,0,81.0930557251,81.0930557251,83.4564208984,0,83.4564208984,83.4564208984,1
42,158,32,0.001,0,0.5,none,80.7976379395,0,80.7976379395,80.7976379395,83.0132904053,0,83.0132904053,83.0132904053,1
43,161,32,0.001,0.0001,0.5,none,80.7976379395,0,80.7976379395,80.7976379395,83.0132904053,0,83.0132904053,83.0132904053,1
44,164,32,0.001,0.001,0.5,none,80.7976379395,0,80.7976379395,80.7976379395,83.0132904053,0,83.0132904053,83.0132904053,1
45,168,32,0.001,0.01,0.75,none,80.6499252319,0,80.6499252319,80.6499252319,83.0132904053,0,83.0132904053,83.0132904053,1
46,142,16,0.0001,0.01,0.25,none,80.5022125244,0,80.5022125244,80.5022125244,81.5361862183,0,81.5361862183,81.5361862183,1
47,48,4,0.01,0.01,0.75,none,80.3545074463,0,80.3545074463,80.3545074463,83.7518463135,0,83.7518463135,83.7518463135,1
48,12,2,0.01,0.01,0.75,none,80.2067947388,0,80.2067947388,80.2067947388,83.3087158203,0,83.3087158203,83.3087158203,1
49,130,16,0.001,0.01,0.25,none,80.2067947388,0,80.2067947388,80.2067947388,82.422454834,0,82.422454834,82.422454834,1
50,181,64,0.01,0,0.25,none,80.2067947388,0,80.2067947388,80.2067947388,83.604133606,0,83.604133606,83.604133606,1
51,184,64,0.01,0.0001,0.25,none,80.2067947388,0,80.2067947388,80.2067947388,83.604133606,0,83.604133606,83.604133606,1
52,133,16,0.0001,0,0.25,none,80.0590820312,0,80.0590820312,80.0590820312,81.5361862183,0,81.5361862183,81.5361862183,1
53,136,16,0.0001,0.0001,0.25,none,80.0590820312,0,80.0590820312,80.0590820312,81.5361862183,0,81.5361862183,81.5361862183,1
54,139,16,0.0001,0.001,0.25,none,80.0590820312,0,80.0590820312,80.0590820312,81.5361862183,0,81.5361862183,81.5361862183,1
55,159,32,0.001,0,0.75,none,80.0590820312,0,80.0590820312,80.0590820312,83.0132904053,0,83.0132904053,83.0132904053,1
56,162,32,0.001,0.0001,0.75,none,80.0590820312,0,80.0590820312,80.0590820312,83.0132904053,0,83.0132904053,83.0132904053,1
