rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,13,2,0.001,0,0.25,none,74.0029525757,0,74.0029525757,74.0029525757,72.8212738037,0,72.8212738037,72.8212738037,1
2,16,2,0.001,0.0001,0.25,none,74.0029525757,0,74.0029525757,74.0029525757,72.8212738037,0,72.8212738037,72.8212738037,1
3,19,2,0.001,0.001,0.25,none,74.0029525757,0,74.0029525757,74.0029525757,72.8212738037,0,72.8212738037,72.8212738037,1
4,22,2,0.001,0.01,0.25,none,74.0029525757,0,74.0029525757,74.0029525757,72.8212738037,0,72.8212738037,72.8212738037,1
5,37,4,0.01,0,0.25,none,72.230430603,0,72.230430603,72.230430603,75.6277694702,0,75.6277694702,75.6277694702,1
6,40,4,0.01,0.0001,0.25,none,72.230430603,0,72.230430603,72.230430603,75.6277694702,0,75.6277694702,75.6277694702,1
7,43,4,0.01,0.001,0.25,none,72.230430603,0,72.230430603,72.230430603,75.6277694702,0,75.6277694702,75.6277694702,1
8,46,4,0.01,0.01,0.25,none,72.230430603,0,72.230430603,72.230430603,76.0708999634,0,76.0708999634,76.0708999634,1
9,49,4,0.001,0,0.25,none,72.0827178955,0,72.0827178955,72.0827178955,71.4918746948,0,71.4918746948,71.4918746948,1
10,52,4,0.001,0.0001,0.25,none,72.0827178955,0,72.0827178955,72.0827178955,71.4918746948,0,71.4918746948,71.4918746948,1
11,55,4,0.001,0.001,0.25,none,72.0827178955,0,72.0827178955,72.0827178955,71.4918746948,0,71.4918746948,71.4918746948,1
12,58,4,0.001,0.01,0.25,none,72.0827178955,0,72.0827178955,72.0827178955,71.4918746948,0,71.4918746948,71.4918746948,1
13,85,8,0.001,0,0.25,none,71.4918746948,0,71.4918746948,71.4918746948,74.2983779907,0,74.2983779907,74.2983779907,1
14,88,8,0.001,0.0001,0.25,none,71.4918746948,0,71.4918746948,71.4918746948,74.2983779907,0,74.2983779907,74.2983779907,1
15,91,8,0.001,0.001,0.25,none,71.4918746948,0,71.4918746948,71.4918746948,74.2983779907,0,74.2983779907,74.2983779907,1
16,94,8,0.001,0.01,0.25,none,71.4918746948,0,71.4918746948,71.4918746948,74.2983779907,0,74.2983779907,74.2983779907,1
17,121,16,0.001,0,0.25,none,71.0487442017,0,71.0487442017,71.0487442017,71.0487442017,0,71.0487442017,71.0487442017,1
18,124,16,0.001,0.0001,0.25,none,71.0487442017,0,71.0487442017,71.0487442017,71.0487442017,0,71.0487442017,71.0487442017,1
19,127,16,0.001,0.001,0.25,none,71.0487442017,0,71.0487442017,71.0487442017,71.0487442017,0,71.0487442017,71.0487442017,1
20,130,16,0.001,0.01,0.25,none,71.0487442017,0,71.0487442017,71.0487442017,71.0487442017,0,71.0487442017,71.0487442017,1
21,8,2,0.01,0.001,0.5,none,70.9010314941,0,70.9010314941,70.9010314941,71.7873001099,0,71.7873001099,71.7873001099,1
22,5,2,0.01,0.0001,0.5,none,70.0147705078,0,70.0147705078,70.0147705078,71.6395874023,0,71.6395874023,71.6395874023,1
23,97,8,0.0001,0,0.25,none,69.7193527222,0,69.7193527222,69.7193527222,70.0147705078,0,70.0147705078,70.0147705078,1
24,100,8,0.0001,0.0001,0.25,none,69.7193527222,0,69.7193527222,69.7193527222,70.0147705078,0,70.0147705078,70.0147705078,1
25,103,8,0.0001,0.001,0.25,none,69.7193527222,0,69.7193527222,69.7193527222,70.0147705078,0,70.0147705078,70.0147705078,1
26,106,8,0.0001,0.01,0.25,none,69.5716400146,0,69.5716400146,69.5716400146,70.0147705078,0,70.0147705078,70.0147705078,1
27,11,2,0.01,0.01,0.5,none,69.4239273071,0,69.4239273071,69.4239273071,70.6056137085,0,70.6056137085,70.6056137085,1
28,14,2,0.001,0,0.5,none,69.4239273071,0,69.4239273071,69.4239273071,69.8670578003,0,69.8670578003,69.8670578003,1
29,17,2,0.001,0.0001,0.5,none,69.4239273071,0,69.4239273071,69.4239273071,69.8670578003,0,69.8670578003,69.8670578003,1
30,20,2,0.001,0.001,0.5,none,69.4239273071,0,69.4239273071,69.4239273071,69.8670578003,0,69.8670578003,69.8670578003,1
31,23,2,0.001,0.01,0.5,none,69.4239273071,0,69.4239273071,69.4239273071,69.8670578003,0,69.8670578003,69.8670578003,1
32,73,8,0.01,0,0.25,none,69.1285095215,0,69.1285095215,69.1285095215,73.2644042969,0,73.2644042969,73.2644042969,1
33,76,8,0.01,0.0001,0.25,none,69.1285095215,0,69.1285095215,69.1285095215,73.2644042969,0,73.2644042969,73.2644042969,1
34,79,8,0.01,0.001,0.25,none,69.1285095215,0,69.1285095215,69.1285095215,73.2644042969,0,73.2644042969,73.2644042969,1
35,82,8,0.01,0.01,0.25,none,69.1285095215,0,69.1285095215,69.1285095215,73.2644042969,0,73.2644042969,73.2644042969,1
36,38,4,0.01,0,0.5,none,68.3899536133,0,68.3899536133,68.3899536133,71.0487442017,0,71.0487442017,71.0487442017,1
37,41,4,0.01,0.0001,0.5,none,68.3899536133,0,68.3899536133,68.3899536133,71.0487442017,0,71.0487442017,71.0487442017,1
38,44,4,0.01,0.001,0.5,none,68.3899536133,0,68.3899536133,68.3899536133,71.0487442017,0,71.0487442017,71.0487442017,1
39,47,4,0.01,0.01,0.5,none,68.2422485352,0,68.2422485352,68.2422485352,72.8212738037,0,72.8212738037,72.8212738037,1
