rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,13,2,0.001,0,0.25,none,55.6868553162,0,55.6868553162,55.6868553162,50.2215614319,0,50.2215614319,50.2215614319,1
2,16,2,0.001,0.0001,0.25,none,55.6868553162,0,55.6868553162,55.6868553162,50.2215614319,0,50.2215614319,50.2215614319,1
3,19,2,0.001,0.001,0.25,none,55.6868553162,0,55.6868553162,55.6868553162,50.2215614319,0,50.2215614319,50.2215614319,1
4,22,2,0.001,0.01,0.25,none,55.6868553162,0,55.6868553162,55.6868553162,50.2215614319,0,50.2215614319,50.2215614319,1
5,49,4,0.001,0,0.25,none,53.7666130066,0,53.7666130066,53.7666130066,51.2555351257,0,51.2555351257,51.2555351257,1
6,52,4,0.001,0.0001,0.25,none,53.7666130066,0,53.7666130066,53.7666130066,51.2555351257,0,51.2555351257,51.2555351257,1
7,55,4,0.001,0.001,0.25,none,53.7666130066,0,53.7666130066,53.7666130066,51.2555351257,0,51.2555351257,51.2555351257,1
8,58,4,0.001,0.01,0.25,none,53.7666130066,0,53.7666130066,53.7666130066,51.2555351257,0,51.2555351257,51.2555351257,1
9,85,8,0.001,0,0.25,none,53.4711952209,0,53.4711952209,53.4711952209,49.4830131531,0,49.4830131531,49.4830131531,1
10,88,8,0.001,0.0001,0.25,none,53.4711952209,0,53.4711952209,53.4711952209,49.4830131531,0,49.4830131531,49.4830131531,1
11,91,8,0.001,0.001,0.25,none,53.4711952209,0,53.4711952209,53.4711952209,49.4830131531,0,49.4830131531,49.4830131531,1
12,94,8,0.001,0.01,0.25,none,53.4711952209,0,53.4711952209,53.4711952209,49.4830131531,0,49.4830131531,49.4830131531,1
13,73,8,0.01,0,0.25,none,52.4372215271,0,52.4372215271,52.4372215271,50.5169868469,0,50.5169868469,50.5169868469,1
14,76,8,0.01,0.0001,0.25,none,52.4372215271,0,52.4372215271,52.4372215271,50.5169868469,0,50.5169868469,50.5169868469,1
15,79,8,0.01,0.001,0.25,none,52.4372215271,0,52.4372215271,52.4372215271,50.5169868469,0,50.5169868469,50.5169868469,1
