rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,47,4,0.01,0.01,0.5,none,84.1949768066,0,84.1949768066,84.1949768066,84.6381072998,0,84.6381072998,84.6381072998,1
2,10,2,0.01,0.01,0.25,none,84.0472640991,0,84.0472640991,84.0472640991,85.2289505005,0,85.2289505005,85.2289505005,1
3,3,2,0.01,0,0.75,none,83.899559021,0,83.899559021,83.899559021,83.899559021,0,83.899559021,83.899559021,1
4,6,2,0.01,0.0001,0.75,none,83.899559021,0,83.899559021,83.899559021,84.0472640991,0,84.0472640991,84.0472640991,1
5,11,2,0.01,0.01,0.5,none,83.899559021,0,83.899559021,83.899559021,85.8197937012,0,85.8197937012,85.8197937012,1
6,22,2,0.001,0.01,0.25,none,83.899559021,0,83.899559021,83.899559021,84.6381072998,0,84.6381072998,84.6381072998,1
7,9,2,0.01,0.001,0.75,none,83.7518463135,0,83.7518463135,83.7518463135,83.899559021,0,83.899559021,83.899559021,1
8,12,2,0.01,0.01,0.75,none,83.7518463135,0,83.7518463135,83.7518463135,84.0472640991,0,84.0472640991,84.0472640991,1
9,48,4,0.01,0.01,0.75,none,83.7518463135,0,83.7518463135,83.7518463135,84.4903945923,0,84.4903945923,84.4903945923,1
10,23,2,0.001,0.01,0.5,none,83.604133606,0,83.604133606,83.604133606,84.3426895142,0,84.3426895142,84.3426895142,1
11,46,4,0.01,0.01,0.25,none,83.604133606,0,83.604133606,83.604133606,84.9335327148,0,84.9335327148,84.9335327148,1
12,77,8,0.01,0.0001,0.5,none,83.604133606,0,83.604133606,83.604133606,84.0472640991,0,84.0472640991,84.0472640991,1
13,80,8,0.01,0.001,0.5,none,83.604133606,0,83.604133606,83.604133606,84.0472640991,0,84.0472640991,84.0472640991,1
14,44,4,0.01,0.001,0.5,none,83.3087158203,0,83.3087158203,83.3087158203,83.7518463135,0,83.7518463135,83.7518463135,1
15,74,8,0.01,0,0.5,none,83.3087158203,0,83.3087158203,83.3087158203,84.0472640991,0,84.0472640991,84.0472640991,1
16,21,2,0.001,0.001,0.75,none,83.1610031128,0,83.1610031128,83.1610031128,84.3426895142,0,84.3426895142,84.3426895142,1
17,38,4,0.01,0,0.5,none,83.1610031128,0,83.1610031128,83.1610031128,83.899559021,0,83.899559021,83.899559021,1
18,39,4,0.01,0,0.75,none,83.1610031128,0,83.1610031128,83.1610031128,83.604133606,0,83.604133606,83.604133606,1
19,41,4,0.01,0.0001,0.5,none,83.1610031128,0,83.1610031128,83.1610031128,83.899559021,0,83.899559021,83.899559021,1
20,42,4,0.01,0.0001,0.75,none,83.1610031128,0,83.1610031128,83.1610031128,83.604133606,0,83.604133606,83.604133606,1
21,82,8,0.01,0.01,0.25,none,83.1610031128,0,83.1610031128,83.1610031128,84.9335327148,0,84.9335327148,84.9335327148,1
22,83,8,0.01,0.01,0.5,none,83.1610031128,0,83.1610031128,83.1610031128,84.1949768066,0,84.1949768066,84.1949768066,1
23,20,2,0.001,0.001,0.5,none,83.0132904053,0,83.0132904053,83.0132904053,84.9335327148,0,84.9335327148,84.9335327148,1
24,45,4,0.01,0.001,0.75,none,83.0132904053,0,83.0132904053,83.0132904053,83.604133606,0,83.604133606,83.604133606,1
25,57,4,0.001,0.001,0.75,none,83.0132904053,0,83.0132904053,83.0132904053,84.4903945923,0,84.4903945923,84.4903945923,1
26,59,4,0.001,0.01,0.5,none,83.0132904053,0,83.0132904053,83.0132904053,84.4903945923,0,84.4903945923,84.4903945923,1
27,118,16,0.01,0.01,0.25,none,83.0132904053,0,83.0132904053,83.0132904053,83.604133606,0,83.604133606,83.604133606,1
28,13,2,0.001,0,0.25,none,82.8655853271,0,82.8655853271,82.8655853271,84.3426895142,0,84.3426895142,84.3426895142,1
