rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,118,16,0.01,0.01,0.25,none,81.8316116333,0,81.8316116333,81.8316116333,83.1610031128,0,83.1610031128,83.1610031128,1
2,111,16,0.01,0,0.75,none,81.5361862183,0,81.5361862183,81.5361862183,84.3426895142,0,84.3426895142,84.3426895142,1
3,120,16,0.01,0.01,0.75,none,81.5361862183,0,81.5361862183,81.5361862183,83.7518463135,0,83.7518463135,83.7518463135,1
4,11,2,0.01,0.01,0.5,none,80.9453430176,0,80.9453430176,80.9453430176,83.604133606,0,83.604133606,83.604133606,1
5,130,16,0.001,0.01,0.25,none,80.9453430176,0,80.9453430176,80.9453430176,83.604133606,0,83.604133606,83.604133606,1
6,84,8,0.01,0.01,0.75,none,80.7976379395,0,80.7976379395,80.7976379395,82.7178726196,0,82.7178726196,82.7178726196,1
7,117,16,0.01,0.001,0.75,none,80.7976379395,0,80.7976379395,80.7976379395,82.422454834,0,82.422454834,82.422454834,1
8,3,2,0.01,0,0.75,none,80.5022125244,0,80.5022125244,80.5022125244,81.6838989258,0,81.6838989258,81.6838989258,1
9,42,4,0.01,0.0001,0.75,none,80.5022125244,0,80.5022125244,80.5022125244,83.3087158203,0,83.3087158203,83.3087158203,1
10,114,16,0.01,0.0001,0.75,none,80.5022125244,0,80.5022125244,80.5022125244,83.0132904053,0,83.0132904053,83.0132904053,1
11,127,16,0.001,0.001,0.25,none,80.5022125244,0,80.5022125244,80.5022125244,81.3884811401,0,81.3884811401,81.3884811401,1
12,131,16,0.001,0.01,0.5,none,80.5022125244,0,80.5022125244,80.5022125244,83.899559021,0,83.899559021,83.899559021,1
13,121,16,0.001,0,0.25,none,80.3545074463,0,80.3545074463,80.3545074463,81.3884811401,0,81.3884811401,81.3884811401,1
14,124,16,0.001,0.0001,0.25,none,80.3545074463,0,80.3545074463,80.3545074463,81.3884811401,0,81.3884811401,81.3884811401,1
15,82,8,0.01,0.01,0.25,none,80.2067947388,0,80.2067947388,80.2067947388,83.899559021,0,83.899559021,83.899559021,1
16,45,4,0.01,0.001,0.75,none,79.9113769531,0,79.9113769531,79.9113769531,83.3087158203,0,83.3087158203,83.3087158203,1
17,123,16,0.001,0,0.75,none,79.9113769531,0,79.9113769531,79.9113769531,83.3087158203,0,83.3087158203,83.3087158203,1
18,132,16,0.001,0.01,0.75,none,79.9113769531,0,79.9113769531,79.9113769531,83.4564208984,0,83.4564208984,83.4564208984,1
19,48,4,0.01,0.01,0.75,none,79.7636642456,0,79.7636642456,79.7636642456,82.1270294189,0,82.1270294189,82.1270294189,1
20,128,16,0.001,0.001,0.5,none,79.7636642456,0,79.7636642456,79.7636642456,82.5701599121,0,82.5701599121,82.5701599121,1
21,9,2,0.01,0.001,0.75,none,79.6159515381,0,79.6159515381,79.6159515381,81.6838989258,0,81.6838989258,81.6838989258,1
22,122,16,0.001,0,0.5,none,79.6159515381,0,79.6159515381,79.6159515381,83.1610031128,0,83.1610031128,83.1610031128,1
23,125,16,0.001,0.0001,0.5,none,79.6159515381,0,79.6159515381,79.6159515381,83.1610031128,0,83.1610031128,83.1610031128,1
24,126,16,0.001,0.0001,0.75,none,79.6159515381,0,79.6159515381,79.6159515381,82.1270294189,0,82.1270294189,82.1270294189,1
25,129,16,0.001,0.001,0.75,none,79.6159515381,0,79.6159515381,79.6159515381,82.2747421265,0,82.2747421265,82.2747421265,1
26,96,8,0.001,0.01,0.75,none,79.4682388306,0,79.4682388306,79.4682388306,82.5701599121,0,82.5701599121,82.5701599121,1
27,6,2,0.01,0.0001,0.75,none,79.1728210449,0,79.1728210449,79.1728210449,81.0930557251,0,81.0930557251,81.0930557251,1
28,91,8,0.001,0.001,0.25,none,79.1728210449,0,79.1728210449,79.1728210449,81.0930557251,0,81.0930557251,81.0930557251,1
29,94,8,0.001,0.01,0.25,none,79.1728210449,0,79.1728210449,79.1728210449,80.9453430176,0,80.9453430176,80.9453430176,1
30,1,2,0.01,0,0.25,none,79.0251083374,0,79.0251083374,79.0251083374,82.1270294189,0,82.1270294189,82.1270294189,1
31,10,2,0.01,0.01,0.25,none,79.0251083374,0,79.0251083374,79.0251083374,83.0132904053,0,83.0132904053,83.0132904053,1
32,12,2,0.01,0.01,0.75,none,79.0251083374,0,79.0251083374,79.0251083374,81.2407684326,0,81.2407684326,81.2407684326,1
33,22,2,0.001,0.01,0.25,none,79.0251083374,0,79.0251083374,79.0251083374,83.1610031128,0,83.1610031128,83.1610031128,1
34,92,8,0.001,0.001,0.5,none,78.8774032593,0,78.8774032593,78.8774032593,81.6838989258,0,81.6838989258,81.6838989258,1
35,4,2,0.01,0.0001,0.25,none,78.7296905518,0,78.7296905518,78.7296905518,81.3884811401,0,81.3884811401,81.3884811401,1
36,85,8,0.001,0,0.25,none,78.7296905518,0,78.7296905518,78.7296905518,80.6499252319,0,80.6499252319,80.6499252319,1
37,88,8,0.001,0.0001,0.25,none,78.7296905518,0,78.7296905518,78.7296905518,80.9453430176,0,80.9453430176,80.9453430176,1
38,89,8,0.001,0.0001,0.5,none,78.7296905518,0,78.7296905518,78.7296905518,81.9793167114,0,81.9793167114,81.9793167114,1
39,86,8,0.001,0,0.5,none,78.5819778442,0,78.5819778442,78.5819778442,80.9453430176,0,80.9453430176,80.9453430176,1
40,95,8,0.001,0.01,0.5,none,78.5819778442,0,78.5819778442,78.5819778442,80.2067947388,0,80.2067947388,80.2067947388,1
41,7,2,0.01,0.001,0.25,none,78.4342651367,0,78.4342651367,78.4342651367,80.2067947388,0,80.2067947388,80.2067947388,1
42,46,4,0.01,0.01,0.25,none,78.4342651367,0,78.4342651367,78.4342651367,81.2407684326,0,81.2407684326,81.2407684326,1
43,39,4,0.01,0,0.75,none,78.2865600586,0,78.2865600586,78.2865600586,79.9113769531,0,79.9113769531,79.9113769531,1
44,58,4,0.001,0.01,0.25,none,78.1388473511,0,78.1388473511,78.1388473511,80.5022125244,0,80.5022125244,80.5022125244,1
45,59,4,0.001,0.01,0.5,none,78.1388473511,0,78.1388473511,78.1388473511,82.2747421265,0,82.2747421265,82.2747421265,1
