rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,118,16,0.01,0.01,0.25,none,78.5819778442,0,78.5819778442,78.5819778442,81.2407684326,0,81.2407684326,81.2407684326,1
2,119,16,0.01,0.01,0.5,none,78.1388473511,0,78.1388473511,78.1388473511,80.6499252319,0,80.6499252319,80.6499252319,1
3,74,8,0.01,0,0.5,none,76.8094558716,0,76.8094558716,76.8094558716,79.0251083374,0,79.0251083374,79.0251083374,1
4,77,8,0.01,0.0001,0.5,none,76.8094558716,0,76.8094558716,76.8094558716,78.4342651367,0,78.4342651367,78.4342651367,1
5,80,8,0.01,0.001,0.5,none,76.8094558716,0,76.8094558716,76.8094558716,78.8774032593,0,78.8774032593,78.8774032593,1
6,79,8,0.01,0.001,0.25,none,76.2186126709,0,76.2186126709,76.2186126709,77.6957168579,0,77.6957168579,77.6957168579,1
7,82,8,0.01,0.01,0.25,none,76.2186126709,0,76.2186126709,76.2186126709,77.4002914429,0,77.4002914429,77.4002914429,1
8,76,8,0.01,0.0001,0.25,none,76.0708999634,0,76.0708999634,76.0708999634,78.1388473511,0,78.1388473511,78.1388473511,1
9,120,16,0.01,0.01,0.75,none,76.0708999634,0,76.0708999634,76.0708999634,79.4682388306,0,79.4682388306,79.4682388306,1
10,73,8,0.01,0,0.25,none,75.9231872559,0,75.9231872559,75.9231872559,78.2865600586,0,78.2865600586,78.2865600586,1
11,127,16,0.001,0.001,0.25,none,74.4460830688,0,74.4460830688,74.4460830688,79.0251083374,0,79.0251083374,79.0251083374,1
12,111,16,0.01,0,0.75,none,74.2983779907,0,74.2983779907,74.2983779907,78.7296905518,0,78.7296905518,78.7296905518,1
13,124,16,0.001,0.0001,0.25,none,74.2983779907,0,74.2983779907,74.2983779907,79.1728210449,0,79.1728210449,79.1728210449,1
14,114,16,0.01,0.0001,0.75,none,74.1506652832,0,74.1506652832,74.1506652832,78.2865600586,0,78.2865600586,78.2865600586,1
15,116,16,0.01,0.001,0.5,none,74.1506652832,0,74.1506652832,74.1506652832,77.9911346436,0,77.9911346436,77.9911346436,1
16,121,16,0.001,0,0.25,none,74.1506652832,0,74.1506652832,74.1506652832,79.0251083374,0,79.0251083374,79.0251083374,1
17,117,16,0.01,0.001,0.75,none,74.0029525757,0,74.0029525757,74.0029525757,78.4342651367,0,78.4342651367,78.4342651367,1
18,83,8,0.01,0.01,0.5,none,73.8552474976,0,73.8552474976,73.8552474976,78.4342651367,0,78.4342651367,78.4342651367,1
19,81,8,0.01,0.001,0.75,none,73.5598220825,0,73.5598220825,73.5598220825,77.1048736572,0,77.1048736572,77.1048736572,1
20,110,16,0.01,0,0.5,none,73.5598220825,0,73.5598220825,73.5598220825,77.6957168579,0,77.6957168579,77.6957168579,1
21,113,16,0.01,0.0001,0.5,none,73.5598220825,0,73.5598220825,73.5598220825,77.8434295654,0,77.8434295654,77.8434295654,1
22,130,16,0.001,0.01,0.25,none,73.2644042969,0,73.2644042969,73.2644042969,78.2865600586,0,78.2865600586,78.2865600586,1
23,109,16,0.01,0,0.25,none,73.1166915894,0,73.1166915894,73.1166915894,78.1388473511,0,78.1388473511,78.1388473511,1
24,112,16,0.01,0.0001,0.25,none,73.1166915894,0,73.1166915894,73.1166915894,78.1388473511,0,78.1388473511,78.1388473511,1
25,115,16,0.01,0.001,0.25,none,72.9689788818,0,72.9689788818,72.9689788818,77.1048736572,0,77.1048736572,77.1048736572,1
26,75,8,0.01,0,0.75,none,72.8212738037,0,72.8212738037,72.8212738037,74.2983779907,0,74.2983779907,74.2983779907,1
27,78,8,0.01,0.0001,0.75,none,72.8212738037,0,72.8212738037,72.8212738037,74.1506652832,0,74.1506652832,74.1506652832,1
28,128,16,0.001,0.001,0.5,none,72.8212738037,0,72.8212738037,72.8212738037,76.8094558716,0,76.8094558716,76.8094558716,1
29,122,16,0.001,0,0.5,none,72.3781356812,0,72.3781356812,72.3781356812,76.0708999634,0,76.0708999634,76.0708999634,1
30,125,16,0.001,0.0001,0.5,none,72.3781356812,0,72.3781356812,72.3781356812,76.0708999634,0,76.0708999634,76.0708999634,1
31,131,16,0.001,0.01,0.5,none,72.3781356812,0,72.3781356812,72.3781356812,74.1506652832,0,74.1506652832,74.1506652832,1
32,84,8,0.01,0.01,0.75,none,71.4918746948,0,71.4918746948,71.4918746948,74.5937957764,0,74.5937957764,74.5937957764,1
33,91,8,0.001,0.001,0.25,none,71.3441619873,0,71.3441619873,71.3441619873,74.5937957764,0,74.5937957764,74.5937957764,1
34,40,4,0.01,0.0001,0.25,none,71.1964569092,0,71.1964569092,71.1964569092,73.70753479,0,73.70753479,73.70753479,1
35,85,8,0.001,0,0.25,none,71.1964569092,0,71.1964569092,71.1964569092,74.7415084839,0,74.7415084839,74.7415084839,1
36,88,8,0.001,0.0001,0.25,none,71.1964569092,0,71.1964569092,71.1964569092,74.7415084839,0,74.7415084839,74.7415084839,1
37,94,8,0.001,0.01,0.25,none,71.1964569092,0,71.1964569092,71.1964569092,74.0029525757,0,74.0029525757,74.0029525757,1
38,43,4,0.01,0.001,0.25,none,70.9010314941,0,70.9010314941,70.9010314941,73.2644042969,0,73.2644042969,73.2644042969,1
39,37,4,0.01,0,0.25,none,70.753326416,0,70.753326416,70.753326416,74.0029525757,0,74.0029525757,74.0029525757,1
40,123,16,0.001,0,0.75,none,70.457901001,0,70.457901001,70.457901001,72.6735610962,0,72.6735610962,72.6735610962,1
41,126,16,0.001,0.0001,0.75,none,70.457901001,0,70.457901001,70.457901001,72.6735610962,0,72.6735610962,72.6735610962,1
42,46,4,0.01,0.01,0.25,none,70.3101959229,0,70.3101959229,70.3101959229,71.1964569092,0,71.1964569092,71.1964569092,1
43,95,8,0.001,0.01,0.5,none,70.1624832153,0,70.1624832153,70.1624832153,72.9689788818,0,72.9689788818,72.9689788818,1
44,38,4,0.01,0,0.5,none,70.0147705078,0,70.0147705078,70.0147705078,71.0487442017,0,71.0487442017,71.0487442017,1
45,41,4,0.01,0.0001,0.5,none,70.0147705078,0,70.0147705078,70.0147705078,71.4918746948,0,71.4918746948,71.4918746948,1
46,86,8,0.001,0,0.5,none,70.0147705078,0,70.0147705078,70.0147705078,73.2644042969,0,73.2644042969,73.2644042969,1
47,89,8,0.001,0.0001,0.5,none,69.8670578003,0,69.8670578003,69.8670578003,73.2644042969,0,73.2644042969,73.2644042969,1
48,92,8,0.001,0.001,0.5,none,69.8670578003,0,69.8670578003,69.8670578003,73.2644042969,0,73.2644042969,73.2644042969,1
49,44,4,0.01,0.001,0.5,none,69.5716400146,0,69.5716400146,69.5716400146,70.9010314941,0,70.9010314941,70.9010314941,1
50,129,16,0.001,0.001,0.75,none,68.980796814,0,68.980796814,68.980796814,71.6395874023,0,71.6395874023,71.6395874023,1
51,87,8,0.001,0,0.75,none,68.6853790283,0,68.6853790283,68.6853790283,70.1624832153,0,70.1624832153,70.1624832153,1
52,90,8,0.001,0.0001,0.75,none,68.6853790283,0,68.6853790283,68.6853790283,70.1624832153,0,70.1624832153,70.1624832153,1
53,93,8,0.001,0.001,0.75,none,68.6853790283,0,68.6853790283,68.6853790283,70.3101959229,0,70.3101959229,70.3101959229,1
54,42,4,0.01,0.0001,0.75,none,68.3899536133,0,68.3899536133,68.3899536133,69.276222229,0,69.276222229,69.276222229,1
55,96,8,0.001,0.01,0.75,none,68.3899536133,0,68.3899536133,68.3899536133,69.4239273071,0,69.4239273071,69.4239273071,1
56,132,16,0.001,0.01,0.75,none,67.9468231201,0,67.9468231201,67.9468231201,69.5716400146,0,69.5716400146,69.5716400146,1
57,7,2,0.01,0.001,0.25,none,67.799118042,0,67.799118042,67.799118042,69.276222229,0,69.276222229,69.276222229,1
58,39,4,0.01,0,0.75,none,67.799118042,0,67.799118042,67.799118042,68.6853790283,0,68.6853790283,68.6853790283,1
