rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,116,16,0.01,0.001,0.5,none,74.2983779907,0,74.2983779907,74.2983779907,77.1048736572,0,77.1048736572,77.1048736572,1
2,115,16,0.01,0.001,0.25,none,74.1506652832,0,74.1506652832,74.1506652832,76.5140304565,0,76.5140304565,76.5140304565,1
3,114,16,0.01,0.0001,0.75,none,73.5598220825,0,73.5598220825,73.5598220825,76.9571609497,0,76.9571609497,76.9571609497,1
4,113,16,0.01,0.0001,0.5,none,72.9689788818,0,72.9689788818,72.9689788818,76.9571609497,0,76.9571609497,76.9571609497,1
5,110,16,0.01,0,0.5,none,72.8212738037,0,72.8212738037,72.8212738037,76.8094558716,0,76.8094558716,76.8094558716,1
6,111,16,0.01,0,0.75,none,71.1964569092,0,71.1964569092,71.1964569092,74.5937957764,0,74.5937957764,74.5937957764,1
7,112,16,0.01,0.0001,0.25,none,71.1964569092,0,71.1964569092,71.1964569092,75.7754821777,0,75.7754821777,75.7754821777,1
8,109,16,0.01,0,0.25,none,71.0487442017,0,71.0487442017,71.0487442017,75.7754821777,0,75.7754821777,75.7754821777,1
9,117,16,0.01,0.001,0.75,none,70.753326416,0,70.753326416,70.753326416,75.0369262695,0,75.0369262695,75.0369262695,1
10,74,8,0.01,0,0.5,none,70.0147705078,0,70.0147705078,70.0147705078,72.230430603,0,72.230430603,72.230430603,1
11,77,8,0.01,0.0001,0.5,none,70.0147705078,0,70.0147705078,70.0147705078,71.935005188,0,71.935005188,71.935005188,1
12,76,8,0.01,0.0001,0.25,none,69.7193527222,0,69.7193527222,69.7193527222,72.230430603,0,72.230430603,72.230430603,1
13,73,8,0.01,0,0.25,none,69.5716400146,0,69.5716400146,69.5716400146,72.3781356812,0,72.3781356812,72.3781356812,1
14,79,8,0.01,0.001,0.25,none,69.5716400146,0,69.5716400146,69.5716400146,72.6735610962,0,72.6735610962,72.6735610962,1
15,80,8,0.01,0.001,0.5,none,69.5716400146,0,69.5716400146,69.5716400146,71.3441619873,0,71.3441619873,71.3441619873,1
16,78,8,0.01,0.0001,0.75,none,69.276222229,0,69.276222229,69.276222229,71.3441619873,0,71.3441619873,71.3441619873,1
17,81,8,0.01,0.001,0.75,none,68.6853790283,0,68.6853790283,68.6853790283,69.8670578003,0,69.8670578003,69.8670578003,1
18,75,8,0.01,0,0.75,none,68.5376663208,0,68.5376663208,68.5376663208,70.9010314941,0,70.9010314941,70.9010314941,1
19,44,4,0.01,0.001,0.5,none,63.2200889587,0,63.2200889587,63.2200889587,66.0265884399,0,66.0265884399,66.0265884399,1
20,43,4,0.01,0.001,0.25,none,62.6292457581,0,62.6292457581,62.6292457581,64.9926147461,0,64.9926147461,64.9926147461,1
21,38,4,0.01,0,0.5,none,62.0384025574,0,62.0384025574,62.0384025574,64.5494842529,0,64.5494842529,64.5494842529,1
22,37,4,0.01,0,0.25,none,61.8906898499,0,61.8906898499,61.8906898499,64.1063537598,0,64.1063537598,64.1063537598,1
23,41,4,0.01,0.0001,0.5,none,61.8906898499,0,61.8906898499,61.8906898499,64.2540664673,0,64.2540664673,64.2540664673,1
24,40,4,0.01,0.0001,0.25,none,61.7429847717,0,61.7429847717,61.7429847717,63.6632194519,0,63.6632194519,63.6632194519,1
25,39,4,0.01,0,0.75,none,61.5952720642,0,61.5952720642,61.5952720642,62.4815330505,0,62.4815330505,62.4815330505,1
26,42,4,0.01,0.0001,0.75,none,61.4475593567,0,61.4475593567,61.4475593567,62.7769546509,0,62.7769546509,62.7769546509,1
27,45,4,0.01,0.001,0.75,none,60.26587677,0,60.26587677,60.26587677,61.7429847717,0,61.7429847717,61.7429847717,1
