rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,2,0,0.01,0,0.5,none,37.2235794067,0,37.2235794067,37.2235794067,37.1871604919,0,37.1871604919,37.1871604919,1
2,1,0,0.01,0,0.25,none,37.1039047241,0,37.1039047241,37.1039047241,37.0518760681,0,37.0518760681,37.0518760681,1
3,3,0,0.01,0,0.75,none,36.6824493408,0,36.6824493408,36.6824493408,36.5107460022,0,36.5107460022,36.5107460022,1
4,4,0,0.01,0.0001,0.25,none,35.7094535828,0,35.7094535828,35.7094535828,35.6626243591,0,35.6626243591,35.6626243591,1
5,5,0,0.01,0.0001,0.5,none,35.0642585754,0,35.0642585754,35.0642585754,34.882144928,0,34.882144928,34.882144928,1
6,6,0,0.01,0.0001,0.75,none,33.8727302551,0,33.8727302551,33.8727302551,33.8206977844,0,33.8206977844,33.8206977844,1
7,17,0,0.001,0.0001,0.5,none,32.1608810425,0,32.1608810425,32.1608810425,32.1348648071,0,32.1348648071,32.1348648071,1
8,26,0,0.0001,0,0.5,none,32.1504745483,0,32.1504745483,32.1504745483,32.1296615601,0,32.1296615601,32.1296615601,1
9,14,0,0.001,0,0.5,none,32.145275116,0,32.145275116,32.145275116,32.1348648071,0,32.1348648071,32.1348648071,1
10,16,0,0.001,0.0001,0.25,none,32.145275116,0,32.145275116,32.145275116,32.1296615601,0,32.1296615601,32.1296615601,1
11,13,0,0.001,0,0.25,none,32.1400718689,0,32.1400718689,32.1400718689,32.145275116,0,32.145275116,32.145275116,1
12,28,0,0.0001,0.0001,0.25,none,32.1400718689,0,32.1400718689,32.1400718689,32.1296615601,0,32.1296615601,32.1296615601,1
13,29,0,0.0001,0.0001,0.5,none,32.1400718689,0,32.1400718689,32.1400718689,32.1296615601,0,32.1296615601,32.1296615601,1
14,7,0,0.01,0.001,0.25,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
15,8,0,0.01,0.001,0.5,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
16,9,0,0.01,0.001,0.75,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
17,10,0,0.01,0.01,0.25,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
18,11,0,0.01,0.01,0.5,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
19,12,0,0.01,0.01,0.75,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
20,15,0,0.001,0,0.75,none,32.1348648071,0,32.1348648071,32.1348648071,32.1296615601,0,32.1296615601,32.1296615601,1
21,18,0,0.001,0.0001,0.75,none,32.1348648071,0,32.1348648071,32.1348648071,32.1296615601,0,32.1296615601,32.1296615601,1
22,19,0,0.001,0.001,0.25,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
23,20,0,0.001,0.001,0.5,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
24,21,0,0.001,0.001,0.75,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
25,22,0,0.001,0.01,0.25,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
26,23,0,0.001,0.01,0.5,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
27,24,0,0.001,0.01,0.75,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
28,27,0,0.0001,0,0.75,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
29,30,0,0.0001,0.0001,0.75,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
30,31,0,0.0001,0.001,0.25,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
31,32,0,0.0001,0.001,0.5,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
32,34,0,0.0001,0.01,0.25,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
33,35,0,0.0001,0.01,0.5,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
34,36,0,0.0001,0.01,0.75,none,32.1348648071,0,32.1348648071,32.1348648071,32.124458313,0,32.124458313,32.124458313,1
35,25,0,0.0001,0,0.25,none,32.1296615601,0,32.1296615601,32.1296615601,32.124458313,0,32.124458313,32.124458313,1
36,33,0,0.0001,0.001,0.75,none,0.816899895668,0,0.816899895668,0.816899895668,0.900150835514,0,0.900150835514,0.900150835514,1
