rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,4,0,0.01,0.0001,0.25,none,68.1651916504,0,68.1651916504,68.1651916504,68.3673477173,0,68.3673477173,68.3673477173,1
2,5,0,0.01,0.0001,0.5,none,67.7223739624,0,67.7223739624,67.7223739624,68.0785522461,0,68.0785522461,68.0785522461,1
3,3,0,0.01,0,0.75,none,67.1832885742,0,67.1832885742,67.1832885742,67.2988052368,0,67.2988052368,67.2988052368,1
4,2,0,0.01,0,0.5,none,67.1544036865,0,67.1544036865,67.1544036865,67.5972290039,0,67.5972290039,67.5972290039,1
5,1,0,0.01,0,0.25,none,66.451675415,0,66.451675415,66.451675415,66.9618759155,0,66.9618759155,66.9618759155,1
6,6,0,0.01,0.0001,0.75,none,66.2495193481,0,66.2495193481,66.2495193481,66.4998016357,0,66.4998016357,66.4998016357,1
7,18,0,0.001,0.0001,0.75,none,59.4917221069,0,59.4917221069,59.4917221069,60.204082489,0,60.204082489,60.204082489,1
8,15,0,0.001,0,0.75,none,58.8948783875,0,58.8948783875,58.8948783875,59.2414321899,0,59.2414321899,59.2414321899,1
9,17,0,0.001,0.0001,0.5,none,58.7889862061,0,58.7889862061,58.7889862061,59.2125549316,0,59.2125549316,59.2125549316,1
10,13,0,0.001,0,0.25,none,58.769733429,0,58.769733429,58.769733429,59.2895622253,0,59.2895622253,59.2895622253,1
11,16,0,0.001,0.0001,0.25,none,58.6542205811,0,58.6542205811,58.6542205811,59.3473243713,0,59.3473243713,59.3473243713,1
12,14,0,0.001,0,0.5,none,58.3269195557,0,58.3269195557,58.3269195557,59.0777816772,0,59.0777816772,59.0777816772,1
13,19,0,0.001,0.001,0.25,none,56.0839424133,0,56.0839424133,56.0839424133,56.3823623657,0,56.3823623657,56.3823623657,1
14,20,0,0.001,0.001,0.5,none,56.0839424133,0,56.0839424133,56.0839424133,56.4016151428,0,56.4016151428,56.4016151428,1
15,21,0,0.001,0.001,0.75,none,56.0550613403,0,56.0550613403,56.0550613403,56.3727378845,0,56.3727378845,56.3727378845,1
16,7,0,0.01,0.001,0.25,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
17,8,0,0.01,0.001,0.5,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
18,9,0,0.01,0.001,0.75,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
19,10,0,0.01,0.01,0.25,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
20,11,0,0.01,0.01,0.5,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
21,12,0,0.01,0.01,0.75,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
22,22,0,0.001,0.01,0.25,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
23,23,0,0.001,0.01,0.5,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
24,24,0,0.001,0.01,0.75,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
25,25,0,0.0001,0,0.25,none,17.1351547241,0,17.1351547241,17.1351547241,16.6153259277,0,16.6153259277,16.6153259277,1
26,26,0,0.0001,0,0.5,none,17.1351547241,0,17.1351547241,17.1351547241,16.6345787048,0,16.6345787048,16.6345787048,1
27,28,0,0.0001,0.0001,0.25,none,17.1351547241,0,17.1351547241,17.1351547241,16.6249504089,0,16.6249504089,16.6249504089,1
28,29,0,0.0001,0.0001,0.5,none,17.1255283356,0,17.1255283356,17.1255283356,16.5768184662,0,16.5768184662,16.5768184662,1
29,27,0,0.0001,0,0.75,none,17.115901947,0,17.115901947,17.115901947,16.6153259277,0,16.6153259277,16.6153259277,1
30,30,0,0.0001,0.0001,0.75,none,17.115901947,0,17.115901947,17.115901947,16.6153259277,0,16.6153259277,16.6153259277,1
31,31,0,0.0001,0.001,0.25,none,17.1062774658,0,17.1062774658,17.1062774658,16.5864448547,0,16.5864448547,16.5864448547,1
32,32,0,0.0001,0.001,0.5,none,17.1062774658,0,17.1062774658,17.1062774658,16.5864448547,0,16.5864448547,16.5864448547,1
33,33,0,0.0001,0.001,0.75,none,17.1062774658,0,17.1062774658,17.1062774658,16.6345787048,0,16.6345787048,16.6345787048,1
34,34,0,0.0001,0.01,0.25,none,0.1829033494,0,0.1829033494,0.1829033494,0.288794785738,0,0.288794785738,0.288794785738,1
35,35,0,0.0001,0.01,0.5,none,0.1829033494,0,0.1829033494,0.1829033494,0.288794785738,0,0.288794785738,0.288794785738,1
36,36,0,0.0001,0.01,0.75,none,0.1829033494,0,0.1829033494,0.1829033494,0.288794785738,0,0.288794785738,0.288794785738,1
