rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,8,0,0.01,0.001,0.5,none,68.1490402222,0,68.1490402222,68.1490402222,69.2307739258,0,69.2307739258,69.2307739258,1
2,9,0,0.01,0.001,0.75,none,67.7884674072,0,67.7884674072,67.7884674072,69.5913467407,0,69.5913467407,69.5913467407,1
3,7,0,0.01,0.001,0.25,none,67.1875,0,67.1875,67.1875,68.3894271851,0,68.3894271851,68.3894271851,1
4,12,0,0.01,0.01,0.75,none,64.5432739258,0,64.5432739258,64.5432739258,65.625,0,65.625,65.625,1
5,11,0,0.01,0.01,0.5,none,63.7019271851,0,63.7019271851,63.7019271851,65.3846206665,0,65.3846206665,65.3846206665,1
6,10,0,0.01,0.01,0.25,none,63.5817337036,0,63.5817337036,63.5817337036,65.9855804443,0,65.9855804443,65.9855804443,1
7,5,0,0.01,0.0001,0.5,none,61.658657074,0,61.658657074,61.658657074,61.0576934814,0,61.0576934814,61.0576934814,1
8,22,0,0.001,0.01,0.25,none,55.0480766296,0,55.0480766296,55.0480766296,55.8894271851,0,55.8894271851,55.8894271851,1
9,4,0,0.01,0.0001,0.25,none,51.4423065186,0,51.4423065186,51.4423065186,51.2019271851,0,51.2019271851,51.2019271851,1
10,21,0,0.001,0.001,0.75,none,50.2403869629,0,50.2403869629,50.2403869629,50.6009635925,0,50.6009635925,50.6009635925,1
11,20,0,0.001,0.001,0.5,none,48.7980766296,0,48.7980766296,48.7980766296,48.1971168518,0,48.1971168518,48.1971168518,1
12,19,0,0.001,0.001,0.25,none,48.5576934814,0,48.5576934814,48.5576934814,47.2355766296,0,47.2355766296,47.2355766296,1
13,24,0,0.001,0.01,0.75,none,44.5913467407,0,44.5913467407,44.5913467407,47.1153869629,0,47.1153869629,47.1153869629,1
14,18,0,0.001,0.0001,0.75,none,42.7884635925,0,42.7884635925,42.7884635925,42.7884635925,0,42.7884635925,42.7884635925,1
15,6,0,0.01,0.0001,0.75,none,42.3076934814,0,42.3076934814,42.3076934814,42.1875038147,0,42.1875038147,42.1875038147,1
16,15,0,0.001,0,0.75,none,41.4663467407,0,41.4663467407,41.4663467407,40.8653869629,0,40.8653869629,40.8653869629,1
17,3,0,0.01,0,0.75,none,40.2644233704,0,40.2644233704,40.2644233704,38.8221168518,0,38.8221168518,38.8221168518,1
18,17,0,0.001,0.0001,0.5,none,36.7788467407,0,36.7788467407,36.7788467407,34.375,0,34.375,34.375,1
19,2,0,0.01,0,0.5,none,33.7740402222,0,33.7740402222,33.7740402222,31.8509635925,0,31.8509635925,31.8509635925,1
20,14,0,0.001,0,0.5,none,33.7740402222,0,33.7740402222,33.7740402222,32.0913467407,0,32.0913467407,32.0913467407,1
21,16,0,0.001,0.0001,0.25,none,29.8076934814,0,29.8076934814,29.8076934814,28.6057701111,0,28.6057701111,28.6057701111,1
22,13,0,0.001,0,0.25,none,27.7644252777,0,27.7644252777,27.7644252777,26.0817317963,0,26.0817317963,26.0817317963,1
23,1,0,0.01,0,0.25,none,26.2019252777,0,26.2019252777,26.2019252777,24.1586551666,0,24.1586551666,24.1586551666,1
24,33,0,0.0001,0.001,0.75,none,23.9182701111,0,23.9182701111,23.9182701111,23.1971168518,0,23.1971168518,23.1971168518,1
25,27,0,0.0001,0,0.75,none,23.6778850555,0,23.6778850555,23.6778850555,23.4375019073,0,23.4375019073,23.4375019073,1
26,30,0,0.0001,0.0001,0.75,none,23.5576934814,0,23.5576934814,23.5576934814,23.5576934814,0,23.5576934814,23.5576934814,1
27,32,0,0.0001,0.001,0.5,none,23.3173084259,0,23.3173084259,23.3173084259,22.7163467407,0,22.7163467407,22.7163467407,1
28,25,0,0.0001,0,0.25,none,22.9567317963,0,22.9567317963,22.9567317963,21.1538467407,0,21.1538467407,21.1538467407,1
29,31,0,0.0001,0.001,0.25,none,22.9567317963,0,22.9567317963,22.9567317963,21.6346168518,0,21.6346168518,21.6346168518,1
30,26,0,0.0001,0,0.5,none,22.8365383148,0,22.8365383148,22.8365383148,22.3557701111,0,22.3557701111,22.3557701111,1
31,28,0,0.0001,0.0001,0.25,none,22.7163467407,0,22.7163467407,22.7163467407,21.2740383148,0,21.2740383148,21.2740383148,1
32,29,0,0.0001,0.0001,0.5,none,22.7163467407,0,22.7163467407,22.7163467407,22.4759616852,0,22.4759616852,22.4759616852,1
33,35,0,0.0001,0.01,0.5,none,21.5144233704,0,21.5144233704,21.5144233704,21.8750019073,0,21.8750019073,21.8750019073,1
34,34,0,0.0001,0.01,0.25,none,21.1538467407,0,21.1538467407,21.1538467407,21.8750019073,0,21.8750019073,21.8750019073,1
35,23,0,0.001,0.01,0.5,none,20.5528850555,0,20.5528850555,20.5528850555,21.5144233704,0,21.5144233704,21.5144233704,1
36,36,0,0.0001,0.01,0.75,none,8.05288505554,0,8.05288505554,8.05288505554,7.93269252777,0,7.93269252777,7.93269252777,1
