rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,1,0,0.01,0,0.25,none,61.1701622009,0,61.1701622009,61.1701622009,61.3331451416,0,61.3331451416,61.3331451416,1
2,2,0,0.01,0,0.5,none,59.5875854492,0,59.5875854492,59.5875854492,59.6230163574,0,59.6230163574,59.6230163574,1
3,3,0,0.01,0,0.75,none,49.4756240845,0,49.4756240845,49.4756240845,49.4638137817,0,49.4638137817,49.4638137817,1
4,30,0,0.0001,0.0001,0.75,none,17.7225055695,0,17.7225055695,17.7225055695,17.6610927582,0,17.6610927582,17.6610927582,1
5,26,0,0.0001,0,0.5,none,17.6799888611,0,17.6799888611,17.6799888611,17.5548000336,0,17.5548000336,17.5548000336,1
6,25,0,0.0001,0,0.25,none,17.670539856,0,17.670539856,17.670539856,17.5642471313,0,17.5642471313,17.5642471313,1
7,29,0,0.0001,0.0001,0.5,none,17.6563682556,0,17.6563682556,17.6563682556,17.6752643585,0,17.6752643585,17.6752643585,1
8,28,0,0.0001,0.0001,0.25,none,17.62566185,0,17.62566185,17.62566185,17.5429897308,0,17.5429897308,17.5429897308,1
9,27,0,0.0001,0,0.75,none,17.4862995148,0,17.4862995148,17.4862995148,17.5453510284,0,17.5453510284,17.5453510284,1
10,15,0,0.001,0,0.75,none,17.224111557,0,17.224111557,17.224111557,17.1579742432,0,17.1579742432,17.1579742432,1
11,18,0,0.001,0.0001,0.75,none,17.1367149353,0,17.1367149353,17.1367149353,17.0493202209,0,17.0493202209,17.0493202209,1
12,13,0,0.001,0,0.25,none,16.9075965881,0,16.9075965881,16.9075965881,16.7611503601,0,16.7611503601,16.7611503601,1
13,14,0,0.001,0,0.5,none,16.827287674,0,16.827287674,16.827287674,16.6832008362,0,16.6832008362,16.6832008362,1
14,16,0,0.001,0.0001,0.25,none,16.7375278473,0,16.7375278473,16.7375278473,16.6383228302,0,16.6383228302,16.6383228302,1
15,17,0,0.001,0.0001,0.5,none,16.6997356415,0,16.6997356415,16.6997356415,16.6005306244,0,16.6005306244,16.6005306244,1
16,7,0,0.01,0.001,0.25,none,16.3099956512,0,16.3099956512,16.3099956512,16.0548934937,0,16.0548934937,16.0548934937,1
17,4,0,0.01,0.0001,0.25,none,16.2840137482,0,16.2840137482,16.2840137482,16.071428299,0,16.071428299,16.071428299,1
18,5,0,0.01,0.0001,0.5,none,16.2438583374,0,16.2438583374,16.2438583374,16.0194625854,0,16.0194625854,16.0194625854,1
19,21,0,0.001,0.001,0.75,none,16.201341629,0,16.201341629,16.201341629,16.0123786926,0,16.0123786926,16.0123786926,1
20,6,0,0.01,0.0001,0.75,none,16.1989784241,0,16.1989784241,16.1989784241,16.0029296875,0,16.0029296875,16.0029296875,1
21,19,0,0.001,0.001,0.25,none,16.1871700287,0,16.1871700287,16.1871700287,15.9982051849,0,15.9982051849,15.9982051849,1
22,20,0,0.001,0.001,0.5,none,16.1871700287,0,16.1871700287,16.1871700287,15.9982051849,0,15.9982051849,15.9982051849,1
23,8,0,0.01,0.001,0.5,none,16.1729984283,0,16.1729984283,16.1729984283,15.9887571335,0,15.9887571335,15.9887571335,1
24,9,0,0.01,0.001,0.75,none,16.1729984283,0,16.1729984283,16.1729984283,15.9887571335,0,15.9887571335,15.9887571335,1
25,10,0,0.01,0.01,0.25,none,16.1729984283,0,16.1729984283,16.1729984283,15.9887571335,0,15.9887571335,15.9887571335,1
26,11,0,0.01,0.01,0.5,none,16.1729984283,0,16.1729984283,16.1729984283,15.9887571335,0,15.9887571335,15.9887571335,1
27,12,0,0.01,0.01,0.75,none,16.1729984283,0,16.1729984283,16.1729984283,15.9887571335,0,15.9887571335,15.9887571335,1
28,22,0,0.001,0.01,0.25,none,16.1729984283,0,16.1729984283,16.1729984283,15.9887571335,0,15.9887571335,15.9887571335,1
29,23,0,0.001,0.01,0.5,none,16.1729984283,0,16.1729984283,16.1729984283,15.9887571335,0,15.9887571335,15.9887571335,1
30,24,0,0.001,0.01,0.75,none,16.1729984283,0,16.1729984283,16.1729984283,15.9887571335,0,15.9887571335,15.9887571335,1
31,31,0,0.0001,0.001,0.25,none,4.48554420471,0,4.48554420471,4.48554420471,4.63199186325,0,4.63199186325,4.63199186325,1
32,32,0,0.0001,0.001,0.5,none,4.48554420471,0,4.48554420471,4.48554420471,4.63199186325,0,4.63199186325,4.63199186325,1
33,33,0,0.0001,0.001,0.75,none,4.48554420471,0,4.48554420471,4.48554420471,4.63199186325,0,4.63199186325,4.63199186325,1
34,34,0,0.0001,0.01,0.25,none,4.48318243027,0,4.48318243027,4.48318243027,4.63199186325,0,4.63199186325,4.63199186325,1
35,35,0,0.0001,0.01,0.5,none,4.48318243027,0,4.48318243027,4.48318243027,4.63199186325,0,4.63199186325,4.63199186325,1
36,36,0,0.0001,0.01,0.75,none,4.48318243027,0,4.48318243027,4.48318243027,4.63199186325,0,4.63199186325,4.63199186325,1
