task_id,pool,label,status,attempts,return_code,seconds,last_log_path,error_message
grid_candidate_0005,grid,grid_candidate_0005,completed,1,0,39.211096,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0005_attempt_1.log,
grid_candidate_0004,grid,grid_candidate_0004,completed,1,0,42.126438,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0004_attempt_1.log,
grid_candidate_0008,grid,grid_candidate_0008,completed,1,0,35.892226,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0008_attempt_1.log,
grid_candidate_0010,grid,grid_candidate_0010,completed,1,0,33.263007,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0010_attempt_1.log,
grid_candidate_0006,grid,grid_candidate_0006,completed,1,0,41.320222,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0006_attempt_1.log,
grid_candidate_0007,grid,grid_candidate_0007,completed,1,0,41.921486,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0007_attempt_1.log,
grid_candidate_0009,grid,grid_candidate_0009,completed,1,0,38.792015,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0009_attempt_1.log,
grid_candidate_0001,grid,grid_candidate_0001,completed,1,0,50.767891,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0001_attempt_1.log,
grid_candidate_0011,grid,grid_candidate_0011,completed,1,0,37.177736,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0011_attempt_1.log,
grid_candidate_0012,grid,grid_candidate_0012,completed,1,0,28.732415,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0012_attempt_1.log,
grid_candidate_0013,grid,grid_candidate_0013,completed,1,0,26.116163,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0013_attempt_1.log,
grid_candidate_0002,grid,grid_candidate_0002,completed,1,0,56.694537,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0002_attempt_1.log,
grid_candidate_0014,grid,grid_candidate_0014,completed,1,0,22.195278,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0014_attempt_1.log,
grid_candidate_0003,grid,grid_candidate_0003,completed,1,0,63.524872,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0003_attempt_1.log,
grid_candidate_0016,grid,grid_candidate_0016,completed,1,0,20.893892,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0016_attempt_1.log,
grid_candidate_0017,grid,grid_candidate_0017,completed,1,0,22.102259,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0017_attempt_1.log,
grid_candidate_0015,grid,grid_candidate_0015,completed,1,0,33.349468,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0015_attempt_1.log,
grid_candidate_0020,grid,grid_candidate_0020,completed,1,0,26.818539,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0020_attempt_1.log,
grid_candidate_0018,grid,grid_candidate_0018,completed,1,0,33.949058,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0018_attempt_1.log,
grid_candidate_0019,grid,grid_candidate_0019,completed,1,0,33.345144,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0019_attempt_1.log,
grid_candidate_0021,grid,grid_candidate_0021,completed,1,0,28.725259,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0021_attempt_1.log,
grid_candidate_0023,grid,grid_candidate_0023,completed,1,0,26.617425,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0023_attempt_1.log,
grid_candidate_0022,grid,grid_candidate_0022,completed,1,0,31.134870,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0022_attempt_1.log,
grid_candidate_0024,grid,grid_candidate_0024,completed,1,0,29.242033,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0024_attempt_1.log,
grid_candidate_0026,grid,grid_candidate_0026,completed,1,0,34.375816,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0026_attempt_1.log,
grid_candidate_0028,grid,grid_candidate_0028,completed,1,0,31.562299,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0028_attempt_1.log,
grid_candidate_0034,grid,grid_candidate_0034,completed,1,0,21.215696,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0034_attempt_1.log,
grid_candidate_0031,grid,grid_candidate_0031,completed,1,0,33.386931,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/eigen_norm/dataset=ogbn-arxiv/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0031_attempt_1.log,
