rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,6,0,0.01,0.0001,0.75,none,47.4322280884,0,47.4322280884,47.4322280884,46.8442687988,0,46.8442687988,46.8442687988,1
2,3,0,0.01,0,0.75,none,47.3697891235,0,47.3697891235,47.3697891235,46.6829681396,0,46.6829681396,46.6829681396,1
3,9,0,0.01,0.001,0.75,none,46.3551712036,0,46.3551712036,46.3551712036,45.8192405701,0,45.8192405701,45.8192405701,1
4,8,0,0.01,0.001,0.5,none,45.6943626404,0,45.6943626404,45.6943626404,44.7109603882,0,44.7109603882,44.7109603882,1
5,15,0,0.001,0,0.75,none,44.6797447205,0,44.6797447205,44.6797447205,44.2686920166,0,44.2686920166,44.2686920166,1
6,18,0,0.001,0.0001,0.75,none,44.5964927673,0,44.5964927673,44.5964927673,44.1958465576,0,44.1958465576,44.1958465576,1
7,21,0,0.001,0.001,0.75,none,43.7847938538,0,43.7847938538,43.7847938538,43.5350418091,0,43.5350418091,43.5350418091,1
8,5,0,0.01,0.0001,0.5,none,43.3581352234,0,43.3581352234,43.3581352234,42.5360336304,0,42.5360336304,42.5360336304,1
9,2,0,0.01,0,0.5,none,43.1448059082,0,43.1448059082,43.1448059082,42.3435134888,0,42.3435134888,42.3435134888,1
10,14,0,0.001,0,0.5,none,42.2082290649,0,42.2082290649,42.2082290649,41.6098670959,0,41.6098670959,41.6098670959,1
11,17,0,0.001,0.0001,0.5,none,42.1562004089,0,42.1562004089,42.1562004089,41.6410827637,0,41.6410827637,41.6410827637,1
12,20,0,0.001,0.001,0.5,none,41.7971801758,0,41.7971801758,41.7971801758,41.2040176392,0,41.2040176392,41.2040176392,1
13,11,0,0.01,0.01,0.5,none,40.9594650269,0,40.9594650269,40.9594650269,40.2102088928,0,40.2102088928,40.2102088928,1
14,7,0,0.01,0.001,0.25,none,39.3933105469,0,39.3933105469,39.3933105469,39.0863227844,0,39.0863227844,39.0863227844,1
15,12,0,0.01,0.01,0.75,none,39.0290870667,0,39.0290870667,39.0290870667,38.6700668335,0,38.6700668335,38.6700668335,1
16,24,0,0.001,0.01,0.75,none,38.8990058899,0,38.8990058899,38.8990058899,38.7429084778,0,38.7429084778,38.7429084778,1
17,10,0,0.01,0.01,0.25,none,38.6700668335,0,38.6700668335,38.6700668335,37.6866645813,0,37.6866645813,37.6866645813,1
18,23,0,0.001,0.01,0.5,none,38.5816116333,0,38.5816116333,38.5816116333,38.0925102234,0,38.0925102234,38.0925102234,1
19,22,0,0.001,0.01,0.25,none,37.4525184631,0,37.4525184631,37.4525184631,36.9322013855,0,36.9322013855,36.9322013855,1
20,19,0,0.001,0.001,0.25,none,36.8229370117,0,36.8229370117,36.8229370117,36.3598518372,0,36.3598518372,36.3598518372,1
21,13,0,0.001,0,0.25,none,35.0694618225,0,35.0694618225,35.0694618225,34.408657074,0,34.408657074,34.408657074,1
22,16,0,0.001,0.0001,0.25,none,35.0538520813,0,35.0538520813,35.0538520813,34.48670578,0,34.48670578,34.48670578,1
23,33,0,0.0001,0.001,0.75,none,31.1410579681,0,31.1410579681,31.1410579681,30.7195987701,0,30.7195987701,30.7195987701,1
24,30,0,0.0001,0.0001,0.75,none,31.130651474,0,31.130651474,31.130651474,30.7143955231,0,30.7143955231,30.7143955231,1
25,27,0,0.0001,0,0.75,none,31.1150436401,0,31.1150436401,31.1150436401,30.7039909363,0,30.7039909363,30.7039909363,1
26,36,0,0.0001,0.01,0.75,none,31.0317897797,0,31.0317897797,31.0317897797,30.610332489,0,30.610332489,30.610332489,1
27,1,0,0.01,0,0.25,none,30.8756942749,0,30.8756942749,30.8756942749,30.1264381409,0,30.1264381409,30.1264381409,1
28,4,0,0.01,0.0001,0.25,none,30.8756942749,0,30.8756942749,30.8756942749,30.1160297394,0,30.1160297394,30.1160297394,1
29,35,0,0.0001,0.01,0.5,none,30.2513122559,0,30.2513122559,30.2513122559,29.9079036713,0,29.9079036713,29.9079036713,1
30,26,0,0.0001,0,0.5,none,30.1056232452,0,30.1056232452,30.1056232452,29.9859523773,0,29.9859523773,29.9859523773,1
31,29,0,0.0001,0.0001,0.5,none,30.063999176,0,30.063999176,30.063999176,29.9859523773,0,29.9859523773,29.9859523773,1
32,32,0,0.0001,0.001,0.5,none,30.0431842804,0,30.0431842804,30.0431842804,29.9807491302,0,29.9807491302,29.9807491302,1
33,34,0,0.0001,0.01,0.25,none,29.741399765,0,29.741399765,29.741399765,29.4240055084,0,29.4240055084,29.4240055084,1
34,31,0,0.0001,0.001,0.25,none,29.61652565,0,29.61652565,29.61652565,29.5228691101,0,29.5228691101,29.5228691101,1
35,25,0,0.0001,0,0.25,none,29.5644931793,0,29.5644931793,29.5644931793,29.4916477203,0,29.4916477203,29.4916477203,1
36,28,0,0.0001,0.0001,0.25,none,29.5644931793,0,29.5644931793,29.5644931793,29.4864444733,0,29.4864444733,29.4864444733,1
