rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,9,0,0.01,0.001,0.75,none,70.8894882202,0,70.8894882202,70.8894882202,71.794380188,0,71.794380188,71.794380188,1
2,12,0,0.01,0.01,0.75,none,69.4070129395,0,69.4070129395,69.4070129395,69.3203659058,0,69.3203659058,69.3203659058,1
3,6,0,0.01,0.0001,0.75,none,68.5983810425,0,68.5983810425,68.5983810425,69.2818603516,0,69.2818603516,69.2818603516,1
4,21,0,0.001,0.001,0.75,none,67.6934890747,0,67.6934890747,67.6934890747,67.6164779663,0,67.6164779663,67.6164779663,1
5,24,0,0.001,0.01,0.75,none,67.6261062622,0,67.6261062622,67.6261062622,67.8763961792,0,67.8763961792,67.8763961792,1
6,3,0,0.01,0,0.75,none,67.5394744873,0,67.5394744873,67.5394744873,68.1555633545,0,68.1555633545,68.1555633545,1
7,15,0,0.001,0,0.75,none,67.4239501953,0,67.4239501953,67.4239501953,67.337310791,0,67.337310791,67.337310791,1
8,18,0,0.001,0.0001,0.75,none,67.3854446411,0,67.3854446411,67.3854446411,67.3469390869,0,67.3469390869,67.3469390869,1
9,11,0,0.01,0.01,0.5,none,67.3180541992,0,67.3180541992,67.3180541992,67.587600708,0,67.587600708,67.587600708,1
10,8,0,0.01,0.001,0.5,none,67.1159057617,0,67.1159057617,67.1159057617,67.0100097656,0,67.0100097656,67.0100097656,1
11,23,0,0.001,0.01,0.5,none,65.8548278809,0,65.8548278809,65.8548278809,66.0088500977,0,66.0088500977,66.0088500977,1
12,22,0,0.001,0.01,0.25,none,64.824798584,0,64.824798584,64.824798584,64.6515197754,0,64.6515197754,64.6515197754,1
13,20,0,0.001,0.001,0.5,none,64.4397354126,0,64.4397354126,64.4397354126,64.2568359375,0,64.2568359375,64.2568359375,1
14,10,0,0.01,0.01,0.25,none,64.381980896,0,64.381980896,64.381980896,64.4301147461,0,64.4301147461,64.4301147461,1
15,2,0,0.01,0,0.5,none,63.4578361511,0,63.4578361511,63.4578361511,63.1112823486,0,63.1112823486,63.1112823486,1
16,5,0,0.01,0.0001,0.5,none,63.4000778198,0,63.4000778198,63.4000778198,63.1401596069,0,63.1401596069,63.1401596069,1
17,7,0,0.01,0.001,0.25,none,63.2268028259,0,63.2268028259,63.2268028259,63.2075500488,0,63.2075500488,63.2075500488,1
18,17,0,0.001,0.0001,0.5,none,60.8490600586,0,60.8490600586,60.8490600586,60.6950340271,0,60.6950340271,60.6950340271,1
19,14,0,0.001,0,0.5,none,60.7527923584,0,60.7527923584,60.7527923584,60.67578125,0,60.67578125,60.67578125,1
20,19,0,0.001,0.001,0.25,none,58.3172912598,0,58.3172912598,58.3172912598,58.355796814,0,58.355796814,58.355796814,1
21,16,0,0.001,0.0001,0.25,none,56.7866744995,0,56.7866744995,56.7866744995,56.3534851074,0,56.3534851074,56.3534851074,1
22,13,0,0.001,0,0.25,none,56.7096633911,0,56.7096633911,56.7096633911,56.3342323303,0,56.3342323303,56.3342323303,1
23,4,0,0.01,0.0001,0.25,none,53.0804748535,0,53.0804748535,53.0804748535,52.3392372131,0,52.3392372131,52.3392372131,1
24,1,0,0.01,0,0.25,none,53.0227203369,0,53.0227203369,53.0227203369,52.1467094421,0,52.1467094421,52.1467094421,1
25,35,0,0.0001,0.01,0.5,none,52.1948394775,0,52.1948394775,52.1948394775,51.2995796204,0,51.2995796204,51.2995796204,1
26,32,0,0.0001,0.001,0.5,none,52.0408172607,0,52.0408172607,52.0408172607,51.0492858887,0,51.0492858887,51.0492858887,1
27,26,0,0.0001,0,0.5,none,51.9638061523,0,51.9638061523,51.9638061523,51.0204086304,0,51.0204086304,51.0204086304,1
28,29,0,0.0001,0.0001,0.5,none,51.9541816711,0,51.9541816711,51.9541816711,51.0300331116,0,51.0300331116,51.0300331116,1
29,34,0,0.0001,0.01,0.25,none,51.9252967834,0,51.9252967834,51.9252967834,50.9626502991,0,50.9626502991,50.9626502991,1
30,31,0,0.0001,0.001,0.25,none,51.5017318726,0,51.5017318726,51.5017318726,50.3946838379,0,50.3946838379,50.3946838379,1
31,28,0,0.0001,0.0001,0.25,none,51.4728546143,0,51.4728546143,51.4728546143,50.3465538025,0,50.3465538025,50.3465538025,1
32,25,0,0.0001,0,0.25,none,51.4343490601,0,51.4343490601,51.4343490601,50.2984237671,0,50.2984237671,50.2984237671,1
33,33,0,0.0001,0.001,0.75,none,51.4343490601,0,51.4343490601,51.4343490601,50.7316131592,0,50.7316131592,50.7316131592,1
34,30,0,0.0001,0.0001,0.75,none,51.4054641724,0,51.4054641724,51.4054641724,50.693107605,0,50.693107605,50.693107605,1
35,27,0,0.0001,0,0.75,none,51.3958396912,0,51.3958396912,51.3958396912,50.7027320862,0,50.7027320862,50.7027320862,1
36,36,0,0.0001,0.01,0.75,none,51.38621521,0,51.38621521,51.38621521,50.7123603821,0,50.7123603821,50.7123603821,1
