rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,24,0,0.001,0.01,0.75,none,64.0625,0,64.0625,64.0625,62.6201934814,0,62.6201934814,62.6201934814,1
2,23,0,0.001,0.01,0.5,none,63.8221206665,0,63.8221206665,63.8221206665,62.5,0,62.5,62.5,1
3,12,0,0.01,0.01,0.75,none,63.4615402222,0,63.4615402222,63.4615402222,62.3798065186,0,62.3798065186,62.3798065186,1
4,15,0,0.001,0,0.75,none,62.2596206665,0,62.2596206665,62.2596206665,59.0144271851,0,59.0144271851,59.0144271851,1
5,18,0,0.001,0.0001,0.75,none,62.2596206665,0,62.2596206665,62.2596206665,58.8942337036,0,58.8942337036,58.8942337036,1
6,21,0,0.001,0.001,0.75,none,62.1394271851,0,62.1394271851,62.1394271851,59.0144271851,0,59.0144271851,59.0144271851,1
7,11,0,0.01,0.01,0.5,none,60.3365402222,0,60.3365402222,60.3365402222,59.2548065186,0,59.2548065186,59.2548065186,1
8,6,0,0.01,0.0001,0.75,none,59.4951934814,0,59.4951934814,59.4951934814,56.971157074,0,56.971157074,56.971157074,1
9,3,0,0.01,0,0.75,none,59.375,0,59.375,59.375,56.971157074,0,56.971157074,56.971157074,1
10,9,0,0.01,0.001,0.75,none,59.375,0,59.375,59.375,57.4519271851,0,57.4519271851,57.4519271851,1
11,26,0,0.0001,0,0.5,none,59.1346206665,0,59.1346206665,59.1346206665,55.408657074,0,55.408657074,55.408657074,1
12,29,0,0.0001,0.0001,0.5,none,59.1346206665,0,59.1346206665,59.1346206665,55.408657074,0,55.408657074,55.408657074,1
13,32,0,0.0001,0.001,0.5,none,59.1346206665,0,59.1346206665,59.1346206665,55.408657074,0,55.408657074,55.408657074,1
14,35,0,0.0001,0.01,0.5,none,59.1346206665,0,59.1346206665,59.1346206665,55.2884635925,0,55.2884635925,55.2884635925,1
15,34,0,0.0001,0.01,0.25,none,58.6538505554,0,58.6538505554,58.6538505554,54.4471130371,0,54.4471130371,54.4471130371,1
16,36,0,0.0001,0.01,0.75,none,58.6538505554,0,58.6538505554,58.6538505554,55.8894271851,0,55.8894271851,55.8894271851,1
17,14,0,0.001,0,0.5,none,58.533657074,0,58.533657074,58.533657074,57.0913505554,0,57.0913505554,57.0913505554,1
18,22,0,0.001,0.01,0.25,none,58.533657074,0,58.533657074,58.533657074,57.0913505554,0,57.0913505554,57.0913505554,1
19,27,0,0.0001,0,0.75,none,58.4134635925,0,58.4134635925,58.4134635925,54.9278869629,0,54.9278869629,54.9278869629,1
20,30,0,0.0001,0.0001,0.75,none,58.4134635925,0,58.4134635925,58.4134635925,54.9278869629,0,54.9278869629,54.9278869629,1
21,33,0,0.0001,0.001,0.75,none,58.4134635925,0,58.4134635925,58.4134635925,54.9278869629,0,54.9278869629,54.9278869629,1
22,25,0,0.0001,0,0.25,none,58.2932701111,0,58.2932701111,58.2932701111,54.3269271851,0,54.3269271851,54.3269271851,1
23,28,0,0.0001,0.0001,0.25,none,58.2932701111,0,58.2932701111,58.2932701111,54.4471130371,0,54.4471130371,54.4471130371,1
24,10,0,0.01,0.01,0.25,none,58.1730766296,0,58.1730766296,58.1730766296,56.7307701111,0,56.7307701111,56.7307701111,1
25,17,0,0.001,0.0001,0.5,none,58.1730766296,0,58.1730766296,58.1730766296,56.6105766296,0,56.6105766296,56.6105766296,1
26,19,0,0.001,0.001,0.25,none,58.1730766296,0,58.1730766296,58.1730766296,55.8894271851,0,55.8894271851,55.8894271851,1
27,20,0,0.001,0.001,0.5,none,58.1730766296,0,58.1730766296,58.1730766296,56.7307701111,0,56.7307701111,56.7307701111,1
28,31,0,0.0001,0.001,0.25,none,58.1730766296,0,58.1730766296,58.1730766296,53.9663505554,0,53.9663505554,53.9663505554,1
29,13,0,0.001,0,0.25,none,57.9326934814,0,57.9326934814,57.9326934814,55.6490402222,0,55.6490402222,55.6490402222,1
30,16,0,0.001,0.0001,0.25,none,57.9326934814,0,57.9326934814,57.9326934814,53.6057701111,0,53.6057701111,53.6057701111,1
31,2,0,0.01,0,0.5,none,54.8076934814,0,54.8076934814,54.8076934814,50.9615402222,0,50.9615402222,50.9615402222,1
32,5,0,0.01,0.0001,0.5,none,54.5673065186,0,54.5673065186,54.5673065186,51.0817337036,0,51.0817337036,51.0817337036,1
33,8,0,0.01,0.001,0.5,none,54.5673065186,0,54.5673065186,54.5673065186,51.2019271851,0,51.2019271851,51.2019271851,1
34,1,0,0.01,0,0.25,none,53.6057701111,0,53.6057701111,53.6057701111,50.4807701111,0,50.4807701111,50.4807701111,1
35,4,0,0.01,0.0001,0.25,none,53.6057701111,0,53.6057701111,53.6057701111,50.4807701111,0,50.4807701111,50.4807701111,1
36,7,0,0.01,0.001,0.25,none,53.6057701111,0,53.6057701111,53.6057701111,50.4807701111,0,50.4807701111,50.4807701111,1
