rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,24,0,0.001,0.01,0.75,none,85.7707519531,0,85.7707519531,85.7707519531,84.1897201538,0,84.1897201538,84.1897201538,1
2,12,0,0.01,0.01,0.75,none,84.8108444214,0,84.8108444214,84.8108444214,83.2298126221,0,83.2298126221,83.2298126221,1
3,23,0,0.001,0.01,0.5,none,84.5849838257,0,84.5849838257,84.5849838257,82.6651611328,0,82.6651611328,82.6651611328,1
4,15,0,0.001,0,0.75,none,84.5285110474,0,84.5285110474,84.5285110474,82.7780914307,0,82.7780914307,82.7780914307,1
5,18,0,0.001,0.0001,0.75,none,84.4720458984,0,84.4720458984,84.4720458984,82.7780914307,0,82.7780914307,82.7780914307,1
6,21,0,0.001,0.001,0.75,none,84.4720458984,0,84.4720458984,84.4720458984,82.9474868774,0,82.9474868774,82.9474868774,1
7,10,0,0.01,0.01,0.25,none,83.6250686646,0,83.6250686646,83.6250686646,82.2134399414,0,82.2134399414,82.2134399414,1
8,9,0,0.01,0.001,0.75,none,83.5121383667,0,83.5121383667,83.5121383667,81.9311065674,0,81.9311065674,81.9311065674,1
9,6,0,0.01,0.0001,0.75,none,83.3427429199,0,83.3427429199,83.3427429199,81.9311065674,0,81.9311065674,81.9311065674,1
10,3,0,0.01,0,0.75,none,83.286277771,0,83.286277771,83.286277771,81.9311065674,0,81.9311065674,81.9311065674,1
11,22,0,0.001,0.01,0.25,none,83.1168823242,0,83.1168823242,83.1168823242,80.9711990356,0,80.9711990356,80.9711990356,1
12,14,0,0.001,0,0.5,none,82.8345565796,0,82.8345565796,82.8345565796,80.4630126953,0,80.4630126953,80.4630126953,1
13,17,0,0.001,0.0001,0.5,none,82.8345565796,0,82.8345565796,82.8345565796,80.5759429932,0,80.5759429932,80.5759429932,1
14,20,0,0.001,0.001,0.5,none,82.7780914307,0,82.7780914307,82.7780914307,80.7453384399,0,80.7453384399,80.7453384399,1
15,11,0,0.01,0.01,0.5,none,81.9875793457,0,81.9875793457,81.9875793457,80.6324157715,0,80.6324157715,80.6324157715,1
16,13,0,0.001,0,0.25,none,80.8582687378,0,80.8582687378,80.8582687378,78.7125854492,0,78.7125854492,78.7125854492,1
17,16,0,0.001,0.0001,0.25,none,80.8582687378,0,80.8582687378,80.8582687378,78.7690582275,0,78.7690582275,78.7690582275,1
18,19,0,0.001,0.001,0.25,none,80.6324157715,0,80.6324157715,80.6324157715,78.2608718872,0,78.2608718872,78.2608718872,1
19,7,0,0.01,0.001,0.25,none,80.4630126953,0,80.4630126953,80.4630126953,78.8255233765,0,78.8255233765,78.8255233765,1
20,36,0,0.0001,0.01,0.75,none,78.8819885254,0,78.8819885254,78.8819885254,76.6798400879,0,76.6798400879,76.6798400879,1
21,33,0,0.0001,0.001,0.75,none,78.7125854492,0,78.7125854492,78.7125854492,76.623374939,0,76.623374939,76.623374939,1
22,27,0,0.0001,0,0.75,none,78.6561279297,0,78.6561279297,78.6561279297,76.623374939,0,76.623374939,76.623374939,1
23,30,0,0.0001,0.0001,0.75,none,78.6561279297,0,78.6561279297,78.6561279297,76.623374939,0,76.623374939,76.623374939,1
24,35,0,0.0001,0.01,0.5,none,78.430267334,0,78.430267334,78.430267334,76.3975143433,0,76.3975143433,76.3975143433,1
25,31,0,0.0001,0.001,0.25,none,78.3737945557,0,78.3737945557,78.3737945557,75.6070022583,0,75.6070022583,75.6070022583,1
26,34,0,0.0001,0.01,0.25,none,78.3737945557,0,78.3737945557,78.3737945557,76.1151885986,0,76.1151885986,76.1151885986,1
27,25,0,0.0001,0,0.25,none,78.3173294067,0,78.3173294067,78.3173294067,75.6070022583,0,75.6070022583,75.6070022583,1
28,28,0,0.0001,0.0001,0.25,none,78.3173294067,0,78.3173294067,78.3173294067,75.6070022583,0,75.6070022583,75.6070022583,1
29,26,0,0.0001,0,0.5,none,78.2608718872,0,78.2608718872,78.2608718872,76.4539794922,0,76.4539794922,76.4539794922,1
30,29,0,0.0001,0.0001,0.5,none,78.2608718872,0,78.2608718872,78.2608718872,76.5104446411,0,76.5104446411,76.5104446411,1
31,32,0,0.0001,0.001,0.5,none,78.2044067383,0,78.2044067383,78.2044067383,76.2281188965,0,76.2281188965,76.2281188965,1
32,8,0,0.01,0.001,0.5,none,77.4703598022,0,77.4703598022,77.4703598022,76.9621658325,0,76.9621658325,76.9621658325,1
33,5,0,0.01,0.0001,0.5,none,77.4138870239,0,77.4138870239,77.4138870239,76.7363052368,0,76.7363052368,76.7363052368,1
34,2,0,0.01,0,0.5,none,77.3009567261,0,77.3009567261,77.3009567261,76.8492355347,0,76.8492355347,76.8492355347,1
35,1,0,0.01,0,0.25,none,76.9621658325,0,76.9621658325,76.9621658325,74.5341567993,0,74.5341567993,74.5341567993,1
36,4,0,0.01,0.0001,0.25,none,76.9621658325,0,76.9621658325,76.9621658325,74.5341567993,0,74.5341567993,74.5341567993,1
