rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,5,0,0.01,0.0001,0.5,none,58.0309944153,0,58.0309944153,58.0309944153,57.7782516479,0,57.7782516479,57.7782516479,1
2,2,0,0.01,0,0.5,none,57.6695976257,0,57.6695976257,57.6695976257,57.5042533875,0,57.5042533875,57.5042533875,1
3,8,0,0.01,0.001,0.5,none,56.6586380005,0,56.6586380005,56.6586380005,56.4224319458,0,56.4224319458,56.4224319458,1
4,3,0,0.01,0,0.75,none,56.353931427,0,56.353931427,56.353931427,56.4011764526,0,56.4011764526,56.4011764526,1
5,7,0,0.01,0.001,0.25,none,56.0185203552,0,56.0185203552,56.0185203552,56.0137939453,0,56.0137939453,56.0137939453,1
6,6,0,0.01,0.0001,0.75,none,55.8153800964,0,55.8153800964,55.8153800964,55.7043685913,0,55.7043685913,55.7043685913,1
7,4,0,0.01,0.0001,0.25,none,55.5626449585,0,55.5626449585,55.5626449585,55.4492645264,0,55.4492645264,55.4492645264,1
8,1,0,0.01,0,0.25,none,55.1398353577,0,55.1398353577,55.1398353577,54.9697647095,0,54.9697647095,54.9697647095,1
9,14,0,0.001,0,0.5,none,54.8847312927,0,54.8847312927,54.8847312927,54.2776832581,0,54.2776832581,54.2776832581,1
10,17,0,0.001,0.0001,0.5,none,54.7004928589,0,54.7004928589,54.7004928589,54.1926498413,0,54.1926498413,54.1926498413,1
11,20,0,0.001,0.001,0.5,none,53.4556884766,0,53.4556884766,53.4556884766,53.0730361938,0,53.0730361938,53.0730361938,1
12,9,0,0.01,0.001,0.75,none,53.3730163574,0,53.3730163574,53.3730163574,53.1226387024,0,53.1226387024,53.1226387024,1
13,15,0,0.001,0,0.75,none,53.3659286499,0,53.3659286499,53.3659286499,53.1061058044,0,53.1061058044,53.1061058044,1
14,18,0,0.001,0.0001,0.75,none,53.2501869202,0,53.2501869202,53.2501869202,53.0187072754,0,53.0187072754,53.0187072754,1
15,13,0,0.001,0,0.25,none,52.5250358582,0,52.5250358582,52.5250358582,52.2156105042,0,52.2156105042,52.2156105042,1
16,16,0,0.001,0.0001,0.25,none,52.4777946472,0,52.4777946472,52.4777946472,52.1612815857,0,52.1612815857,52.1612815857,1
17,21,0,0.001,0.001,0.75,none,52.0455436707,0,52.0455436707,52.0455436707,52.0030250549,0,52.0030250549,52.0030250549,1
18,19,0,0.001,0.001,0.25,none,51.8211479187,0,51.8211479187,51.8211479187,51.5754928589,0,51.5754928589,51.5754928589,1
19,10,0,0.01,0.01,0.25,none,48.7433891296,0,48.7433891296,48.7433891296,48.6276435852,0,48.6276435852,48.6276435852,1
20,11,0,0.01,0.01,0.5,none,47.9261169434,0,47.9261169434,47.9261169434,47.5458221436,0,47.5458221436,47.5458221436,1
21,22,0,0.001,0.01,0.25,none,45.9821434021,0,45.9821434021,45.9821434021,45.7766456604,0,45.7766456604,45.7766456604,1
22,23,0,0.001,0.01,0.5,none,45.4081611633,0,45.4081611633,45.4081611633,45.1932144165,0,45.1932144165,45.1932144165,1
23,24,0,0.001,0.01,0.75,none,43.572845459,0,43.572845459,43.572845459,43.3626251221,0,43.3626251221,43.3626251221,1
24,12,0,0.01,0.01,0.75,none,42.9398155212,0,42.9398155212,42.9398155212,42.7177810669,0,42.7177810669,42.7177810669,1
25,29,0,0.0001,0.0001,0.5,none,32.8963546753,0,32.8963546753,32.8963546753,33.1420059204,0,33.1420059204,33.1420059204,1
26,26,0,0.0001,0,0.5,none,32.8869056702,0,32.8869056702,32.8869056702,33.1514549255,0,33.1514549255,33.1514549255,1
27,32,0,0.0001,0.001,0.5,none,32.8278541565,0,32.8278541565,32.8278541565,33.0924034119,0,33.0924034119,33.0924034119,1
28,25,0,0.0001,0,0.25,none,32.700302124,0,32.700302124,32.700302124,33.0758705139,0,33.0758705139,33.0758705139,1
29,28,0,0.0001,0.0001,0.25,none,32.6837692261,0,32.6837692261,32.6837692261,33.0971260071,0,33.0971260071,33.0971260071,1
30,31,0,0.0001,0.001,0.25,none,32.643611908,0,32.643611908,32.643611908,33.1183891296,0,33.1183891296,33.1183891296,1
31,30,0,0.0001,0.0001,0.75,none,32.3058395386,0,32.3058395386,32.3058395386,32.3483543396,0,32.3483543396,32.3483543396,1
32,27,0,0.0001,0,0.75,none,32.3034744263,0,32.3034744263,32.3034744263,32.3436317444,0,32.3436317444,32.3436317444,1
33,34,0,0.0001,0.01,0.25,none,32.2893066406,0,32.2893066406,32.2893066406,32.5467720032,0,32.5467720032,32.5467720032,1
34,33,0,0.0001,0.001,0.75,none,32.2231674194,0,32.2231674194,32.2231674194,32.2798576355,0,32.2798576355,32.2798576355,1
35,35,0,0.0001,0.01,0.5,none,31.8357906342,0,31.8357906342,31.8357906342,32.0082206726,0,32.0082206726,32.0082206726,1
36,36,0,0.0001,0.01,0.75,none,31.3161373138,0,31.3161373138,31.3161373138,31.3019657135,0,31.3019657135,31.3019657135,1
