rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,1,2,0.01,0,0.25,none,40.0385017395,0,40.0385017395,40.0385017395,39.9032211304,0,39.9032211304,39.9032211304,1
2,37,4,0.01,0,0.25,none,39.7783432007,0,39.7783432007,39.7783432007,39.5806236267,0,39.5806236267,39.5806236267,1
3,2,2,0.01,0,0.5,none,39.325668335,0,39.325668335,39.325668335,39.0394935608,0,39.0394935608,39.0394935608,1
4,73,8,0.01,0,0.25,none,39.2164001465,0,39.2164001465,39.2164001465,38.8781929016,0,38.8781929016,38.8781929016,1
5,38,4,0.01,0,0.5,none,39.1955871582,0,39.1955871582,39.1955871582,38.831363678,0,38.831363678,38.831363678,1
6,74,8,0.01,0,0.5,none,38.7377090454,0,38.7377090454,38.7377090454,38.4931564331,0,38.4931564331,38.4931564331,1
7,39,4,0.01,0,0.75,none,38.4255180359,0,38.4255180359,38.4255180359,38.1757621765,0,38.1757621765,38.1757621765,1
8,3,2,0.01,0,0.75,none,38.2954368591,0,38.2954368591,38.2954368591,38.0248680115,0,38.0248680115,38.0248680115,1
9,75,8,0.01,0,0.75,none,38.2017784119,0,38.2017784119,38.2017784119,37.7699127197,0,37.7699127197,37.7699127197,1
10,109,16,0.01,0,0.25,none,38.0873069763,0,38.0873069763,38.0873069763,37.7022743225,0,37.7022743225,37.7022743225,1
11,110,16,0.01,0,0.5,none,37.5461769104,0,37.5461769104,37.5461769104,37.2912216187,0,37.2912216187,37.2912216187,1
12,111,16,0.01,0,0.75,none,37.0778923035,0,37.0778923035,37.0778923035,36.9009819031,0,36.9009819031,36.9009819031,1
13,145,32,0.01,0,0.25,none,35.8135147095,0,35.8135147095,35.8135147095,35.6834373474,0,35.6834373474,35.6834373474,1
14,146,32,0.01,0,0.5,none,35.652217865,0,35.652217865,35.652217865,35.6053886414,0,35.6053886414,35.6053886414,1
15,4,2,0.01,0.0001,0.25,none,35.6209983826,0,35.6209983826,35.6209983826,35.5377502441,0,35.5377502441,35.5377502441,1
16,147,32,0.01,0,0.75,none,35.2879981995,0,35.2879981995,35.2879981995,35.2099494934,0,35.2099494934,35.2099494934,1
17,40,4,0.01,0.0001,0.25,none,35.0226325989,0,35.0226325989,35.0226325989,34.9654006958,0,34.9654006958,34.9654006958,1
18,5,2,0.01,0.0001,0.5,none,34.8405227661,0,34.8405227661,34.8405227661,34.8197097778,0,34.8197097778,34.8197097778,1
19,76,8,0.01,0.0001,0.25,none,34.4346733093,0,34.4346733093,34.4346733093,34.4762992859,0,34.4762992859,34.4762992859,1
20,41,4,0.01,0.0001,0.5,none,34.4034538269,0,34.4034538269,34.4034538269,34.5023155212,0,34.5023155212,34.5023155212,1
21,181,64,0.01,0,0.25,none,34.1537017822,0,34.1537017822,34.1537017822,34.2785758972,0,34.2785758972,34.2785758972,1
22,182,64,0.01,0,0.5,none,34.060043335,0,34.060043335,34.060043335,34.2109336853,0,34.2109336853,34.2109336853,1
23,183,64,0.01,0,0.75,none,34.0236206055,0,34.0236206055,34.0236206055,34.1537017822,0,34.1537017822,34.1537017822,1
24,77,8,0.01,0.0001,0.5,none,34.0028076172,0,34.0028076172,34.0028076172,34.0964660645,0,34.0964660645,34.0964660645,1
25,112,16,0.01,0.0001,0.25,none,33.8987464905,0,33.8987464905,33.8987464905,34.0548400879,0,34.0548400879,34.0548400879,1
26,6,2,0.01,0.0001,0.75,none,33.7114295959,0,33.7114295959,33.7114295959,33.6906204224,0,33.6906204224,33.6906204224,1
27,148,32,0.01,0.0001,0.25,none,33.6854171753,0,33.6854171753,33.6854171753,33.8779335022,0,33.8779335022,33.8779335022,1
28,42,4,0.01,0.0001,0.75,none,33.5605392456,0,33.5605392456,33.5605392456,33.5917549133,0,33.5917549133,33.5917549133,1
29,184,64,0.01,0.0001,0.25,none,33.5605392456,0,33.5605392456,33.5605392456,33.6958198547,0,33.6958198547,33.6958198547,1
30,113,16,0.01,0.0001,0.5,none,33.5397262573,0,33.5397262573,33.5397262573,33.7218360901,0,33.7218360901,33.7218360901,1
31,149,32,0.01,0.0001,0.5,none,33.3992385864,0,33.3992385864,33.3992385864,33.5605392456,0,33.5605392456,33.5605392456,1
32,185,64,0.01,0.0001,0.5,none,33.3472061157,0,33.3472061157,33.3472061157,33.4928970337,0,33.4928970337,33.4928970337,1
33,78,8,0.01,0.0001,0.75,none,33.2535514832,0,33.2535514832,33.2535514832,33.2639579773,0,33.2639579773,33.2639579773,1
