rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,74,8,0.01,0,0.5,none,76.2418136597,0,76.2418136597,76.2418136597,77.0408172607,0,77.0408172607,77.0408172607,1
2,111,16,0.01,0,0.75,none,76.1840591431,0,76.1840591431,76.1840591431,77.0023117065,0,77.0023117065,77.0023117065,1
3,110,16,0.01,0,0.5,none,76.1551818848,0,76.1551818848,76.1551818848,76.9445571899,0,76.9445571899,76.9445571899,1
4,75,8,0.01,0,0.75,none,76.1166763306,0,76.1166763306,76.1166763306,76.9156723022,0,76.9156723022,76.9156723022,1
5,109,16,0.01,0,0.25,none,75.8278808594,0,75.8278808594,75.8278808594,76.7520217896,0,76.7520217896,76.7520217896,1
6,73,8,0.01,0,0.25,none,75.7893753052,0,75.7893753052,75.7893753052,76.7231369019,0,76.7231369019,76.7231369019,1
7,40,4,0.01,0.0001,0.25,none,75.5872116089,0,75.5872116089,75.5872116089,75.9819030762,0,75.9819030762,75.9819030762,1
8,147,32,0.01,0,0.75,none,75.5102005005,0,75.5102005005,75.5102005005,75.7893753052,0,75.7893753052,75.7893753052,1
9,76,8,0.01,0.0001,0.25,none,75.4139328003,0,75.4139328003,75.4139328003,76.1070480347,0,76.1070480347,76.1070480347,1
10,146,32,0.01,0,0.5,none,75.4139328003,0,75.4139328003,75.4139328003,75.7412338257,0,75.7412338257,75.7412338257,1
11,38,4,0.01,0,0.5,none,75.3754348755,0,75.3754348755,75.3754348755,75.9337692261,0,75.9337692261,75.9337692261,1
12,39,4,0.01,0,0.75,none,75.2406616211,0,75.2406616211,75.2406616211,75.885635376,0,75.885635376,75.885635376,1
13,41,4,0.01,0.0001,0.5,none,75.0866394043,0,75.0866394043,75.0866394043,75.693107605,0,75.693107605,75.693107605,1
14,4,2,0.01,0.0001,0.25,none,75.0673828125,0,75.0673828125,75.0673828125,75.4524459839,0,75.4524459839,75.4524459839,1
15,37,4,0.01,0,0.25,none,74.9133605957,0,74.9133605957,74.9133605957,75.3946838379,0,75.3946838379,75.3946838379,1
16,77,8,0.01,0.0001,0.5,none,74.7785949707,0,74.7785949707,74.7785949707,75.3369293213,0,75.3369293213,75.3369293213,1
17,145,32,0.01,0,0.25,none,74.6726989746,0,74.6726989746,74.6726989746,74.9807510376,0,74.9807510376,74.9807510376,1
18,5,2,0.01,0.0001,0.5,none,74.2780151367,0,74.2780151367,74.2780151367,74.6534500122,0,74.6534500122,74.6534500122,1
19,112,16,0.01,0.0001,0.25,none,73.9025802612,0,73.9025802612,73.9025802612,74.6053161621,0,74.6053161621,74.6053161621,1
20,3,2,0.01,0,0.75,none,73.7774353027,0,73.7774353027,73.7774353027,73.9410858154,0,73.9410858154,73.9410858154,1
21,2,2,0.01,0,0.5,none,73.3346176147,0,73.3346176147,73.3346176147,73.6619186401,0,73.6619186401,73.6619186401,1
22,1,2,0.01,0,0.25,none,73.2768630981,0,73.2768630981,73.2768630981,73.7485580444,0,73.7485580444,73.7485580444,1
23,183,64,0.01,0,0.75,none,73.1132125854,0,73.1132125854,73.1132125854,73.4020004272,0,73.4020004272,73.4020004272,1
24,113,16,0.01,0.0001,0.5,none,72.6703872681,0,72.6703872681,72.6703872681,73.1517105103,0,73.1517105103,73.1517105103,1
25,182,64,0.01,0,0.5,none,72.2564544678,0,72.2564544678,72.2564544678,72.7281417847,0,72.7281417847,72.7281417847,1
26,42,4,0.01,0.0001,0.75,none,72.1505584717,0,72.1505584717,72.1505584717,72.6415100098,0,72.6415100098,72.6415100098,1
27,6,2,0.01,0.0001,0.75,none,71.8810119629,0,71.8810119629,71.8810119629,72.2853317261,0,72.2853317261,72.2853317261,1
28,181,64,0.01,0,0.25,none,71.3419342041,0,71.3419342041,71.3419342041,71.7462463379,0,71.7462463379,71.7462463379,1
29,78,8,0.01,0.0001,0.75,none,70.2156295776,0,70.2156295776,70.2156295776,70.5718154907,0,70.5718154907,70.5718154907,1
30,149,32,0.01,0.0001,0.5,none,67.2410507202,0,67.2410507202,67.2410507202,67.9341583252,0,67.9341583252,67.9341583252,1
31,85,8,0.001,0,0.25,none,63.5155982971,0,63.5155982971,63.5155982971,64.0354309082,0,64.0354309082,64.0354309082,1
32,86,8,0.001,0,0.5,none,63.4578361511,0,63.4578361511,63.4578361511,64.2664642334,0,64.2664642334,64.2664642334,1
33,121,16,0.001,0,0.25,none,63.21717453,0,63.21717453,63.21717453,63.8910293579,0,63.8910293579,63.8910293579,1
34,50,4,0.001,0,0.5,none,63.0631523132,0,63.0631523132,63.0631523132,63.9584121704,0,63.9584121704,63.9584121704,1
35,52,4,0.001,0.0001,0.25,none,62.966884613,0,62.966884613,62.966884613,63.4867134094,0,63.4867134094,63.4867134094,1
36,122,16,0.001,0,0.5,none,62.8128585815,0,62.8128585815,62.8128585815,63.4674606323,0,63.4674606323,63.4674606323,1
37,88,8,0.001,0.0001,0.25,none,62.7165985107,0,62.7165985107,62.7165985107,63.3904533386,0,63.3904533386,63.3904533386,1
38,49,4,0.001,0,0.25,none,62.6973457336,0,62.6973457336,62.6973457336,63.4770889282,0,63.4770889282,63.4770889282,1
39,14,2,0.001,0,0.5,none,62.6203308105,0,62.6203308105,62.6203308105,63.3230628967,0,63.3230628967,63.3230628967,1
40,16,2,0.001,0.0001,0.25,none,62.4855575562,0,62.4855575562,62.4855575562,63.1112823486,0,63.1112823486,63.1112823486,1
41,54,4,0.001,0.0001,0.75,none,62.3507919312,0,62.3507919312,62.3507919312,62.9861373901,0,62.9861373901,62.9861373901,1
42,90,8,0.001,0.0001,0.75,none,62.3411636353,0,62.3411636353,62.3411636353,62.8995018005,0,62.8995018005,62.8995018005,1
43,18,2,0.001,0.0001,0.75,none,62.1101264954,0,62.1101264954,62.1101264954,62.3507919312,0,62.3507919312,62.3507919312,1
44,13,2,0.001,0,0.25,none,61.975353241,0,61.975353241,61.975353241,62.6299552917,0,62.6299552917,62.6299552917,1
45,157,32,0.001,0,0.25,none,61.7924499512,0,61.7924499512,61.7924499512,62.4374275208,0,62.4374275208,62.4374275208,1
46,80,8,0.01,0.001,0.5,none,61.6673126221,0,61.6673126221,61.6673126221,62.5048141479,0,62.5048141479,62.5048141479,1
47,126,16,0.001,0.0001,0.75,none,61.6095466614,0,61.6095466614,61.6095466614,62.552947998,0,62.552947998,62.552947998,1
48,87,8,0.001,0,0.75,none,61.4170188904,0,61.4170188904,61.4170188904,61.9657287598,0,61.9657287598,61.9657287598,1
49,51,4,0.001,0,0.75,none,61.311126709,0,61.311126709,61.311126709,62.2737770081,0,62.2737770081,62.2737770081,1
50,53,4,0.001,0.0001,0.5,none,61.2726211548,0,61.2726211548,61.2726211548,61.9657287598,0,61.9657287598,61.9657287598,1
51,17,2,0.001,0.0001,0.5,none,61.1956100464,0,61.1956100464,61.1956100464,61.9657287598,0,61.9657287598,61.9657287598,1
52,15,2,0.001,0,0.75,none,61.1185951233,0,61.1185951233,61.1185951233,61.4844017029,0,61.4844017029,61.4844017029,1
53,124,16,0.001,0.0001,0.25,none,61.0608406067,0,61.0608406067,61.0608406067,61.4458961487,0,61.4458961487,61.4458961487,1
54,89,8,0.001,0.0001,0.5,none,61.0319595337,0,61.0319595337,61.0319595337,61.6865615845,0,61.6865615845,61.6865615845,1
55,162,32,0.001,0.0001,0.75,none,60.5602607727,0,60.5602607727,60.5602607727,61.2726211548,0,61.2726211548,61.2726211548,1
56,125,16,0.001,0.0001,0.5,none,60.4639930725,0,60.4639930725,60.4639930725,61.1667327881,0,61.1667327881,61.1667327881,1
57,20,2,0.001,0.001,0.5,none,59.7805137634,0,59.7805137634,59.7805137634,59.9923019409,0,59.9923019409,59.9923019409,1
58,123,16,0.001,0,0.75,none,59.3280715942,0,59.3280715942,59.3280715942,59.9730415344,0,59.9730415344,59.9730415344,1
59,44,4,0.01,0.001,0.5,none,58.6542205811,0,58.6542205811,58.6542205811,58.9430084229,0,58.9430084229,58.9430084229,1
60,161,32,0.001,0.0001,0.5,none,58.4616851807,0,58.4616851807,58.4616851807,59.1259117126,0,59.1259117126,59.1259117126,1
61,158,32,0.001,0,0.5,none,57.9225997925,0,57.9225997925,57.9225997925,58.5964546204,0,58.5964546204,58.5964546204,1
62,7,2,0.01,0.001,0.25,none,57.8648452759,0,57.8648452759,57.8648452759,58.1921463013,0,58.1921463013,58.1921463013,1
63,56,4,0.001,0.001,0.5,none,57.4509010315,0,57.4509010315,57.4509010315,57.4412765503,0,57.4412765503,57.4412765503,1
64,198,64,0.001,0.0001,0.75,none,57.190990448,0,57.190990448,57.190990448,57.7397003174,0,57.7397003174,57.7397003174,1
65,184,64,0.01,0.0001,0.25,none,56.7096633911,0,56.7096633911,56.7096633911,56.9792098999,0,56.9792098999,56.9792098999,1
66,148,32,0.01,0.0001,0.25,none,56.6711616516,0,56.6711616516,56.6711616516,57.0080871582,0,57.0080871582,57.0080871582,1
67,185,64,0.01,0.0001,0.5,none,56.6326560974,0,56.6326560974,56.6326560974,56.9310722351,0,56.9310722351,56.9310722351,1
68,8,2,0.01,0.001,0.5,none,56.4497451782,0,56.4497451782,56.4497451782,56.7770462036,0,56.7770462036,56.7770462036,1
69,193,64,0.001,0,0.25,none,56.440120697,0,56.440120697,56.440120697,57.0177154541,0,57.0177154541,57.0177154541,1
70,160,32,0.001,0.0001,0.25,none,56.4304962158,0,56.4304962158,56.4304962158,56.6711616516,0,56.6711616516,56.6711616516,1
71,159,32,0.001,0,0.75,none,56.4208679199,0,56.4208679199,56.4208679199,56.8444366455,0,56.8444366455,56.8444366455,1
72,150,32,0.01,0.0001,0.75,none,56.2957305908,0,56.2957305908,56.2957305908,56.5845184326,0,56.5845184326,56.5845184326,1
73,186,64,0.01,0.0001,0.75,none,56.2860946655,0,56.2860946655,56.2860946655,56.5748939514,0,56.5748939514,56.5748939514,1
74,114,16,0.01,0.0001,0.75,none,56.2668457031,0,56.2668457031,56.2668457031,56.5652656555,0,56.5652656555,56.5652656555,1
75,55,4,0.001,0.001,0.25,none,56.1417045593,0,56.1417045593,56.1417045593,56.4208679199,0,56.4208679199,56.4208679199,1
76,195,64,0.001,0,0.75,none,56.1417045593,0,56.1417045593,56.1417045593,56.3919906616,0,56.3919906616,56.3919906616,1
77,197,64,0.001,0.0001,0.5,none,56.1417045593,0,56.1417045593,56.1417045593,56.4016151428,0,56.4016151428,56.4016151428,1
78,21,2,0.001,0.001,0.75,none,56.1320800781,0,56.1320800781,56.1320800781,56.4112434387,0,56.4112434387,56.4112434387,1
79,91,8,0.001,0.001,0.25,none,56.1320800781,0,56.1320800781,56.1320800781,56.4112434387,0,56.4112434387,56.4112434387,1
80,19,2,0.001,0.001,0.25,none,56.1224441528,0,56.1224441528,56.1224441528,56.4016151428,0,56.4016151428,56.4016151428,1
81,57,4,0.001,0.001,0.75,none,56.1224441528,0,56.1224441528,56.1224441528,56.4304962158,0,56.4304962158,56.4304962158,1
82,194,64,0.001,0,0.5,none,56.1224441528,0,56.1224441528,56.1224441528,56.3342323303,0,56.3342323303,56.3342323303,1
83,92,8,0.001,0.001,0.5,none,56.1128196716,0,56.1128196716,56.1128196716,56.4304962158,0,56.4304962158,56.4304962158,1
84,128,16,0.001,0.001,0.5,none,56.1128196716,0,56.1128196716,56.1128196716,56.4690055847,0,56.4690055847,56.4690055847,1
85,129,16,0.001,0.001,0.75,none,56.1128196716,0,56.1128196716,56.1128196716,56.4304962158,0,56.4304962158,56.4304962158,1
86,93,8,0.001,0.001,0.75,none,56.1031951904,0,56.1031951904,56.1031951904,56.4112434387,0,56.4112434387,56.4112434387,1
87,164,32,0.001,0.001,0.5,none,56.1031951904,0,56.1031951904,56.1031951904,56.4690055847,0,56.4690055847,56.4690055847,1
88,165,32,0.001,0.001,0.75,none,56.1031951904,0,56.1031951904,56.1031951904,56.4690055847,0,56.4690055847,56.4690055847,1
89,127,16,0.001,0.001,0.25,none,56.0935668945,0,56.0935668945,56.0935668945,56.4593734741,0,56.4593734741,56.4593734741,1
90,163,32,0.001,0.001,0.25,none,56.0935668945,0,56.0935668945,56.0935668945,56.4497451782,0,56.4497451782,56.4497451782,1
91,200,64,0.001,0.001,0.5,none,56.0839424133,0,56.0839424133,56.0839424133,56.4497451782,0,56.4497451782,56.4497451782,1
92,201,64,0.001,0.001,0.75,none,56.0839424133,0,56.0839424133,56.0839424133,56.4497451782,0,56.4497451782,56.4497451782,1
93,199,64,0.001,0.001,0.25,none,56.0743141174,0,56.0743141174,56.0743141174,56.4497451782,0,56.4497451782,56.4497451782,1
94,43,4,0.01,0.001,0.25,none,56.0454368591,0,56.0454368591,56.0454368591,56.3823623657,0,56.3823623657,56.3823623657,1
95,79,8,0.01,0.001,0.25,none,56.0454368591,0,56.0454368591,56.0454368591,56.3919906616,0,56.3919906616,56.3919906616,1
96,115,16,0.01,0.001,0.25,none,56.0454368591,0,56.0454368591,56.0454368591,56.3919906616,0,56.3919906616,56.3919906616,1
97,151,32,0.01,0.001,0.25,none,56.0454368591,0,56.0454368591,56.0454368591,56.3919906616,0,56.3919906616,56.3919906616,1
98,187,64,0.01,0.001,0.25,none,56.0454368591,0,56.0454368591,56.0454368591,56.3919906616,0,56.3919906616,56.3919906616,1
99,196,64,0.001,0.0001,0.25,none,56.0454368591,0,56.0454368591,56.0454368591,56.3631134033,0,56.3631134033,56.3631134033,1
