rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,79,8,0.01,0.001,0.25,none,71.3942337036,0,71.3942337036,71.3942337036,72.5961532593,0,72.5961532593,72.5961532593,1
2,80,8,0.01,0.001,0.5,none,71.3942337036,0,71.3942337036,71.3942337036,72.2355804443,0,72.2355804443,72.2355804443,1
3,115,16,0.01,0.001,0.25,none,71.1538467407,0,71.1538467407,71.1538467407,72.4759674072,0,72.4759674072,72.4759674072,1
4,116,16,0.01,0.001,0.5,none,70.7932739258,0,70.7932739258,70.7932739258,72.7163467407,0,72.7163467407,72.7163467407,1
5,117,16,0.01,0.001,0.75,none,70.7932739258,0,70.7932739258,70.7932739258,72.9567337036,0,72.9567337036,72.9567337036,1
6,44,4,0.01,0.001,0.5,none,70.4326934814,0,70.4326934814,70.4326934814,72.4759674072,0,72.4759674072,72.4759674072,1
7,151,32,0.01,0.001,0.25,none,70.4326934814,0,70.4326934814,70.4326934814,71.875,0,71.875,71.875,1
8,152,32,0.01,0.001,0.5,none,70.4326934814,0,70.4326934814,70.4326934814,72.3557739258,0,72.3557739258,72.3557739258,1
9,153,32,0.01,0.001,0.75,none,70.4326934814,0,70.4326934814,70.4326934814,71.9951934814,0,71.9951934814,71.9951934814,1
10,184,64,0.01,0.0001,0.25,none,70.4326934814,0,70.4326934814,70.4326934814,71.3942337036,0,71.3942337036,71.3942337036,1
11,43,4,0.01,0.001,0.25,none,70.3125,0,70.3125,70.3125,71.875,0,71.875,71.875,1
12,189,64,0.01,0.001,0.75,none,70.1923141479,0,70.1923141479,70.1923141479,71.1538467407,0,71.1538467407,71.1538467407,1
13,8,2,0.01,0.001,0.5,none,70.0721206665,0,70.0721206665,70.0721206665,71.0336532593,0,71.0336532593,71.0336532593,1
14,45,4,0.01,0.001,0.75,none,70.0721206665,0,70.0721206665,70.0721206665,71.875,0,71.875,71.875,1
15,187,64,0.01,0.001,0.25,none,70.0721206665,0,70.0721206665,70.0721206665,71.1538467407,0,71.1538467407,71.1538467407,1
16,188,64,0.01,0.001,0.5,none,70.0721206665,0,70.0721206665,70.0721206665,71.6346206665,0,71.6346206665,71.6346206665,1
17,81,8,0.01,0.001,0.75,none,69.9519271851,0,69.9519271851,69.9519271851,71.875,0,71.875,71.875,1
18,7,2,0.01,0.001,0.25,none,69.8317337036,0,69.8317337036,69.8317337036,70.7932739258,0,70.7932739258,70.7932739258,1
19,9,2,0.01,0.001,0.75,none,69.8317337036,0,69.8317337036,69.8317337036,70.7932739258,0,70.7932739258,70.7932739258,1
20,87,8,0.001,0,0.75,none,69.8317337036,0,69.8317337036,69.8317337036,68.6298141479,0,68.6298141479,68.6298141479,1
21,75,8,0.01,0,0.75,none,69.5913467407,0,69.5913467407,69.5913467407,69.7115402222,0,69.7115402222,69.7115402222,1
22,90,8,0.001,0.0001,0.75,none,69.4711532593,0,69.4711532593,69.4711532593,69.1105804443,0,69.1105804443,69.1105804443,1
23,122,16,0.001,0,0.5,none,69.4711532593,0,69.4711532593,69.4711532593,69.9519271851,0,69.9519271851,69.9519271851,1
24,158,32,0.001,0,0.5,none,69.4711532593,0,69.4711532593,69.4711532593,70.5528869629,0,70.5528869629,70.5528869629,1
25,121,16,0.001,0,0.25,none,69.3509674072,0,69.3509674072,69.3509674072,69.8317337036,0,69.8317337036,69.8317337036,1
26,123,16,0.001,0,0.75,none,69.3509674072,0,69.3509674072,69.3509674072,70.4326934814,0,70.4326934814,70.4326934814,1
27,126,16,0.001,0.0001,0.75,none,69.3509674072,0,69.3509674072,69.3509674072,69.8317337036,0,69.8317337036,69.8317337036,1
28,86,8,0.001,0,0.5,none,69.2307739258,0,69.2307739258,69.2307739258,68.8701934814,0,68.8701934814,68.8701934814,1
29,157,32,0.001,0,0.25,none,69.2307739258,0,69.2307739258,69.2307739258,70.9134674072,0,70.9134674072,70.9134674072,1
30,159,32,0.001,0,0.75,none,69.2307739258,0,69.2307739258,69.2307739258,71.1538467407,0,71.1538467407,71.1538467407,1
31,147,32,0.01,0,0.75,none,69.1105804443,0,69.1105804443,69.1105804443,70.9134674072,0,70.9134674072,70.9134674072,1
32,183,64,0.01,0,0.75,none,69.1105804443,0,69.1105804443,69.1105804443,71.2740402222,0,71.2740402222,71.2740402222,1
33,111,16,0.01,0,0.75,none,68.9903869629,0,68.9903869629,68.9903869629,70.6730804443,0,70.6730804443,70.6730804443,1
34,78,8,0.01,0.0001,0.75,none,68.8701934814,0,68.8701934814,68.8701934814,68.6298141479,0,68.6298141479,68.6298141479,1
35,124,16,0.001,0.0001,0.25,none,68.8701934814,0,68.8701934814,68.8701934814,69.7115402222,0,69.7115402222,69.7115402222,1
36,85,8,0.001,0,0.25,none,68.75,0,68.75,68.75,68.9903869629,0,68.9903869629,68.9903869629,1
37,109,16,0.01,0,0.25,none,68.75,0,68.75,68.75,68.9903869629,0,68.9903869629,68.9903869629,1
38,114,16,0.01,0.0001,0.75,none,68.75,0,68.75,68.75,69.8317337036,0,69.8317337036,69.8317337036,1
39,113,16,0.01,0.0001,0.5,none,68.6298141479,0,68.6298141479,68.6298141479,70.3125,0,70.3125,70.3125,1
40,182,64,0.01,0,0.5,none,68.6298141479,0,68.6298141479,68.6298141479,69.9519271851,0,69.9519271851,69.9519271851,1
41,194,64,0.001,0,0.5,none,68.6298141479,0,68.6298141479,68.6298141479,69.8317337036,0,69.8317337036,69.8317337036,1
42,195,64,0.001,0,0.75,none,68.6298141479,0,68.6298141479,68.6298141479,70.4326934814,0,70.4326934814,70.4326934814,1
43,74,8,0.01,0,0.5,none,68.5096206665,0,68.5096206665,68.5096206665,67.9086532593,0,67.9086532593,67.9086532593,1
44,112,16,0.01,0.0001,0.25,none,68.5096206665,0,68.5096206665,68.5096206665,69.4711532593,0,69.4711532593,69.4711532593,1
45,125,16,0.001,0.0001,0.5,none,68.5096206665,0,68.5096206665,68.5096206665,69.4711532593,0,69.4711532593,69.4711532593,1
46,39,4,0.01,0,0.75,none,68.3894271851,0,68.3894271851,68.3894271851,68.1490402222,0,68.1490402222,68.1490402222,1
47,48,4,0.01,0.01,0.75,none,68.3894271851,0,68.3894271851,68.3894271851,69.7115402222,0,69.7115402222,69.7115402222,1
48,51,4,0.001,0,0.75,none,68.3894271851,0,68.3894271851,68.3894271851,67.3076934814,0,67.3076934814,67.3076934814,1
49,54,4,0.001,0.0001,0.75,none,68.3894271851,0,68.3894271851,68.3894271851,67.4278869629,0,67.4278869629,67.4278869629,1
50,77,8,0.01,0.0001,0.5,none,68.3894271851,0,68.3894271851,68.3894271851,67.4278869629,0,67.4278869629,67.4278869629,1
51,89,8,0.001,0.0001,0.5,none,68.3894271851,0,68.3894271851,68.3894271851,68.6298141479,0,68.6298141479,68.6298141479,1
52,110,16,0.01,0,0.5,none,68.3894271851,0,68.3894271851,68.3894271851,69.2307739258,0,69.2307739258,69.2307739258,1
