task_id,pool,label,status,attempts,return_code,seconds,last_log_path,error_message
grid_candidate_0001,grid,grid_candidate_0001,completed,1,0,6.935736,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/hoa/eigen_norm/dataset=citeseer/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/logs/grid_candidate_0001_attempt_1.log,
grid_candidate_0003,grid,grid_candidate_0003,completed,1,0,7.138666,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/hoa/eigen_norm/dataset=citeseer/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/logs/grid_candidate_0003_attempt_1.log,
grid_candidate_0002,grid,grid_candidate_0002,completed,1,0,7.342247,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/hoa/eigen_norm/dataset=citeseer/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/logs/grid_candidate_0002_attempt_1.log,
grid_candidate_0005,grid,grid_candidate_0005,completed,1,0,7.137713,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/hoa/eigen_norm/dataset=citeseer/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/logs/grid_candidate_0005_attempt_1.log,
grid_candidate_0004,grid,grid_candidate_0004,completed,1,0,7.443002,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/hoa/eigen_norm/dataset=citeseer/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/logs/grid_candidate_0004_attempt_1.log,
grid_candidate_0006,grid,grid_candidate_0006,completed,1,0,7.343718,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/hoa/eigen_norm/dataset=citeseer/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/logs/grid_candidate_0006_attempt_1.log,
grid_candidate_0007,grid,grid_candidate_0007,completed,1,0,8.052796,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/hoa/eigen_norm/dataset=citeseer/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/logs/grid_candidate_0007_attempt_1.log,
grid_candidate_0008,grid,grid_candidate_0008,completed,1,0,8.258369,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/hoa/eigen_norm/dataset=citeseer/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/logs/grid_candidate_0008_attempt_1.log,
grid_candidate_0010,grid,grid_candidate_0010,completed,1,0,7.444984,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/hoa/eigen_norm/dataset=citeseer/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/logs/grid_candidate_0010_attempt_1.log,
grid_candidate_0009,grid,grid_candidate_0009,completed,1,0,8.460321,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/hoa/eigen_norm/dataset=citeseer/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/logs/grid_candidate_0009_attempt_1.log,
grid_candidate_0011,grid,grid_candidate_0011,completed,1,0,7.747172,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/hoa/eigen_norm/dataset=citeseer/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/logs/grid_candidate_0011_attempt_1.log,
grid_candidate_0012,grid,grid_candidate_0012,completed,1,0,8.046288,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/hoa/eigen_norm/dataset=citeseer/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false/logs/grid_candidate_0012_attempt_1.log,
