rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,181,64,0.01,0,0.25,none,89.3845291138,0,89.3845291138,89.3845291138,88.0293579102,0,88.0293579102,88.0293579102,1
2,182,64,0.01,0,0.5,none,89.3845291138,0,89.3845291138,89.3845291138,88.0293579102,0,88.0293579102,88.0293579102,1
3,183,64,0.01,0,0.75,none,89.3280639648,0,89.3280639648,89.3280639648,88.0293579102,0,88.0293579102,88.0293579102,1
4,147,32,0.01,0,0.75,none,89.2151260376,0,89.2151260376,89.2151260376,88.1987609863,0,88.1987609863,88.1987609863,1
5,146,32,0.01,0,0.5,none,89.1586685181,0,89.1586685181,89.1586685181,87.8599624634,0,87.8599624634,87.8599624634,1
6,145,32,0.01,0,0.25,none,89.1022033691,0,89.1022033691,89.1022033691,87.8599624634,0,87.8599624634,87.8599624634,1
7,148,32,0.01,0.0001,0.25,none,89.1022033691,0,89.1022033691,89.1022033691,87.7470321655,0,87.7470321655,87.7470321655,1
8,110,16,0.01,0,0.5,none,89.0457305908,0,89.0457305908,89.0457305908,87.8599624634,0,87.8599624634,87.8599624634,1
9,111,16,0.01,0,0.75,none,89.0457305908,0,89.0457305908,89.0457305908,87.8599624634,0,87.8599624634,87.8599624634,1
10,112,16,0.01,0.0001,0.25,none,89.0457305908,0,89.0457305908,89.0457305908,87.8599624634,0,87.8599624634,87.8599624634,1
11,109,16,0.01,0,0.25,none,88.9892730713,0,88.9892730713,88.9892730713,87.8599624634,0,87.8599624634,87.8599624634,1
12,113,16,0.01,0.0001,0.5,none,88.9892730713,0,88.9892730713,88.9892730713,87.9164276123,0,87.9164276123,87.9164276123,1
13,114,16,0.01,0.0001,0.75,none,88.9892730713,0,88.9892730713,88.9892730713,87.9164276123,0,87.9164276123,87.9164276123,1
14,75,8,0.01,0,0.75,none,88.9328079224,0,88.9328079224,88.9328079224,87.6905670166,0,87.6905670166,87.6905670166,1
15,77,8,0.01,0.0001,0.5,none,88.876335144,0,88.876335144,88.876335144,87.6341018677,0,87.6341018677,87.6341018677,1
16,78,8,0.01,0.0001,0.75,none,88.876335144,0,88.876335144,88.876335144,87.9164276123,0,87.9164276123,87.9164276123,1
17,149,32,0.01,0.0001,0.5,none,88.876335144,0,88.876335144,88.876335144,87.7470321655,0,87.7470321655,87.7470321655,1
18,150,32,0.01,0.0001,0.75,none,88.876335144,0,88.876335144,88.876335144,87.7470321655,0,87.7470321655,87.7470321655,1
19,76,8,0.01,0.0001,0.25,none,88.8198699951,0,88.8198699951,88.8198699951,87.8034973145,0,87.8034973145,87.8034973145,1
20,74,8,0.01,0,0.5,none,88.7634124756,0,88.7634124756,88.7634124756,87.8599624634,0,87.8599624634,87.8599624634,1
21,73,8,0.01,0,0.25,none,88.7069473267,0,88.7069473267,88.7069473267,87.7470321655,0,87.7470321655,87.7470321655,1
22,8,2,0.01,0.001,0.5,none,88.5940170288,0,88.5940170288,88.5940170288,87.5211715698,0,87.5211715698,87.5211715698,1
