rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,79,8,0.01,0.001,0.25,none,78.5232925415,0,78.5232925415,78.5232925415,79.4281845093,0,79.4281845093,79.4281845093,1
2,80,8,0.01,0.001,0.5,none,78.398147583,0,78.398147583,78.398147583,78.8794784546,0,78.8794784546,78.8794784546,1
3,116,16,0.01,0.001,0.5,none,78.398147583,0,78.398147583,78.398147583,79.20677948,0,79.20677948,79.20677948,1
4,115,16,0.01,0.001,0.25,none,78.3596420288,0,78.3596420288,78.3596420288,79.2645339966,0,79.2645339966,79.2645339966,1
5,127,16,0.001,0.001,0.25,none,78.2826385498,0,78.2826385498,78.2826385498,78.9083557129,0,78.9083557129,78.9083557129,1
6,91,8,0.001,0.001,0.25,none,78.2248764038,0,78.2248764038,78.2248764038,78.9276046753,0,78.9276046753,78.9276046753,1
7,92,8,0.001,0.001,0.5,none,78.2152481079,0,78.2152481079,78.2152481079,79.1297683716,0,79.1297683716,79.1297683716,1
8,128,16,0.001,0.001,0.5,none,78.2152481079,0,78.2152481079,78.2152481079,78.8602218628,0,78.8602218628,78.8602218628,1
9,81,8,0.01,0.001,0.75,none,78.205619812,0,78.205619812,78.205619812,78.9276046753,0,78.9276046753,78.9276046753,1
10,43,4,0.01,0.001,0.25,none,77.8590698242,0,77.8590698242,77.8590698242,78.3885269165,0,78.3885269165,78.3885269165,1
11,129,16,0.001,0.001,0.75,none,77.8590698242,0,77.8590698242,77.8590698242,78.6099395752,0,78.6099395752,78.6099395752,1
12,93,8,0.001,0.001,0.75,none,77.8494415283,0,77.8494415283,77.8494415283,78.8698501587,0,78.8698501587,78.8698501587,1
13,44,4,0.01,0.001,0.5,none,77.7724304199,0,77.7724304199,77.7724304199,78.6003036499,0,78.6003036499,78.6003036499,1
14,117,16,0.01,0.001,0.75,none,77.7724304199,0,77.7724304199,77.7724304199,78.4077758789,0,78.4077758789,78.4077758789,1
15,78,8,0.01,0.0001,0.75,none,77.705039978,0,77.705039978,77.705039978,78.3115158081,0,78.3115158081,78.3115158081,1
16,151,32,0.01,0.001,0.25,none,77.6954193115,0,77.6954193115,77.6954193115,78.4462890625,0,78.4462890625,78.4462890625,1
17,152,32,0.01,0.001,0.5,none,77.6472854614,0,77.6472854614,77.6472854614,78.3788986206,0,78.3788986206,78.3788986206,1
18,45,4,0.01,0.001,0.75,none,77.6376571655,0,77.6376571655,77.6376571655,78.5425491333,0,78.5425491333,78.5425491333,1
19,163,32,0.001,0.001,0.25,none,77.628036499,0,77.628036499,77.628036499,78.2248764038,0,78.2248764038,78.2248764038,1
20,55,4,0.001,0.001,0.25,none,77.5798950195,0,77.5798950195,77.5798950195,78.1959915161,0,78.1959915161,78.1959915161,1
21,164,32,0.001,0.001,0.5,none,77.5606460571,0,77.5606460571,77.5606460571,78.2537536621,0,78.2537536621,78.2537536621,1
22,56,4,0.001,0.001,0.5,none,77.4451293945,0,77.4451293945,77.4451293945,78.0997314453,0,78.0997314453,78.0997314453,1
23,124,16,0.001,0.0001,0.25,none,77.4451293945,0,77.4451293945,77.4451293945,77.9745864868,0,77.9745864868,77.9745864868,1
24,75,8,0.01,0,0.75,none,77.3681182861,0,77.3681182861,77.3681182861,77.8783187866,0,77.8783187866,77.8783187866,1
25,57,4,0.001,0.001,0.75,none,77.3488616943,0,77.3488616943,77.3488616943,78.0419692993,0,78.0419692993,78.0419692993,1
26,125,16,0.001,0.0001,0.5,none,77.3392410278,0,77.3392410278,77.3392410278,77.8879470825,0,77.8879470825,77.8879470825,1
27,121,16,0.001,0,0.25,none,77.319984436,0,77.319984436,77.319984436,77.7916870117,0,77.7916870117,77.7916870117,1
28,89,8,0.001,0.0001,0.5,none,77.26222229,0,77.26222229,77.26222229,77.8013076782,0,77.8013076782,77.8013076782,1
29,42,4,0.01,0.0001,0.75,none,77.2525939941,0,77.2525939941,77.2525939941,77.9071960449,0,77.9071960449,77.9071960449,1
30,88,8,0.001,0.0001,0.25,none,77.2525939941,0,77.2525939941,77.2525939941,77.9553375244,0,77.9553375244,77.9553375244,1
31,82,8,0.01,0.01,0.25,none,77.2429733276,0,77.2429733276,77.2429733276,77.7146682739,0,77.7146682739,77.7146682739,1
32,122,16,0.001,0,0.5,none,77.2429733276,0,77.2429733276,77.2429733276,77.7916870117,0,77.7916870117,77.7916870117,1
