rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,118,16,0.01,0.01,0.25,none,89.2715988159,0,89.2715988159,89.2715988159,88.0858230591,0,88.0858230591,88.0858230591,1
2,82,8,0.01,0.01,0.25,none,89.2151260376,0,89.2151260376,89.2151260376,87.351776123,0,87.351776123,87.351776123,1
3,146,32,0.01,0,0.5,none,89.2151260376,0,89.2151260376,89.2151260376,87.5776443481,0,87.5776443481,87.5776443481,1
4,149,32,0.01,0.0001,0.5,none,89.2151260376,0,89.2151260376,89.2151260376,87.5211715698,0,87.5211715698,87.5211715698,1
5,152,32,0.01,0.001,0.5,none,89.2151260376,0,89.2151260376,89.2151260376,87.5776443481,0,87.5776443481,87.5776443481,1
6,187,64,0.01,0.001,0.25,none,89.2151260376,0,89.2151260376,89.2151260376,87.8034973145,0,87.8034973145,87.8034973145,1
7,188,64,0.01,0.001,0.5,none,89.2151260376,0,89.2151260376,89.2151260376,87.9729003906,0,87.9729003906,87.9729003906,1
8,46,4,0.01,0.01,0.25,none,89.1586685181,0,89.1586685181,89.1586685181,87.408241272,0,87.408241272,87.408241272,1
9,151,32,0.01,0.001,0.25,none,89.1586685181,0,89.1586685181,89.1586685181,87.6905670166,0,87.6905670166,87.6905670166,1
10,157,32,0.001,0,0.25,none,89.1586685181,0,89.1586685181,89.1586685181,87.4647064209,0,87.4647064209,87.4647064209,1
11,160,32,0.001,0.0001,0.25,none,89.1586685181,0,89.1586685181,89.1586685181,87.351776123,0,87.351776123,87.351776123,1
12,193,64,0.001,0,0.25,none,89.1586685181,0,89.1586685181,89.1586685181,87.408241272,0,87.408241272,87.408241272,1
13,196,64,0.001,0.0001,0.25,none,89.1586685181,0,89.1586685181,89.1586685181,87.351776123,0,87.351776123,87.351776123,1
14,83,8,0.01,0.01,0.5,none,89.1022033691,0,89.1022033691,89.1022033691,87.7470321655,0,87.7470321655,87.7470321655,1
15,85,8,0.001,0,0.25,none,89.1022033691,0,89.1022033691,89.1022033691,87.5776443481,0,87.5776443481,87.5776443481,1
16,87,8,0.001,0,0.75,none,89.1022033691,0,89.1022033691,89.1022033691,87.8599624634,0,87.8599624634,87.8599624634,1
17,88,8,0.001,0.0001,0.25,none,89.1022033691,0,89.1022033691,89.1022033691,87.5776443481,0,87.5776443481,87.5776443481,1
18,90,8,0.001,0.0001,0.75,none,89.1022033691,0,89.1022033691,89.1022033691,87.8034973145,0,87.8034973145,87.8034973145,1
