rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,148,32,0.01,0.0001,0.25,none,70.1388931274,0,70.1388931274,70.1388931274,70.0160598755,0,70.0160598755,70.0160598755,1
2,182,64,0.01,0,0.5,none,70.0680236816,0,70.0680236816,70.0680236816,69.9026794434,0,69.9026794434,69.9026794434,1
3,149,32,0.01,0.0001,0.5,none,70.037322998,0,70.037322998,70.037322998,69.7633209229,0,69.7633209229,69.7633209229,1
4,113,16,0.01,0.0001,0.5,none,69.9735488892,0,69.9735488892,69.9735488892,69.7822189331,0,69.7822189331,69.7822189331,1
5,184,64,0.01,0.0001,0.25,none,69.9357528687,0,69.9357528687,69.9357528687,69.6877365112,0,69.6877365112,69.6877365112,1
6,181,64,0.01,0,0.25,none,69.8247375488,0,69.8247375488,69.8247375488,69.6404953003,0,69.6404953003,69.6404953003,1
7,147,32,0.01,0,0.75,none,69.7467880249,0,69.7467880249,69.7467880249,69.5719985962,0,69.5719985962,69.5719985962,1
8,146,32,0.01,0,0.5,none,69.7397079468,0,69.7397079468,69.7397079468,69.5531005859,0,69.5531005859,69.5531005859,1
9,145,32,0.01,0,0.25,none,69.7231674194,0,69.7231674194,69.7231674194,69.3783111572,0,69.3783111572,69.3783111572,1
10,112,16,0.01,0.0001,0.25,none,69.7208023071,0,69.7208023071,69.7208023071,69.7231674194,0,69.7231674194,69.7231674194,1
11,110,16,0.01,0,0.5,none,69.6759262085,0,69.6759262085,69.6759262085,69.5814437866,0,69.5814437866,69.5814437866,1
12,111,16,0.01,0,0.75,none,69.668838501,0,69.668838501,69.668838501,69.3428726196,0,69.3428726196,69.3428726196,1
13,183,64,0.01,0,0.75,none,69.668838501,0,69.668838501,69.668838501,69.4609832764,0,69.4609832764,69.4609832764,1
14,185,64,0.01,0.0001,0.5,none,69.6475830078,0,69.6475830078,69.6475830078,69.5342102051,0,69.5342102051,69.5342102051,1
15,77,8,0.01,0.0001,0.5,none,69.5979766846,0,69.5979766846,69.5979766846,69.1609954834,0,69.1609954834,69.1609954834,1
16,114,16,0.01,0.0001,0.75,none,69.4586181641,0,69.4586181641,69.4586181641,69.182258606,0,69.182258606,69.182258606,1
17,75,8,0.01,0,0.75,none,69.4231872559,0,69.4231872559,69.4231872559,68.9011764526,0,68.9011764526,68.9011764526,1
18,109,16,0.01,0,0.25,none,69.4090118408,0,69.4090118408,69.4090118408,69.4822387695,0,69.4822387695,69.4822387695,1
19,150,32,0.01,0.0001,0.75,none,69.3570480347,0,69.3570480347,69.3570480347,68.9838485718,0,68.9838485718,68.9838485718,1
20,115,16,0.01,0.001,0.25,none,69.2696533203,0,69.2696533203,69.2696533203,69.0759658813,0,69.0759658813,69.0759658813,1
21,74,8,0.01,0,0.5,none,69.0169143677,0,69.0169143677,69.0169143677,68.8728256226,0,68.8728256226,68.8728256226,1
22,78,8,0.01,0.0001,0.75,none,68.9153442383,0,68.9153442383,68.9153442383,68.5090713501,0,68.5090713501,68.5090713501,1
23,76,8,0.01,0.0001,0.25,none,68.8940887451,0,68.8940887451,68.8940887451,68.8917236328,0,68.8917236328,68.8917236328,1
24,79,8,0.01,0.001,0.25,none,68.8822784424,0,68.8822784424,68.8822784424,68.6507949829,0,68.6507949829,68.6507949829,1
25,116,16,0.01,0.001,0.5,none,68.7169342041,0,68.7169342041,68.7169342041,68.4145889282,0,68.4145889282,68.4145889282,1
26,41,4,0.01,0.0001,0.5,none,68.6767730713,0,68.6767730713,68.6767730713,68.2421569824,0,68.2421569824,68.2421569824,1
27,186,64,0.01,0.0001,0.75,none,68.6437072754,0,68.6437072754,68.6437072754,68.4287643433,0,68.4287643433,68.4287643433,1
28,38,4,0.01,0,0.5,none,68.6177215576,0,68.6177215576,68.6177215576,68.5043487549,0,68.5043487549,68.5043487549,1
29,151,32,0.01,0.001,0.25,none,68.5468597412,0,68.5468597412,68.5468597412,68.1547622681,0,68.1547622681,68.1547622681,1
30,73,8,0.01,0,0.25,none,68.4830932617,0,68.4830932617,68.4830932617,68.3838806152,0,68.3838806152,68.3838806152,1
31,80,8,0.01,0.001,0.5,none,68.364982605,0,68.364982605,68.364982605,68.0579223633,0,68.0579223633,68.0579223633,1
32,39,4,0.01,0,0.75,none,68.3059310913,0,68.3059310913,68.3059310913,68.0342941284,0,68.0342941284,68.0342941284,1
33,152,32,0.01,0.001,0.5,none,67.9917831421,0,67.9917831421,67.9917831421,67.6492843628,0,67.6492843628,67.6492843628,1
