task_id,pool,label,status,attempts,return_code,seconds,last_log_path,error_message
grid_candidate_0007,grid,grid_candidate_0007,completed,1,0,26.020728,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/kprop/eigen_norm/dataset=Books-Children/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0007_attempt_1.log,
grid_candidate_0008,grid,grid_candidate_0008,completed,1,0,26.839796,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/kprop/eigen_norm/dataset=Books-Children/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0008_attempt_1.log,
grid_candidate_0009,grid,grid_candidate_0009,completed,1,0,26.940712,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/kprop/eigen_norm/dataset=Books-Children/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0009_attempt_1.log,
grid_candidate_0005,grid,grid_candidate_0005,completed,1,0,37.017270,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/kprop/eigen_norm/dataset=Books-Children/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0005_attempt_1.log,
grid_candidate_0002,grid,grid_candidate_0002,completed,1,0,42.806263,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/kprop/eigen_norm/dataset=Books-Children/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0002_attempt_1.log,
grid_candidate_0001,grid,grid_candidate_0001,completed,1,0,46.561725,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/kprop/eigen_norm/dataset=Books-Children/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0001_attempt_1.log,
grid_candidate_0010,grid,grid_candidate_0010,completed,1,0,26.222567,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/kprop/eigen_norm/dataset=Books-Children/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0010_attempt_1.log,
grid_candidate_0011,grid,grid_candidate_0011,completed,1,0,26.320765,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/kprop/eigen_norm/dataset=Books-Children/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0011_attempt_1.log,
grid_candidate_0006,grid,grid_candidate_0006,completed,1,0,46.027692,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/kprop/eigen_norm/dataset=Books-Children/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0006_attempt_1.log,
grid_candidate_0003,grid,grid_candidate_0003,completed,1,0,51.522198,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/kprop/eigen_norm/dataset=Books-Children/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0003_attempt_1.log,
grid_candidate_0012,grid,grid_candidate_0012,completed,1,0,22.300369,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/kprop/eigen_norm/dataset=Books-Children/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0012_attempt_1.log,
grid_candidate_0004,grid,grid_candidate_0004,completed,1,0,55.853318,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family2/kprop/eigen_norm/dataset=Books-Children/feature=eigen_norm/feature_dim=3200/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0004_attempt_1.log,
