rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,74,8,0.01,0,0.5,none,76.38621521,0,76.38621521,76.38621521,77.0408172607,0,77.0408172607,77.0408172607,1
2,38,4,0.01,0,0.5,none,76.328453064,0,76.328453064,76.328453064,77.26222229,0,77.26222229,77.26222229,1
3,39,4,0.01,0,0.75,none,76.328453064,0,76.328453064,76.328453064,77.2525939941,0,77.2525939941,77.2525939941,1
4,75,8,0.01,0,0.75,none,76.1263046265,0,76.1263046265,76.1263046265,76.9926834106,0,76.9926834106,76.9926834106,1
5,37,4,0.01,0,0.25,none,75.943397522,0,75.943397522,75.943397522,76.9734344482,0,76.9734344482,76.9734344482,1
6,73,8,0.01,0,0.25,none,75.9145126343,0,75.9145126343,75.9145126343,76.6172561646,0,76.6172561646,76.6172561646,1
7,40,4,0.01,0.0001,0.25,none,75.5968475342,0,75.5968475342,75.5968475342,76.1455535889,0,76.1455535889,76.1455535889,1
8,4,2,0.01,0.0001,0.25,none,75.4909515381,0,75.4909515381,75.4909515381,76.135925293,0,76.135925293,76.135925293,1
9,2,2,0.01,0,0.5,none,75.0577545166,0,75.0577545166,75.0577545166,75.5872116089,0,75.5872116089,75.5872116089,1
10,41,4,0.01,0.0001,0.5,none,75.0481338501,0,75.0481338501,75.0481338501,75.6642303467,0,75.6642303467,75.6642303467,1
11,5,2,0.01,0.0001,0.5,none,74.9711227417,0,74.9711227417,74.9711227417,75.5102005005,0,75.5102005005,75.5102005005,1
12,3,2,0.01,0,0.75,none,74.8844833374,0,74.8844833374,74.8844833374,75.4331970215,0,75.4331970215,75.4331970215,1
13,1,2,0.01,0,0.25,none,74.5860671997,0,74.5860671997,74.5860671997,74.9807510376,0,74.9807510376,74.9807510376,1
14,111,16,0.01,0,0.75,none,74.5668029785,0,74.5668029785,74.5668029785,74.7400817871,0,74.7400817871,74.7400817871,1
15,110,16,0.01,0,0.5,none,74.422416687,0,74.422416687,74.422416687,74.5379257202,0,74.5379257202,74.5379257202,1
16,109,16,0.01,0,0.25,none,73.7774353027,0,73.7774353027,73.7774353027,73.7870635986,0,73.7870635986,73.7870635986,1
17,76,8,0.01,0.0001,0.25,none,73.556022644,0,73.556022644,73.556022644,73.7870635986,0,73.7870635986,73.7870635986,1
18,77,8,0.01,0.0001,0.5,none,72.429725647,0,72.429725647,72.429725647,72.6896438599,0,72.6896438599,72.6896438599,1
19,6,2,0.01,0.0001,0.75,none,71.8328857422,0,71.8328857422,71.8328857422,72.2660751343,0,72.2660751343,72.2660751343,1
20,42,4,0.01,0.0001,0.75,none,70.5236816406,0,70.5236816406,70.5236816406,70.79322052,0,70.79322052,70.79322052,1
21,145,32,0.01,0,0.25,none,69.2048492432,0,69.2048492432,69.2048492432,69.96534729,0,69.96534729,69.96534729,1
22,49,4,0.001,0,0.25,none,63.8814048767,0,63.8814048767,63.8814048767,64.5167541504,0,64.5167541504,64.5167541504,1
23,50,4,0.001,0,0.5,none,63.8621520996,0,63.8621520996,63.8621520996,64.5071182251,0,64.5071182251,64.5071182251,1
24,85,8,0.001,0,0.25,none,63.8621520996,0,63.8621520996,63.8621520996,64.6033859253,0,64.6033859253,64.6033859253,1
25,86,8,0.001,0,0.5,none,63.1497879028,0,63.1497879028,63.1497879028,63.5733528137,0,63.5733528137,63.5733528137,1
26,52,4,0.001,0.0001,0.25,none,62.93800354,0,62.93800354,62.93800354,63.6022338867,0,63.6022338867,63.6022338867,1
27,14,2,0.001,0,0.5,none,62.9283790588,0,62.9283790588,62.9283790588,63.7851371765,0,63.7851371765,63.7851371765,1
28,54,4,0.001,0.0001,0.75,none,62.8995018005,0,62.8995018005,62.8995018005,63.5444755554,0,63.5444755554,63.5444755554,1
29,13,2,0.001,0,0.25,none,62.8032341003,0,62.8032341003,62.8032341003,63.4578361511,0,63.4578361511,63.4578361511,1
30,16,2,0.001,0.0001,0.25,none,62.8032341003,0,62.8032341003,62.8032341003,63.5252227783,0,63.5252227783,63.5252227783,1
31,18,2,0.001,0.0001,0.75,none,62.6107025146,0,62.6107025146,62.6107025146,63.2941856384,0,63.2941856384,63.2941856384,1
32,90,8,0.001,0.0001,0.75,none,62.0908737183,0,62.0908737183,62.0908737183,63.0342712402,0,63.0342712402,63.0342712402,1
33,44,4,0.01,0.001,0.5,none,61.8117027283,0,61.8117027283,61.8117027283,62.3796691895,0,62.3796691895,62.3796691895,1
34,51,4,0.001,0,0.75,none,61.7058143616,0,61.7058143616,61.7058143616,62.2160186768,0,62.2160186768,62.2160186768,1
35,17,2,0.001,0.0001,0.5,none,61.5421638489,0,61.5421638489,61.5421638489,62.1004981995,0,62.1004981995,62.1004981995,1
36,15,2,0.001,0,0.75,none,61.5229110718,0,61.5229110718,61.5229110718,62.06199646,0,62.06199646,62.06199646,1
37,53,4,0.001,0.0001,0.5,none,61.4651489258,0,61.4651489258,61.4651489258,62.1678886414,0,62.1678886414,62.1678886414,1
38,121,16,0.001,0,0.25,none,61.2726211548,0,61.2726211548,61.2726211548,61.8309631348,0,61.8309631348,61.8309631348,1
39,126,16,0.001,0.0001,0.75,none,60.8779373169,0,60.8779373169,60.8779373169,61.4844017029,0,61.4844017029,61.4844017029,1
40,89,8,0.001,0.0001,0.5,none,60.868309021,0,60.868309021,60.868309021,61.4458961487,0,61.4458961487,61.4458961487,1
41,88,8,0.001,0.0001,0.25,none,60.4062385559,0,60.4062385559,60.4062385559,60.9838256836,0,60.9838256836,60.9838256836,1
42,8,2,0.01,0.001,0.5,none,60.2522125244,0,60.2522125244,60.2522125244,60.5987663269,0,60.5987663269,60.5987663269,1
43,87,8,0.001,0,0.75,none,59.8190231323,0,59.8190231323,59.8190231323,60.3677330017,0,60.3677330017,60.3677330017,1
44,125,16,0.001,0.0001,0.5,none,58.7504806519,0,58.7504806519,58.7504806519,59.3665771484,0,59.3665771484,59.3665771484,1
45,182,64,0.01,0,0.5,none,57.0273399353,0,57.0273399353,57.0273399353,57.1332321167,0,57.1332321167,57.1332321167,1
46,183,64,0.01,0,0.75,none,57.0273399353,0,57.0273399353,57.0273399353,57.2006149292,0,57.2006149292,57.2006149292,1
47,147,32,0.01,0,0.75,none,56.998462677,0,56.998462677,56.998462677,57.1332321167,0,57.1332321167,57.1332321167,1
48,193,64,0.001,0,0.25,none,56.9406967163,0,56.9406967163,56.9406967163,57.104347229,0,57.104347229,57.104347229,1
49,146,32,0.01,0,0.5,none,56.911819458,0,56.911819458,56.911819458,57.0754699707,0,57.0754699707,57.0754699707,1
50,157,32,0.001,0,0.25,none,56.911819458,0,56.911819458,56.911819458,57.0177154541,0,57.0177154541,57.0177154541,1
51,181,64,0.01,0,0.25,none,56.911819458,0,56.911819458,56.911819458,57.0658454895,0,57.0658454895,57.0658454895,1
52,158,32,0.001,0,0.5,none,56.9021949768,0,56.9021949768,56.9021949768,57.0177154541,0,57.0177154541,57.0177154541,1
53,184,64,0.01,0.0001,0.25,none,56.8251838684,0,56.8251838684,56.8251838684,57.0273399353,0,57.0273399353,57.0273399353,1
54,185,64,0.01,0.0001,0.5,none,56.7096633911,0,56.7096633911,56.7096633911,57.0080871582,0,57.0080871582,57.0080871582,1
55,148,32,0.01,0.0001,0.25,none,56.7000389099,0,56.7000389099,56.7000389099,56.969581604,0,56.969581604,56.969581604,1
56,112,16,0.01,0.0001,0.25,none,56.6519088745,0,56.6519088745,56.6519088745,57.0080871582,0,57.0080871582,57.0080871582,1
57,149,32,0.01,0.0001,0.5,none,56.6133956909,0,56.6133956909,56.6133956909,56.9310722351,0,56.9310722351,56.9310722351,1
58,113,16,0.01,0.0001,0.5,none,56.5941467285,0,56.5941467285,56.5941467285,56.8636894226,0,56.8636894226,56.8636894226,1
59,124,16,0.001,0.0001,0.25,none,56.3727378845,0,56.3727378845,56.3727378845,56.5556411743,0,56.5556411743,56.5556411743,1
60,150,32,0.01,0.0001,0.75,none,56.2957305908,0,56.2957305908,56.2957305908,56.5652656555,0,56.5652656555,56.5652656555,1
61,114,16,0.01,0.0001,0.75,none,56.2860946655,0,56.2860946655,56.2860946655,56.5845184326,0,56.5845184326,56.5845184326,1
62,186,64,0.01,0.0001,0.75,none,56.2860946655,0,56.2860946655,56.2860946655,56.5652656555,0,56.5652656555,56.5652656555,1
63,78,8,0.01,0.0001,0.75,none,56.2764701843,0,56.2764701843,56.2764701843,56.5460128784,0,56.5460128784,56.5460128784,1
64,160,32,0.001,0.0001,0.25,none,56.247592926,0,56.247592926,56.247592926,56.5171356201,0,56.5171356201,56.5171356201,1
65,195,64,0.001,0,0.75,none,56.218711853,0,56.218711853,56.218711853,56.4304962158,0,56.4304962158,56.4304962158,1
66,198,64,0.001,0.0001,0.75,none,56.2090873718,0,56.2090873718,56.2090873718,56.5075111389,0,56.5075111389,56.5075111389,1
67,162,32,0.001,0.0001,0.75,none,56.1898345947,0,56.1898345947,56.1898345947,56.4593734741,0,56.4593734741,56.4593734741,1
68,197,64,0.001,0.0001,0.5,none,56.1705818176,0,56.1705818176,56.1705818176,56.4112434387,0,56.4112434387,56.4112434387,1
69,19,2,0.001,0.001,0.25,none,56.1417045593,0,56.1417045593,56.1417045593,56.4208679199,0,56.4208679199,56.4208679199,1
70,21,2,0.001,0.001,0.75,none,56.1417045593,0,56.1417045593,56.1417045593,56.4304962158,0,56.4304962158,56.4304962158,1
71,159,32,0.001,0,0.75,none,56.1417045593,0,56.1417045593,56.1417045593,56.4016151428,0,56.4016151428,56.4016151428,1
72,161,32,0.001,0.0001,0.5,none,56.1417045593,0,56.1417045593,56.1417045593,56.3919906616,0,56.3919906616,56.3919906616,1
73,55,4,0.001,0.001,0.25,none,56.1320800781,0,56.1320800781,56.1320800781,56.4112434387,0,56.4112434387,56.4112434387,1
74,56,4,0.001,0.001,0.5,none,56.1224441528,0,56.1224441528,56.1224441528,56.440120697,0,56.440120697,56.440120697,1
75,93,8,0.001,0.001,0.75,none,56.1224441528,0,56.1224441528,56.1224441528,56.4112434387,0,56.4112434387,56.4112434387,1
76,123,16,0.001,0,0.75,none,56.1224441528,0,56.1224441528,56.1224441528,56.4786300659,0,56.4786300659,56.4786300659,1
77,91,8,0.001,0.001,0.25,none,56.1128196716,0,56.1128196716,56.1128196716,56.3919906616,0,56.3919906616,56.3919906616,1
78,92,8,0.001,0.001,0.5,none,56.1128196716,0,56.1128196716,56.1128196716,56.4593734741,0,56.4593734741,56.4593734741,1
79,122,16,0.001,0,0.5,none,56.1128196716,0,56.1128196716,56.1128196716,56.3149795532,0,56.3149795532,56.3149795532,1
80,194,64,0.001,0,0.5,none,56.1128196716,0,56.1128196716,56.1128196716,56.3149795532,0,56.3149795532,56.3149795532,1
81,201,64,0.001,0.001,0.75,none,56.1128196716,0,56.1128196716,56.1128196716,56.4786300659,0,56.4786300659,56.4786300659,1
82,57,4,0.001,0.001,0.75,none,56.1031951904,0,56.1031951904,56.1031951904,56.4208679199,0,56.4208679199,56.4208679199,1
83,128,16,0.001,0.001,0.5,none,56.1031951904,0,56.1031951904,56.1031951904,56.4497451782,0,56.4497451782,56.4497451782,1
84,129,16,0.001,0.001,0.75,none,56.1031951904,0,56.1031951904,56.1031951904,56.4497451782,0,56.4497451782,56.4497451782,1
85,20,2,0.001,0.001,0.5,none,56.0935668945,0,56.0935668945,56.0935668945,56.4208679199,0,56.4208679199,56.4208679199,1
86,127,16,0.001,0.001,0.25,none,56.0935668945,0,56.0935668945,56.0935668945,56.4497451782,0,56.4497451782,56.4497451782,1
87,200,64,0.001,0.001,0.5,none,56.0935668945,0,56.0935668945,56.0935668945,56.440120697,0,56.440120697,56.440120697,1
88,164,32,0.001,0.001,0.5,none,56.0839424133,0,56.0839424133,56.0839424133,56.440120697,0,56.440120697,56.440120697,1
89,165,32,0.001,0.001,0.75,none,56.0839424133,0,56.0839424133,56.0839424133,56.440120697,0,56.440120697,56.440120697,1
90,163,32,0.001,0.001,0.25,none,56.0743141174,0,56.0743141174,56.0743141174,56.4497451782,0,56.4497451782,56.4497451782,1
91,196,64,0.001,0.0001,0.25,none,56.0743141174,0,56.0743141174,56.0743141174,56.4016151428,0,56.4016151428,56.4016151428,1
92,199,64,0.001,0.001,0.25,none,56.0743141174,0,56.0743141174,56.0743141174,56.4016151428,0,56.4016151428,56.4016151428,1
93,43,4,0.01,0.001,0.25,none,56.0454368591,0,56.0454368591,56.0454368591,56.3919906616,0,56.3919906616,56.3919906616,1
94,79,8,0.01,0.001,0.25,none,56.0454368591,0,56.0454368591,56.0454368591,56.3919906616,0,56.3919906616,56.3919906616,1
95,115,16,0.01,0.001,0.25,none,56.0454368591,0,56.0454368591,56.0454368591,56.3919906616,0,56.3919906616,56.3919906616,1
96,151,32,0.01,0.001,0.25,none,56.0454368591,0,56.0454368591,56.0454368591,56.3919906616,0,56.3919906616,56.3919906616,1
97,187,64,0.01,0.001,0.25,none,56.0454368591,0,56.0454368591,56.0454368591,56.3823623657,0,56.3823623657,56.3823623657,1
98,7,2,0.01,0.001,0.25,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
99,9,2,0.01,0.001,0.75,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
100,10,2,0.01,0.01,0.25,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
101,11,2,0.01,0.01,0.5,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
102,12,2,0.01,0.01,0.75,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
103,22,2,0.001,0.01,0.25,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
104,23,2,0.001,0.01,0.5,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
105,24,2,0.001,0.01,0.75,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
106,45,4,0.01,0.001,0.75,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
107,46,4,0.01,0.01,0.25,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
108,47,4,0.01,0.01,0.5,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
109,48,4,0.01,0.01,0.75,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
110,58,4,0.001,0.01,0.25,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
111,59,4,0.001,0.01,0.5,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
112,60,4,0.001,0.01,0.75,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
113,80,8,0.01,0.001,0.5,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
114,81,8,0.01,0.001,0.75,none,56.0358123779,0,56.0358123779,56.0358123779,56.3823623657,0,56.3823623657,56.3823623657,1
