rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,44,4,0.01,0.001,0.5,none,71.7548141479,0,71.7548141479,71.7548141479,71.3942337036,0,71.3942337036,71.3942337036,1
2,45,4,0.01,0.001,0.75,none,71.7548141479,0,71.7548141479,71.7548141479,72.1153869629,0,72.1153869629,72.1153869629,1
3,8,2,0.01,0.001,0.5,none,71.3942337036,0,71.3942337036,71.3942337036,71.1538467407,0,71.1538467407,71.1538467407,1
4,9,2,0.01,0.001,0.75,none,71.3942337036,0,71.3942337036,71.3942337036,71.7548141479,0,71.7548141479,71.7548141479,1
5,81,8,0.01,0.001,0.75,none,71.3942337036,0,71.3942337036,71.3942337036,71.7548141479,0,71.7548141479,71.7548141479,1
6,43,4,0.01,0.001,0.25,none,71.1538467407,0,71.1538467407,71.1538467407,70.9134674072,0,70.9134674072,70.9134674072,1
7,80,8,0.01,0.001,0.5,none,71.1538467407,0,71.1538467407,71.1538467407,71.0336532593,0,71.0336532593,71.0336532593,1
8,117,16,0.01,0.001,0.75,none,70.9134674072,0,70.9134674072,70.9134674072,71.2740402222,0,71.2740402222,71.2740402222,1
9,7,2,0.01,0.001,0.25,none,70.7932739258,0,70.7932739258,70.7932739258,71.0336532593,0,71.0336532593,71.0336532593,1
10,79,8,0.01,0.001,0.25,none,70.7932739258,0,70.7932739258,70.7932739258,70.9134674072,0,70.9134674072,70.9134674072,1
11,115,16,0.01,0.001,0.25,none,70.7932739258,0,70.7932739258,70.7932739258,69.9519271851,0,69.9519271851,69.9519271851,1
12,116,16,0.01,0.001,0.5,none,70.5528869629,0,70.5528869629,70.5528869629,70.7932739258,0,70.7932739258,70.7932739258,1
13,153,32,0.01,0.001,0.75,none,70.1923141479,0,70.1923141479,70.1923141479,70.1923141479,0,70.1923141479,70.1923141479,1
14,148,32,0.01,0.0001,0.25,none,70.0721206665,0,70.0721206665,70.0721206665,69.5913467407,0,69.5913467407,69.5913467407,1
15,112,16,0.01,0.0001,0.25,none,69.9519271851,0,69.9519271851,69.9519271851,70.0721206665,0,70.0721206665,70.0721206665,1
16,39,4,0.01,0,0.75,none,69.7115402222,0,69.7115402222,69.7115402222,68.2692337036,0,68.2692337036,68.2692337036,1
17,151,32,0.01,0.001,0.25,none,69.5913467407,0,69.5913467407,69.5913467407,70.0721206665,0,70.0721206665,70.0721206665,1
18,152,32,0.01,0.001,0.5,none,69.5913467407,0,69.5913467407,69.5913467407,69.4711532593,0,69.4711532593,69.4711532593,1
19,42,4,0.01,0.0001,0.75,none,69.3509674072,0,69.3509674072,69.3509674072,69.3509674072,0,69.3509674072,69.3509674072,1
20,75,8,0.01,0,0.75,none,69.3509674072,0,69.3509674072,69.3509674072,69.5913467407,0,69.5913467407,69.5913467407,1
21,189,64,0.01,0.001,0.75,none,69.1105804443,0,69.1105804443,69.1105804443,70.7932739258,0,70.7932739258,70.7932739258,1
22,50,4,0.001,0,0.5,none,68.9903869629,0,68.9903869629,68.9903869629,67.6682739258,0,67.6682739258,67.6682739258,1
23,78,8,0.01,0.0001,0.75,none,68.9903869629,0,68.9903869629,68.9903869629,69.8317337036,0,69.8317337036,69.8317337036,1
24,85,8,0.001,0,0.25,none,68.9903869629,0,68.9903869629,68.9903869629,69.2307739258,0,69.2307739258,69.2307739258,1
25,86,8,0.001,0,0.5,none,68.8701934814,0,68.8701934814,68.8701934814,69.5913467407,0,69.5913467407,69.5913467407,1
26,87,8,0.001,0,0.75,none,68.8701934814,0,68.8701934814,68.8701934814,69.4711532593,0,69.4711532593,69.4711532593,1
27,88,8,0.001,0.0001,0.25,none,68.8701934814,0,68.8701934814,68.8701934814,68.75,0,68.75,68.75,1
28,90,8,0.001,0.0001,0.75,none,68.8701934814,0,68.8701934814,68.8701934814,69.5913467407,0,69.5913467407,69.5913467407,1
29,111,16,0.01,0,0.75,none,68.8701934814,0,68.8701934814,68.8701934814,70.3125,0,70.3125,70.3125,1
30,184,64,0.01,0.0001,0.25,none,68.8701934814,0,68.8701934814,68.8701934814,68.75,0,68.75,68.75,1
31,187,64,0.01,0.001,0.25,none,68.8701934814,0,68.8701934814,68.8701934814,70.3125,0,70.3125,70.3125,1
32,51,4,0.001,0,0.75,none,68.75,0,68.75,68.75,68.3894271851,0,68.3894271851,68.3894271851,1
33,89,8,0.001,0.0001,0.5,none,68.75,0,68.75,68.75,68.8701934814,0,68.8701934814,68.8701934814,1
34,114,16,0.01,0.0001,0.75,none,68.75,0,68.75,68.75,70.4326934814,0,70.4326934814,70.4326934814,1
35,74,8,0.01,0,0.5,none,68.6298141479,0,68.6298141479,68.6298141479,68.9903869629,0,68.9903869629,68.9903869629,1
36,188,64,0.01,0.001,0.5,none,68.6298141479,0,68.6298141479,68.6298141479,70.0721206665,0,70.0721206665,70.0721206665,1
37,54,4,0.001,0.0001,0.75,none,68.3894271851,0,68.3894271851,68.3894271851,68.1490402222,0,68.1490402222,68.1490402222,1
38,147,32,0.01,0,0.75,none,68.3894271851,0,68.3894271851,68.3894271851,69.4711532593,0,69.4711532593,69.4711532593,1
39,41,4,0.01,0.0001,0.5,none,68.2692337036,0,68.2692337036,68.2692337036,67.4278869629,0,67.4278869629,67.4278869629,1
40,53,4,0.001,0.0001,0.5,none,68.2692337036,0,68.2692337036,68.2692337036,67.4278869629,0,67.4278869629,67.4278869629,1
41,73,8,0.01,0,0.25,none,68.2692337036,0,68.2692337036,68.2692337036,68.1490402222,0,68.1490402222,68.1490402222,1
42,77,8,0.01,0.0001,0.5,none,68.2692337036,0,68.2692337036,68.2692337036,69.9519271851,0,69.9519271851,69.9519271851,1
43,110,16,0.01,0,0.5,none,68.2692337036,0,68.2692337036,68.2692337036,70.1923141479,0,70.1923141479,70.1923141479,1
44,122,16,0.001,0,0.5,none,68.2692337036,0,68.2692337036,68.2692337036,69.8317337036,0,69.8317337036,69.8317337036,1
45,150,32,0.01,0.0001,0.75,none,68.2692337036,0,68.2692337036,68.2692337036,69.2307739258,0,69.2307739258,69.2307739258,1
46,76,8,0.01,0.0001,0.25,none,68.1490402222,0,68.1490402222,68.1490402222,68.6298141479,0,68.6298141479,68.6298141479,1
47,113,16,0.01,0.0001,0.5,none,68.1490402222,0,68.1490402222,68.1490402222,69.8317337036,0,69.8317337036,69.8317337036,1
48,123,16,0.001,0,0.75,none,68.1490402222,0,68.1490402222,68.1490402222,70.4326934814,0,70.4326934814,70.4326934814,1
49,126,16,0.001,0.0001,0.75,none,68.1490402222,0,68.1490402222,68.1490402222,69.7115402222,0,69.7115402222,69.7115402222,1
50,4,2,0.01,0.0001,0.25,none,68.0288467407,0,68.0288467407,68.0288467407,68.2692337036,0,68.2692337036,68.2692337036,1
51,91,8,0.001,0.001,0.25,none,68.0288467407,0,68.0288467407,68.0288467407,69.3509674072,0,69.3509674072,69.3509674072,1
52,160,32,0.001,0.0001,0.25,none,68.0288467407,0,68.0288467407,68.0288467407,68.75,0,68.75,68.75,1
53,49,4,0.001,0,0.25,none,67.9086532593,0,67.9086532593,67.9086532593,67.7884674072,0,67.7884674072,67.7884674072,1
54,52,4,0.001,0.0001,0.25,none,67.9086532593,0,67.9086532593,67.9086532593,67.1875,0,67.1875,67.1875,1
55,124,16,0.001,0.0001,0.25,none,67.9086532593,0,67.9086532593,67.9086532593,69.5913467407,0,69.5913467407,69.5913467407,1
56,125,16,0.001,0.0001,0.5,none,67.9086532593,0,67.9086532593,67.9086532593,69.4711532593,0,69.4711532593,69.4711532593,1
57,161,32,0.001,0.0001,0.5,none,67.9086532593,0,67.9086532593,67.9086532593,68.9903869629,0,68.9903869629,68.9903869629,1
58,37,4,0.01,0,0.25,none,67.7884674072,0,67.7884674072,67.7884674072,66.2259674072,0,66.2259674072,66.2259674072,1
59,121,16,0.001,0,0.25,none,67.7884674072,0,67.7884674072,67.7884674072,69.3509674072,0,69.3509674072,69.3509674072,1
60,146,32,0.01,0,0.5,none,67.7884674072,0,67.7884674072,67.7884674072,69.3509674072,0,69.3509674072,69.3509674072,1
61,10,2,0.01,0.01,0.25,none,67.6682739258,0,67.6682739258,67.6682739258,68.9903869629,0,68.9903869629,68.9903869629,1
62,11,2,0.01,0.01,0.5,none,67.6682739258,0,67.6682739258,67.6682739258,68.2692337036,0,68.2692337036,68.2692337036,1
63,12,2,0.01,0.01,0.75,none,67.6682739258,0,67.6682739258,67.6682739258,69.2307739258,0,69.2307739258,69.2307739258,1
64,92,8,0.001,0.001,0.5,none,67.6682739258,0,67.6682739258,67.6682739258,69.8317337036,0,69.8317337036,69.8317337036,1
65,109,16,0.01,0,0.25,none,67.6682739258,0,67.6682739258,67.6682739258,69.1105804443,0,69.1105804443,69.1105804443,1
66,149,32,0.01,0.0001,0.5,none,67.6682739258,0,67.6682739258,67.6682739258,69.4711532593,0,69.4711532593,69.4711532593,1
67,186,64,0.01,0.0001,0.75,none,67.6682739258,0,67.6682739258,67.6682739258,69.3509674072,0,69.3509674072,69.3509674072,1
68,38,4,0.01,0,0.5,none,67.5480804443,0,67.5480804443,67.5480804443,67.5480804443,0,67.5480804443,67.5480804443,1
69,93,8,0.001,0.001,0.75,none,67.5480804443,0,67.5480804443,67.5480804443,69.5913467407,0,69.5913467407,69.5913467407,1
70,145,32,0.01,0,0.25,none,67.4278869629,0,67.4278869629,67.4278869629,68.1490402222,0,68.1490402222,68.1490402222,1
71,159,32,0.001,0,0.75,none,67.4278869629,0,67.4278869629,67.4278869629,69.3509674072,0,69.3509674072,69.3509674072,1
72,162,32,0.001,0.0001,0.75,none,67.4278869629,0,67.4278869629,67.4278869629,69.2307739258,0,69.2307739258,69.2307739258,1
73,47,4,0.01,0.01,0.5,none,67.3076934814,0,67.3076934814,67.3076934814,68.75,0,68.75,68.75,1
74,157,32,0.001,0,0.25,none,67.3076934814,0,67.3076934814,67.3076934814,68.9903869629,0,68.9903869629,68.9903869629,1
75,158,32,0.001,0,0.5,none,67.3076934814,0,67.3076934814,67.3076934814,68.75,0,68.75,68.75,1
76,183,64,0.01,0,0.75,none,67.3076934814,0,67.3076934814,67.3076934814,69.5913467407,0,69.5913467407,69.5913467407,1
77,40,4,0.01,0.0001,0.25,none,67.1875,0,67.1875,67.1875,66.9471206665,0,66.9471206665,66.9471206665,1
78,83,8,0.01,0.01,0.5,none,67.1875,0,67.1875,67.1875,68.2692337036,0,68.2692337036,68.2692337036,1
79,127,16,0.001,0.001,0.25,none,67.1875,0,67.1875,67.1875,68.9903869629,0,68.9903869629,68.9903869629,1
80,185,64,0.01,0.0001,0.5,none,67.1875,0,67.1875,67.1875,69.4711532593,0,69.4711532593,69.4711532593,1
81,197,64,0.001,0.0001,0.5,none,67.1875,0,67.1875,67.1875,68.75,0,68.75,68.75,1
82,46,4,0.01,0.01,0.25,none,67.0673065186,0,67.0673065186,67.0673065186,67.6682739258,0,67.6682739258,67.6682739258,1
83,55,4,0.001,0.001,0.25,none,67.0673065186,0,67.0673065186,67.0673065186,68.0288467407,0,68.0288467407,68.0288467407,1
84,128,16,0.001,0.001,0.5,none,67.0673065186,0,67.0673065186,67.0673065186,68.5096206665,0,68.5096206665,68.5096206665,1
85,48,4,0.01,0.01,0.75,none,66.9471206665,0,66.9471206665,66.9471206665,68.0288467407,0,68.0288467407,68.0288467407,1
86,182,64,0.01,0,0.5,none,66.9471206665,0,66.9471206665,66.9471206665,69.2307739258,0,69.2307739258,69.2307739258,1
87,198,64,0.001,0.0001,0.75,none,66.9471206665,0,66.9471206665,66.9471206665,68.75,0,68.75,68.75,1
88,82,8,0.01,0.01,0.25,none,66.8269271851,0,66.8269271851,66.8269271851,67.9086532593,0,67.9086532593,67.9086532593,1
89,84,8,0.01,0.01,0.75,none,66.8269271851,0,66.8269271851,66.8269271851,67.5480804443,0,67.5480804443,67.5480804443,1
90,129,16,0.001,0.001,0.75,none,66.8269271851,0,66.8269271851,66.8269271851,68.9903869629,0,68.9903869629,68.9903869629,1
91,194,64,0.001,0,0.5,none,66.8269271851,0,66.8269271851,66.8269271851,68.3894271851,0,68.3894271851,68.3894271851,1
92,6,2,0.01,0.0001,0.75,none,66.7067337036,0,66.7067337036,66.7067337036,66.7067337036,0,66.7067337036,66.7067337036,1
93,181,64,0.01,0,0.25,none,66.5865402222,0,66.5865402222,66.5865402222,68.5096206665,0,68.5096206665,68.5096206665,1
94,195,64,0.001,0,0.75,none,66.5865402222,0,66.5865402222,66.5865402222,68.9903869629,0,68.9903869629,68.9903869629,1
95,3,2,0.01,0,0.75,none,66.4663467407,0,66.4663467407,66.4663467407,65.7451934814,0,65.7451934814,65.7451934814,1
96,193,64,0.001,0,0.25,none,66.4663467407,0,66.4663467407,66.4663467407,68.75,0,68.75,68.75,1
97,15,2,0.001,0,0.75,none,66.3461532593,0,66.3461532593,66.3461532593,65.5048065186,0,65.5048065186,65.5048065186,1
98,56,4,0.001,0.001,0.5,none,66.3461532593,0,66.3461532593,66.3461532593,68.0288467407,0,68.0288467407,68.0288467407,1
99,163,32,0.001,0.001,0.25,none,66.3461532593,0,66.3461532593,66.3461532593,68.8701934814,0,68.8701934814,68.8701934814,1
100,165,32,0.001,0.001,0.75,none,66.3461532593,0,66.3461532593,66.3461532593,69.2307739258,0,69.2307739258,69.2307739258,1
101,196,64,0.001,0.0001,0.25,none,66.3461532593,0,66.3461532593,66.3461532593,68.8701934814,0,68.8701934814,68.8701934814,1
102,2,2,0.01,0,0.5,none,66.1057739258,0,66.1057739258,66.1057739258,64.5432739258,0,64.5432739258,64.5432739258,1
103,119,16,0.01,0.01,0.5,none,66.1057739258,0,66.1057739258,66.1057739258,67.9086532593,0,67.9086532593,67.9086532593,1
104,17,2,0.001,0.0001,0.5,none,65.9855804443,0,65.9855804443,65.9855804443,65.0240402222,0,65.0240402222,65.0240402222,1
105,18,2,0.001,0.0001,0.75,none,65.9855804443,0,65.9855804443,65.9855804443,65.8653869629,0,65.8653869629,65.8653869629,1
106,164,32,0.001,0.001,0.5,none,65.9855804443,0,65.9855804443,65.9855804443,68.9903869629,0,68.9903869629,68.9903869629,1
107,118,16,0.01,0.01,0.25,none,65.7451934814,0,65.7451934814,65.7451934814,67.5480804443,0,67.5480804443,67.5480804443,1
108,120,16,0.01,0.01,0.75,none,65.7451934814,0,65.7451934814,65.7451934814,67.7884674072,0,67.7884674072,67.7884674072,1
109,14,2,0.001,0,0.5,none,65.625,0,65.625,65.625,64.4230804443,0,64.4230804443,64.4230804443,1
110,201,64,0.001,0.001,0.75,none,65.625,0,65.625,65.625,67.3076934814,0,67.3076934814,67.3076934814,1
111,57,4,0.001,0.001,0.75,none,65.5048065186,0,65.5048065186,65.5048065186,65.9855804443,0,65.9855804443,65.9855804443,1
112,21,2,0.001,0.001,0.75,none,65.3846206665,0,65.3846206665,65.3846206665,65.1442337036,0,65.1442337036,65.1442337036,1
113,20,2,0.001,0.001,0.5,none,65.2644271851,0,65.2644271851,65.2644271851,65.0240402222,0,65.0240402222,65.0240402222,1
114,5,2,0.01,0.0001,0.5,none,65.1442337036,0,65.1442337036,65.1442337036,64.4230804443,0,64.4230804443,64.4230804443,1
115,199,64,0.001,0.001,0.25,none,65.0240402222,0,65.0240402222,65.0240402222,65.8653869629,0,65.8653869629,65.8653869629,1
116,200,64,0.001,0.001,0.5,none,65.0240402222,0,65.0240402222,65.0240402222,66.5865402222,0,66.5865402222,66.5865402222,1
117,13,2,0.001,0,0.25,none,64.9038467407,0,64.9038467407,64.9038467407,63.4615402222,0,63.4615402222,63.4615402222,1
118,16,2,0.001,0.0001,0.25,none,64.9038467407,0,64.9038467407,64.9038467407,63.9423065186,0,63.9423065186,63.9423065186,1
119,19,2,0.001,0.001,0.25,none,64.7836532593,0,64.7836532593,64.7836532593,65.1442337036,0,65.1442337036,65.1442337036,1
120,1,2,0.01,0,0.25,none,64.5432739258,0,64.5432739258,64.5432739258,62.5,0,62.5,62.5,1
121,155,32,0.01,0.01,0.5,none,64.3028869629,0,64.3028869629,64.3028869629,66.3461532593,0,66.3461532593,66.3461532593,1
122,154,32,0.01,0.01,0.25,none,63.9423065186,0,63.9423065186,63.9423065186,65.2644271851,0,65.2644271851,65.2644271851,1
123,156,32,0.01,0.01,0.75,none,63.221157074,0,63.221157074,63.221157074,64.1826934814,0,64.1826934814,64.1826934814,1
124,190,64,0.01,0.01,0.25,none,62.5,0,62.5,62.5,63.7019271851,0,63.7019271851,63.7019271851,1
125,191,64,0.01,0.01,0.5,none,62.1394271851,0,62.1394271851,62.1394271851,63.221157074,0,63.221157074,63.221157074,1
126,22,2,0.001,0.01,0.25,none,61.2980766296,0,61.2980766296,61.2980766296,62.8605766296,0,62.8605766296,62.8605766296,1
127,192,64,0.01,0.01,0.75,none,60.096157074,0,60.096157074,60.096157074,61.658657074,0,61.658657074,61.658657074,1
128,133,16,0.0001,0,0.25,none,40.8653869629,0,40.8653869629,40.8653869629,37.7403869629,0,37.7403869629,37.7403869629,1
129,134,16,0.0001,0,0.5,none,40.8653869629,0,40.8653869629,40.8653869629,37.8605766296,0,37.8605766296,37.8605766296,1
130,137,16,0.0001,0.0001,0.5,none,40.8653869629,0,40.8653869629,40.8653869629,37.7403869629,0,37.7403869629,37.7403869629,1
131,136,16,0.0001,0.0001,0.25,none,40.7451934814,0,40.7451934814,40.7451934814,37.5,0,37.5,37.5,1
132,100,8,0.0001,0.0001,0.25,none,40.6250038147,0,40.6250038147,40.6250038147,36.5384635925,0,36.5384635925,36.5384635925,1
133,98,8,0.0001,0,0.5,none,40.3846168518,0,40.3846168518,40.3846168518,36.7788467407,0,36.7788467407,36.7788467407,1
134,101,8,0.0001,0.0001,0.5,none,40.3846168518,0,40.3846168518,40.3846168518,37.0192337036,0,37.0192337036,37.0192337036,1
135,170,32,0.0001,0,0.5,none,40.3846168518,0,40.3846168518,40.3846168518,37.7403869629,0,37.7403869629,37.7403869629,1
136,171,32,0.0001,0,0.75,none,40.3846168518,0,40.3846168518,40.3846168518,39.9038467407,0,39.9038467407,39.9038467407,1
137,97,8,0.0001,0,0.25,none,40.2644233704,0,40.2644233704,40.2644233704,36.658657074,0,36.658657074,36.658657074,1
138,138,16,0.0001,0.0001,0.75,none,40.1442337036,0,40.1442337036,40.1442337036,39.0625,0,39.0625,39.0625,1
139,173,32,0.0001,0.0001,0.5,none,40.1442337036,0,40.1442337036,40.1442337036,37.5,0,37.5,37.5,1
140,169,32,0.0001,0,0.25,none,40.0240402222,0,40.0240402222,40.0240402222,36.5384635925,0,36.5384635925,36.5384635925,1
141,172,32,0.0001,0.0001,0.25,none,40.0240402222,0,40.0240402222,40.0240402222,36.658657074,0,36.658657074,36.658657074,1
142,174,32,0.0001,0.0001,0.75,none,40.0240402222,0,40.0240402222,40.0240402222,38.7019233704,0,38.7019233704,38.7019233704,1
143,135,16,0.0001,0,0.75,none,39.9038467407,0,39.9038467407,39.9038467407,38.1009635925,0,38.1009635925,38.1009635925,1
144,99,8,0.0001,0,0.75,none,39.6634635925,0,39.6634635925,39.6634635925,37.7403869629,0,37.7403869629,37.7403869629,1
145,102,8,0.0001,0.0001,0.75,none,39.4230766296,0,39.4230766296,39.4230766296,37.8605766296,0,37.8605766296,37.8605766296,1
146,205,64,0.0001,0,0.25,none,39.4230766296,0,39.4230766296,39.4230766296,36.0576934814,0,36.0576934814,36.0576934814,1
147,206,64,0.0001,0,0.5,none,39.4230766296,0,39.4230766296,39.4230766296,36.658657074,0,36.658657074,36.658657074,1
148,208,64,0.0001,0.0001,0.25,none,39.3028869629,0,39.3028869629,39.3028869629,36.0576934814,0,36.0576934814,36.0576934814,1
149,209,64,0.0001,0.0001,0.5,none,39.3028869629,0,39.3028869629,39.3028869629,36.4182701111,0,36.4182701111,36.4182701111,1
150,139,16,0.0001,0.001,0.25,none,39.0625,0,39.0625,39.0625,35.9375,0,35.9375,35.9375,1
151,61,4,0.0001,0,0.25,none,38.9423103333,0,38.9423103333,38.9423103333,36.4182701111,0,36.4182701111,36.4182701111,1
152,65,4,0.0001,0.0001,0.5,none,38.9423103333,0,38.9423103333,38.9423103333,35.9375,0,35.9375,35.9375,1
153,62,4,0.0001,0,0.5,none,38.8221168518,0,38.8221168518,38.8221168518,36.4182701111,0,36.4182701111,36.4182701111,1
154,64,4,0.0001,0.0001,0.25,none,38.8221168518,0,38.8221168518,38.8221168518,35.4567337036,0,35.4567337036,35.4567337036,1
155,103,8,0.0001,0.001,0.25,none,38.8221168518,0,38.8221168518,38.8221168518,35.5769233704,0,35.5769233704,35.5769233704,1
156,104,8,0.0001,0.001,0.5,none,38.7019233704,0,38.7019233704,38.7019233704,37.0192337036,0,37.0192337036,37.0192337036,1
157,140,16,0.0001,0.001,0.5,none,38.7019233704,0,38.7019233704,38.7019233704,36.7788467407,0,36.7788467407,36.7788467407,1
158,207,64,0.0001,0,0.75,none,38.7019233704,0,38.7019233704,38.7019233704,37.7403869629,0,37.7403869629,37.7403869629,1
159,211,64,0.0001,0.001,0.25,none,38.7019233704,0,38.7019233704,38.7019233704,35.5769233704,0,35.5769233704,35.5769233704,1
160,175,32,0.0001,0.001,0.25,none,38.5817337036,0,38.5817337036,38.5817337036,35.8173103333,0,35.8173103333,35.8173103333,1
161,25,2,0.0001,0,0.25,none,38.4615402222,0,38.4615402222,38.4615402222,36.1778869629,0,36.1778869629,36.1778869629,1
162,28,2,0.0001,0.0001,0.25,none,38.4615402222,0,38.4615402222,38.4615402222,35.6971168518,0,35.6971168518,35.6971168518,1
163,210,64,0.0001,0.0001,0.75,none,38.4615402222,0,38.4615402222,38.4615402222,37.0192337036,0,37.0192337036,37.0192337036,1
164,176,32,0.0001,0.001,0.5,none,37.9807701111,0,37.9807701111,37.9807701111,36.0576934814,0,36.0576934814,36.0576934814,1
165,212,64,0.0001,0.001,0.5,none,37.9807701111,0,37.9807701111,37.9807701111,35.8173103333,0,35.8173103333,35.8173103333,1
166,141,16,0.0001,0.001,0.75,none,37.7403869629,0,37.7403869629,37.7403869629,36.2980766296,0,36.2980766296,36.2980766296,1
167,66,4,0.0001,0.0001,0.75,none,37.5,0,37.5,37.5,35.5769233704,0,35.5769233704,35.5769233704,1
168,63,4,0.0001,0,0.75,none,37.3798103333,0,37.3798103333,37.3798103333,36.0576934814,0,36.0576934814,36.0576934814,1
169,68,4,0.0001,0.001,0.5,none,37.2596168518,0,37.2596168518,37.2596168518,35.4567337036,0,35.4567337036,35.4567337036,1
170,105,8,0.0001,0.001,0.75,none,37.1394233704,0,37.1394233704,37.1394233704,36.4182701111,0,36.4182701111,36.4182701111,1
171,67,4,0.0001,0.001,0.25,none,37.0192337036,0,37.0192337036,37.0192337036,35.096157074,0,35.096157074,35.096157074,1
172,26,2,0.0001,0,0.5,none,36.5384635925,0,36.5384635925,36.5384635925,32.6923103333,0,32.6923103333,32.6923103333,1
173,29,2,0.0001,0.0001,0.5,none,36.4182701111,0,36.4182701111,36.4182701111,32.3317337036,0,32.3317337036,32.3317337036,1
174,177,32,0.0001,0.001,0.75,none,36.2980766296,0,36.2980766296,36.2980766296,35.6971168518,0,35.6971168518,35.6971168518,1
175,69,4,0.0001,0.001,0.75,none,35.2163467407,0,35.2163467407,35.2163467407,33.6538467407,0,33.6538467407,33.6538467407,1
176,32,2,0.0001,0.001,0.5,none,34.6153869629,0,34.6153869629,34.6153869629,30.8894252777,0,30.8894252777,30.8894252777,1
177,27,2,0.0001,0,0.75,none,34.4951934814,0,34.4951934814,34.4951934814,33.2932701111,0,33.2932701111,33.2932701111,1
178,30,2,0.0001,0.0001,0.75,none,34.375,0,34.375,34.375,33.1730766296,0,33.1730766296,33.1730766296,1
179,31,2,0.0001,0.001,0.25,none,34.375,0,34.375,34.375,30.6490383148,0,30.6490383148,30.6490383148,1
180,213,64,0.0001,0.001,0.75,none,32.9326934814,0,32.9326934814,32.9326934814,33.6538467407,0,33.6538467407,33.6538467407,1
181,33,2,0.0001,0.001,0.75,none,32.2115402222,0,32.2115402222,32.2115402222,31.25,0,31.25,31.25,1
182,70,4,0.0001,0.01,0.25,none,24.0384616852,0,24.0384616852,24.0384616852,23.9182701111,0,23.9182701111,23.9182701111,1
183,106,8,0.0001,0.01,0.25,none,23.9182701111,0,23.9182701111,23.9182701111,24.2788467407,0,24.2788467407,24.2788467407,1
184,107,8,0.0001,0.01,0.5,none,23.6778850555,0,23.6778850555,23.6778850555,23.5576934814,0,23.5576934814,23.5576934814,1
185,71,4,0.0001,0.01,0.5,none,23.4375019073,0,23.4375019073,23.4375019073,23.798078537,0,23.798078537,23.798078537,1
186,95,8,0.001,0.01,0.5,none,23.0769252777,0,23.0769252777,23.0769252777,22.8365383148,0,22.8365383148,22.8365383148,1
187,131,16,0.001,0.01,0.5,none,23.0769252777,0,23.0769252777,23.0769252777,22.9567317963,0,22.9567317963,22.9567317963,1
188,142,16,0.0001,0.01,0.25,none,23.0769252777,0,23.0769252777,23.0769252777,24.2788467407,0,24.2788467407,24.2788467407,1
189,143,16,0.0001,0.01,0.5,none,23.0769252777,0,23.0769252777,23.0769252777,24.1586551666,0,24.1586551666,24.1586551666,1
190,179,32,0.0001,0.01,0.5,none,23.0769252777,0,23.0769252777,23.0769252777,23.6778850555,0,23.6778850555,23.6778850555,1
191,214,64,0.0001,0.01,0.25,none,23.0769252777,0,23.0769252777,23.0769252777,23.798078537,0,23.798078537,23.798078537,1
192,34,2,0.0001,0.01,0.25,none,22.9567317963,0,22.9567317963,22.9567317963,23.4375019073,0,23.4375019073,23.4375019073,1
193,35,2,0.0001,0.01,0.5,none,22.8365383148,0,22.8365383148,22.8365383148,22.9567317963,0,22.9567317963,22.9567317963,1
194,59,4,0.001,0.01,0.5,none,22.8365383148,0,22.8365383148,22.8365383148,23.0769252777,0,23.0769252777,23.0769252777,1
195,167,32,0.001,0.01,0.5,none,22.8365383148,0,22.8365383148,22.8365383148,22.7163467407,0,22.7163467407,22.7163467407,1
196,178,32,0.0001,0.01,0.25,none,22.8365383148,0,22.8365383148,22.8365383148,24.1586551666,0,24.1586551666,24.1586551666,1
197,215,64,0.0001,0.01,0.5,none,22.8365383148,0,22.8365383148,22.8365383148,23.3173084259,0,23.3173084259,23.3173084259,1
198,203,64,0.001,0.01,0.5,none,22.7163467407,0,22.7163467407,22.7163467407,22.8365383148,0,22.8365383148,22.8365383148,1
199,23,2,0.001,0.01,0.5,none,22.5961551666,0,22.5961551666,22.5961551666,22.3557701111,0,22.3557701111,22.3557701111,1
200,96,8,0.001,0.01,0.75,none,22.4759616852,0,22.4759616852,22.4759616852,22.7163467407,0,22.7163467407,22.7163467407,1
201,132,16,0.001,0.01,0.75,none,22.3557701111,0,22.3557701111,22.3557701111,22.7163467407,0,22.7163467407,22.7163467407,1
