rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,46,4,0.01,0.01,0.25,none,89.1586685181,0,89.1586685181,89.1586685181,87.8034973145,0,87.8034973145,87.8034973145,1
2,82,8,0.01,0.01,0.25,none,89.0457305908,0,89.0457305908,89.0457305908,87.4647064209,0,87.4647064209,87.4647064209,1
3,79,8,0.01,0.001,0.25,none,88.9328079224,0,88.9328079224,88.9328079224,87.2388458252,0,87.2388458252,87.2388458252,1
4,80,8,0.01,0.001,0.5,none,88.9328079224,0,88.9328079224,88.9328079224,87.1823806763,0,87.1823806763,87.1823806763,1
5,47,4,0.01,0.01,0.5,none,88.8198699951,0,88.8198699951,88.8198699951,87.8034973145,0,87.8034973145,87.8034973145,1
6,58,4,0.001,0.01,0.25,none,88.8198699951,0,88.8198699951,88.8198699951,87.6341018677,0,87.6341018677,87.6341018677,1
7,60,4,0.001,0.01,0.75,none,88.8198699951,0,88.8198699951,88.8198699951,87.8034973145,0,87.8034973145,87.8034973145,1
8,81,8,0.01,0.001,0.75,none,88.8198699951,0,88.8198699951,88.8198699951,87.2388458252,0,87.2388458252,87.2388458252,1
9,91,8,0.001,0.001,0.25,none,88.8198699951,0,88.8198699951,88.8198699951,86.9000549316,0,86.9000549316,86.9000549316,1
10,93,8,0.001,0.001,0.75,none,88.8198699951,0,88.8198699951,88.8198699951,87.1259155273,0,87.1259155273,87.1259155273,1
11,59,4,0.001,0.01,0.5,none,88.7634124756,0,88.7634124756,88.7634124756,87.6341018677,0,87.6341018677,87.6341018677,1
12,84,8,0.01,0.01,0.75,none,88.7634124756,0,88.7634124756,88.7634124756,87.1259155273,0,87.1259155273,87.1259155273,1
13,115,16,0.01,0.001,0.25,none,88.7634124756,0,88.7634124756,88.7634124756,87.0129852295,0,87.0129852295,87.0129852295,1
14,77,8,0.01,0.0001,0.5,none,88.7069473267,0,88.7069473267,88.7069473267,87.1823806763,0,87.1823806763,87.1823806763,1
15,87,8,0.001,0,0.75,none,88.7069473267,0,88.7069473267,88.7069473267,87.1823806763,0,87.1823806763,87.1823806763,1
16,90,8,0.001,0.0001,0.75,none,88.7069473267,0,88.7069473267,88.7069473267,87.1823806763,0,87.1823806763,87.1823806763,1
17,92,8,0.001,0.001,0.5,none,88.7069473267,0,88.7069473267,88.7069473267,87.0694503784,0,87.0694503784,87.0694503784,1
18,94,8,0.001,0.01,0.25,none,88.7069473267,0,88.7069473267,88.7069473267,87.0129852295,0,87.0129852295,87.0129852295,1
19,48,4,0.01,0.01,0.75,none,88.6504745483,0,88.6504745483,88.6504745483,87.9164276123,0,87.9164276123,87.9164276123,1
20,78,8,0.01,0.0001,0.75,none,88.6504745483,0,88.6504745483,88.6504745483,87.4647064209,0,87.4647064209,87.4647064209,1
21,83,8,0.01,0.01,0.5,none,88.6504745483,0,88.6504745483,88.6504745483,87.2953109741,0,87.2953109741,87.2953109741,1
22,73,8,0.01,0,0.25,none,88.5940170288,0,88.5940170288,88.5940170288,87.0129852295,0,87.0129852295,87.0129852295,1
23,75,8,0.01,0,0.75,none,88.5940170288,0,88.5940170288,88.5940170288,87.4647064209,0,87.4647064209,87.4647064209,1
24,85,8,0.001,0,0.25,none,88.5940170288,0,88.5940170288,88.5940170288,86.9565200806,0,86.9565200806,86.9565200806,1
25,88,8,0.001,0.0001,0.25,none,88.5940170288,0,88.5940170288,88.5940170288,86.9565200806,0,86.9565200806,86.9565200806,1
26,11,2,0.01,0.01,0.5,none,88.5375518799,0,88.5375518799,88.5375518799,87.408241272,0,87.408241272,87.408241272,1
27,12,2,0.01,0.01,0.75,none,88.5375518799,0,88.5375518799,88.5375518799,87.6341018677,0,87.6341018677,87.6341018677,1
28,51,4,0.001,0,0.75,none,88.5375518799,0,88.5375518799,88.5375518799,87.6905670166,0,87.6905670166,87.6905670166,1
29,54,4,0.001,0.0001,0.75,none,88.5375518799,0,88.5375518799,88.5375518799,87.6905670166,0,87.6905670166,87.6905670166,1
30,57,4,0.001,0.001,0.75,none,88.5375518799,0,88.5375518799,88.5375518799,87.7470321655,0,87.7470321655,87.7470321655,1
31,74,8,0.01,0,0.5,none,88.5375518799,0,88.5375518799,88.5375518799,87.2388458252,0,87.2388458252,87.2388458252,1
32,76,8,0.01,0.0001,0.25,none,88.5375518799,0,88.5375518799,88.5375518799,86.9565200806,0,86.9565200806,86.9565200806,1
33,96,8,0.001,0.01,0.75,none,88.5375518799,0,88.5375518799,88.5375518799,87.1823806763,0,87.1823806763,87.1823806763,1
34,110,16,0.01,0,0.5,none,88.5375518799,0,88.5375518799,88.5375518799,87.0129852295,0,87.0129852295,87.0129852295,1
35,113,16,0.01,0.0001,0.5,none,88.5375518799,0,88.5375518799,88.5375518799,87.0129852295,0,87.0129852295,87.0129852295,1
36,114,16,0.01,0.0001,0.75,none,88.5375518799,0,88.5375518799,88.5375518799,87.0129852295,0,87.0129852295,87.0129852295,1
37,24,2,0.001,0.01,0.75,none,88.4810791016,0,88.4810791016,88.4810791016,87.4647064209,0,87.4647064209,87.4647064209,1
38,55,4,0.001,0.001,0.25,none,88.4810791016,0,88.4810791016,88.4810791016,87.2953109741,0,87.2953109741,87.2953109741,1
39,86,8,0.001,0,0.5,none,88.4810791016,0,88.4810791016,88.4810791016,87.0694503784,0,87.0694503784,87.0694503784,1
40,89,8,0.001,0.0001,0.5,none,88.4810791016,0,88.4810791016,88.4810791016,87.0694503784,0,87.0694503784,87.0694503784,1
41,111,16,0.01,0,0.75,none,88.4810791016,0,88.4810791016,88.4810791016,87.1259155273,0,87.1259155273,87.1259155273,1
42,49,4,0.001,0,0.25,none,88.4246139526,0,88.4246139526,88.4246139526,87.351776123,0,87.351776123,87.351776123,1
43,50,4,0.001,0,0.5,none,88.4246139526,0,88.4246139526,88.4246139526,87.408241272,0,87.408241272,87.408241272,1
44,52,4,0.001,0.0001,0.25,none,88.4246139526,0,88.4246139526,88.4246139526,87.351776123,0,87.351776123,87.351776123,1
45,56,4,0.001,0.001,0.5,none,88.4246139526,0,88.4246139526,88.4246139526,87.5776443481,0,87.5776443481,87.5776443481,1
46,95,8,0.001,0.01,0.5,none,88.4246139526,0,88.4246139526,88.4246139526,86.9565200806,0,86.9565200806,86.9565200806,1
47,53,4,0.001,0.0001,0.5,none,88.3681564331,0,88.3681564331,88.3681564331,87.408241272,0,87.408241272,87.408241272,1
48,116,16,0.01,0.001,0.5,none,88.3681564331,0,88.3681564331,88.3681564331,87.0694503784,0,87.0694503784,87.0694503784,1
49,123,16,0.001,0,0.75,none,88.3681564331,0,88.3681564331,88.3681564331,86.9565200806,0,86.9565200806,86.9565200806,1
50,129,16,0.001,0.001,0.75,none,88.3681564331,0,88.3681564331,88.3681564331,87.0694503784,0,87.0694503784,87.0694503784,1
51,10,2,0.01,0.01,0.25,none,88.3116836548,0,88.3116836548,88.3116836548,86.6741943359,0,86.6741943359,86.6741943359,1
52,112,16,0.01,0.0001,0.25,none,88.3116836548,0,88.3116836548,88.3116836548,87.1259155273,0,87.1259155273,87.1259155273,1
53,124,16,0.001,0.0001,0.25,none,88.3116836548,0,88.3116836548,88.3116836548,86.9000549316,0,86.9000549316,86.9000549316,1
54,126,16,0.001,0.0001,0.75,none,88.3116836548,0,88.3116836548,88.3116836548,86.9565200806,0,86.9565200806,86.9565200806,1
55,128,16,0.001,0.001,0.5,none,88.3116836548,0,88.3116836548,88.3116836548,86.7871246338,0,86.7871246338,86.7871246338,1
56,121,16,0.001,0,0.25,none,88.2552185059,0,88.2552185059,88.2552185059,86.8435897827,0,86.8435897827,86.8435897827,1
57,122,16,0.001,0,0.5,none,88.2552185059,0,88.2552185059,88.2552185059,86.9565200806,0,86.9565200806,86.9565200806,1
58,125,16,0.001,0.0001,0.5,none,88.2552185059,0,88.2552185059,88.2552185059,87.0129852295,0,87.0129852295,87.0129852295,1
59,148,32,0.01,0.0001,0.25,none,88.2552185059,0,88.2552185059,88.2552185059,86.2224731445,0,86.2224731445,86.2224731445,1
60,151,32,0.01,0.001,0.25,none,88.2552185059,0,88.2552185059,88.2552185059,86.2789382935,0,86.2789382935,86.2789382935,1
61,23,2,0.001,0.01,0.5,none,88.1987609863,0,88.1987609863,88.1987609863,87.1823806763,0,87.1823806763,87.1823806763,1
62,109,16,0.01,0,0.25,none,88.1987609863,0,88.1987609863,88.1987609863,86.8435897827,0,86.8435897827,86.8435897827,1
63,127,16,0.001,0.001,0.25,none,88.1987609863,0,88.1987609863,88.1987609863,86.8435897827,0,86.8435897827,86.8435897827,1
64,145,32,0.01,0,0.25,none,88.1422958374,0,88.1422958374,88.1422958374,85.9401473999,0,85.9401473999,85.9401473999,1
65,117,16,0.01,0.001,0.75,none,88.0858230591,0,88.0858230591,88.0858230591,87.0694503784,0,87.0694503784,87.0694503784,1
66,149,32,0.01,0.0001,0.5,none,88.0858230591,0,88.0858230591,88.0858230591,86.5047988892,0,86.5047988892,86.5047988892,1
67,152,32,0.01,0.001,0.5,none,88.0858230591,0,88.0858230591,88.0858230591,86.0530700684,0,86.0530700684,86.0530700684,1
68,21,2,0.001,0.001,0.75,none,88.0293579102,0,88.0293579102,88.0293579102,86.6741943359,0,86.6741943359,86.6741943359,1
69,147,32,0.01,0,0.75,none,88.0293579102,0,88.0293579102,88.0293579102,86.9000549316,0,86.9000549316,86.9000549316,1
70,150,32,0.01,0.0001,0.75,none,88.0293579102,0,88.0293579102,88.0293579102,86.6741943359,0,86.6741943359,86.6741943359,1
71,18,2,0.001,0.0001,0.75,none,87.9729003906,0,87.9729003906,87.9729003906,86.8435897827,0,86.8435897827,86.8435897827,1
72,45,4,0.01,0.001,0.75,none,87.9729003906,0,87.9729003906,87.9729003906,87.5776443481,0,87.5776443481,87.5776443481,1
73,146,32,0.01,0,0.5,none,87.9729003906,0,87.9729003906,87.9729003906,86.5047988892,0,86.5047988892,86.5047988892,1
