rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,46,4,0.01,0.01,0.25,none,51.9798088074,0,51.9798088074,51.9798088074,51.7092475891,0,51.7092475891,51.7092475891,1
2,10,2,0.01,0.01,0.25,none,51.8705444336,0,51.8705444336,51.8705444336,51.9381866455,0,51.9381866455,51.9381866455,1
3,82,8,0.01,0.01,0.25,none,51.6051826477,0,51.6051826477,51.6051826477,51.3658332825,0,51.3658332825,51.3658332825,1
4,47,4,0.01,0.01,0.5,none,51.3710365295,0,51.3710365295,51.3710365295,51.3450202942,0,51.3450202942,51.3450202942,1
5,11,2,0.01,0.01,0.5,none,51.3606300354,0,51.3606300354,51.3606300354,51.5895729065,0,51.5895729065,51.5895729065,1
6,83,8,0.01,0.01,0.5,none,50.80909729,0,50.80909729,50.80909729,50.6269798279,0,50.6269798279,50.6269798279,1
7,118,16,0.01,0.01,0.25,none,50.4448699951,0,50.4448699951,50.4448699951,50.3043823242,0,50.3043823242,50.3043823242,1
8,48,4,0.01,0.01,0.75,none,49.9037399292,0,49.9037399292,49.9037399292,49.4250488281,0,49.4250488281,49.4250488281,1
9,119,16,0.01,0.01,0.5,none,49.341796875,0,49.341796875,49.341796875,49.2533416748,0,49.2533416748,49.2533416748,1
10,8,2,0.01,0.001,0.5,none,49.2481384277,0,49.2481384277,49.2481384277,49.1128578186,0,49.1128578186,49.1128578186,1
11,5,2,0.01,0.0001,0.5,none,49.1544799805,0,49.1544799805,49.1544799805,48.9255447388,0,48.9255447388,48.9255447388,1
12,12,2,0.01,0.01,0.75,none,49.1440734863,0,49.1440734863,49.1440734863,49.2377357483,0,49.2377357483,49.2377357483,1
13,84,8,0.01,0.01,0.75,none,49.0972442627,0,49.0972442627,49.0972442627,48.8422889709,0,48.8422889709,48.8422889709,1
14,2,2,0.01,0,0.5,none,49.0608253479,0,49.0608253479,49.0608253479,49.1336708069,0,49.1336708069,49.1336708069,1
15,22,2,0.001,0.01,0.25,none,48.6913986206,0,48.6913986206,48.6913986206,48.8266830444,0,48.8266830444,48.8266830444,1
16,58,4,0.001,0.01,0.25,none,48.2023010254,0,48.2023010254,48.2023010254,48.4780654907,0,48.4780654907,48.4780654907,1
17,23,2,0.001,0.01,0.5,none,47.9421424866,0,47.9421424866,47.9421424866,48.0357971191,0,48.0357971191,48.0357971191,1
18,59,4,0.001,0.01,0.5,none,47.749622345,0,47.749622345,47.749622345,47.7079963684,0,47.7079963684,47.7079963684,1
19,155,32,0.01,0.01,0.5,none,47.6715736389,0,47.6715736389,47.6715736389,47.2657279968,0,47.2657279968,47.2657279968,1
20,75,8,0.01,0,0.75,none,47.5154800415,0,47.5154800415,47.5154800415,47.5727157593,0,47.5727157593,47.5727157593,1
21,39,4,0.01,0,0.75,none,47.4894599915,0,47.4894599915,47.4894599915,47.4374313354,0,47.4374313354,47.4374313354,1
22,120,16,0.01,0.01,0.75,none,47.4634475708,0,47.4634475708,47.4634475708,47.1044273376,0,47.1044273376,47.1044273376,1
