rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,88,8,0.001,0.0001,0.25,none,76.7135162354,0,76.7135162354,76.7135162354,77.5413894653,0,77.5413894653,77.5413894653,1
2,112,16,0.01,0.0001,0.25,none,76.6750106812,0,76.6750106812,76.6750106812,77.5895233154,0,77.5895233154,77.5895233154,1
3,89,8,0.001,0.0001,0.5,none,76.6076278687,0,76.6076278687,76.6076278687,77.435508728,0,77.435508728,77.435508728,1
4,109,16,0.01,0,0.25,none,76.5979995728,0,76.5979995728,76.5979995728,77.3584899902,0,77.3584899902,77.3584899902,1
5,113,16,0.01,0.0001,0.5,none,76.5979995728,0,76.5979995728,76.5979995728,77.3488616943,0,77.3488616943,77.3488616943,1
6,79,8,0.01,0.001,0.25,none,76.5498657227,0,76.5498657227,76.5498657227,77.1948394775,0,77.1948394775,77.1948394775,1
7,80,8,0.01,0.001,0.5,none,76.5402374268,0,76.5402374268,76.5402374268,77.1563339233,0,77.1563339233,77.1563339233,1
8,43,4,0.01,0.001,0.25,none,76.4921035767,0,76.4921035767,76.4921035767,77.1659622192,0,77.1659622192,77.1659622192,1
9,124,16,0.001,0.0001,0.25,none,76.3765869141,0,76.3765869141,76.3765869141,77.1755905151,0,77.1755905151,77.1755905151,1
10,86,8,0.001,0,0.5,none,76.3669586182,0,76.3669586182,76.3669586182,77.3103561401,0,77.3103561401,77.3103561401,1
11,85,8,0.001,0,0.25,none,76.3573379517,0,76.3573379517,76.3573379517,77.3488616943,0,77.3488616943,77.3488616943,1
12,87,8,0.001,0,0.75,none,76.3573379517,0,76.3573379517,76.3573379517,77.1659622192,0,77.1659622192,77.1659622192,1
13,110,16,0.01,0,0.5,none,76.2995758057,0,76.2995758057,76.2995758057,77.1659622192,0,77.1659622192,77.1659622192,1
14,78,8,0.01,0.0001,0.75,none,76.2418136597,0,76.2418136597,76.2418136597,77.1563339233,0,77.1563339233,77.1563339233,1
15,52,4,0.001,0.0001,0.25,none,76.193687439,0,76.193687439,76.193687439,77.069694519,0,77.069694519,77.069694519,1
16,114,16,0.01,0.0001,0.75,none,76.1551818848,0,76.1551818848,76.1551818848,76.9252929688,0,76.9252929688,76.9252929688,1
17,121,16,0.001,0,0.25,none,76.1070480347,0,76.1070480347,76.1070480347,76.8482894897,0,76.8482894897,76.8482894897,1
18,75,8,0.01,0,0.75,none,76.0974197388,0,76.0974197388,76.0974197388,76.9541778564,0,76.9541778564,76.9541778564,1
19,148,32,0.01,0.0001,0.25,none,76.0877914429,0,76.0877914429,76.0877914429,76.5979995728,0,76.5979995728,76.5979995728,1
20,7,2,0.01,0.001,0.25,none,76.078163147,0,76.078163147,76.078163147,76.8001556396,0,76.8001556396,76.8001556396,1
21,49,4,0.001,0,0.25,none,76.0492858887,0,76.0492858887,76.0492858887,76.8386611938,0,76.8386611938,76.8386611938,1
22,77,8,0.01,0.0001,0.5,none,76.0204086304,0,76.0204086304,76.0204086304,76.9734344482,0,76.9734344482,76.9734344482,1
23,53,4,0.001,0.0001,0.5,none,76.0107803345,0,76.0107803345,76.0107803345,76.8964157104,0,76.8964157104,76.8964157104,1
24,111,16,0.01,0,0.75,none,76.0011520386,0,76.0011520386,76.0011520386,76.9830551147,0,76.9830551147,76.9830551147,1
25,115,16,0.01,0.001,0.25,none,75.9819030762,0,75.9819030762,75.9819030762,76.5883712769,0,76.5883712769,76.5883712769,1
26,76,8,0.01,0.0001,0.25,none,75.943397522,0,75.943397522,75.943397522,76.9252929688,0,76.9252929688,76.9252929688,1
27,50,4,0.001,0,0.5,none,75.9048843384,0,75.9048843384,75.9048843384,76.8001556396,0,76.8001556396,76.8001556396,1
28,55,4,0.001,0.001,0.25,none,75.7990036011,0,75.7990036011,75.7990036011,76.2995758057,0,76.2995758057,76.2995758057,1
29,54,4,0.001,0.0001,0.75,none,75.7701187134,0,75.7701187134,75.7701187134,76.6461334229,0,76.6461334229,76.6461334229,1
30,44,4,0.01,0.001,0.5,none,75.7412338257,0,75.7412338257,75.7412338257,76.2610702515,0,76.2610702515,76.2610702515,1
31,74,8,0.01,0,0.5,none,75.7316131592,0,75.7316131592,75.7316131592,76.7905273438,0,76.7905273438,76.7905273438,1
32,91,8,0.001,0.001,0.25,none,75.7219848633,0,75.7219848633,75.7219848633,76.4728546143,0,76.4728546143,76.4728546143,1
33,116,16,0.01,0.001,0.5,none,75.7219848633,0,75.7219848633,75.7219848633,76.3765869141,0,76.3765869141,76.3765869141,1
34,16,2,0.001,0.0001,0.25,none,75.6738510132,0,75.6738510132,75.6738510132,76.5017318726,0,76.5017318726,76.5017318726,1
35,56,4,0.001,0.001,0.5,none,75.577583313,0,75.577583313,75.577583313,76.0589141846,0,76.0589141846,76.0589141846,1
36,51,4,0.001,0,0.75,none,75.5679626465,0,75.5679626465,75.5679626465,76.2706985474,0,76.2706985474,76.2706985474,1
37,19,2,0.001,0.001,0.25,none,75.500579834,0,75.500579834,75.500579834,75.9722747803,0,75.9722747803,75.9722747803,1
38,73,8,0.01,0,0.25,none,75.500579834,0,75.500579834,75.500579834,76.4728546143,0,76.4728546143,76.4728546143,1
39,149,32,0.01,0.0001,0.5,none,75.4813232422,0,75.4813232422,75.4813232422,75.8278808594,0,75.8278808594,75.8278808594,1
40,92,8,0.001,0.001,0.5,none,75.4620742798,0,75.4620742798,75.4620742798,76.2129364014,0,76.2129364014,76.2129364014,1
41,17,2,0.001,0.0001,0.5,none,75.3465499878,0,75.3465499878,75.3465499878,76.1551818848,0,76.1551818848,76.1551818848,1
42,150,32,0.01,0.0001,0.75,none,75.3465499878,0,75.3465499878,75.3465499878,75.8278808594,0,75.8278808594,75.8278808594,1
43,145,32,0.01,0,0.25,none,75.2887954712,0,75.2887954712,75.2887954712,75.8663864136,0,75.8663864136,75.8663864136,1
