rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,152,32,0.01,0.001,0.5,none,71.2740402222,0,71.2740402222,71.2740402222,71.2740402222,0,71.2740402222,71.2740402222,1
2,82,8,0.01,0.01,0.25,none,71.1538467407,0,71.1538467407,71.1538467407,71.9951934814,0,71.9951934814,71.9951934814,1
3,116,16,0.01,0.001,0.5,none,71.1538467407,0,71.1538467407,71.1538467407,70.1923141479,0,70.1923141479,70.1923141479,1
4,126,16,0.001,0.0001,0.75,none,71.1538467407,0,71.1538467407,71.1538467407,70.3125,0,70.3125,70.3125,1
5,46,4,0.01,0.01,0.25,none,71.0336532593,0,71.0336532593,71.0336532593,71.875,0,71.875,71.875,1
6,123,16,0.001,0,0.75,none,71.0336532593,0,71.0336532593,71.0336532593,70.4326934814,0,70.4326934814,70.4326934814,1
7,189,64,0.01,0.001,0.75,none,71.0336532593,0,71.0336532593,71.0336532593,71.9951934814,0,71.9951934814,71.9951934814,1
8,83,8,0.01,0.01,0.5,none,70.9134674072,0,70.9134674072,70.9134674072,71.875,0,71.875,71.875,1
9,115,16,0.01,0.001,0.25,none,70.7932739258,0,70.7932739258,70.7932739258,71.875,0,71.875,71.875,1
10,84,8,0.01,0.01,0.75,none,70.6730804443,0,70.6730804443,70.6730804443,71.875,0,71.875,71.875,1
11,80,8,0.01,0.001,0.5,none,70.5528869629,0,70.5528869629,70.5528869629,72.2355804443,0,72.2355804443,72.2355804443,1
12,151,32,0.01,0.001,0.25,none,70.5528869629,0,70.5528869629,70.5528869629,71.0336532593,0,71.0336532593,71.0336532593,1
13,79,8,0.01,0.001,0.25,none,70.4326934814,0,70.4326934814,70.4326934814,71.875,0,71.875,71.875,1
14,118,16,0.01,0.01,0.25,none,70.4326934814,0,70.4326934814,70.4326934814,70.1923141479,0,70.1923141479,70.1923141479,1
15,47,4,0.01,0.01,0.5,none,70.3125,0,70.3125,70.3125,71.2740402222,0,71.2740402222,71.2740402222,1
16,48,4,0.01,0.01,0.75,none,70.3125,0,70.3125,70.3125,70.3125,0,70.3125,70.3125,1
17,119,16,0.01,0.01,0.5,none,70.3125,0,70.3125,70.3125,71.5144271851,0,71.5144271851,71.5144271851,1
18,10,2,0.01,0.01,0.25,none,70.1923141479,0,70.1923141479,70.1923141479,71.2740402222,0,71.2740402222,71.2740402222,1
19,90,8,0.001,0.0001,0.75,none,70.1923141479,0,70.1923141479,70.1923141479,70.0721206665,0,70.0721206665,70.0721206665,1
20,162,32,0.001,0.0001,0.75,none,70.1923141479,0,70.1923141479,70.1923141479,71.0336532593,0,71.0336532593,71.0336532593,1
