rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,187,64,0.01,0.001,0.25,none,89.4974594116,0,89.4974594116,89.4974594116,87.9164276123,0,87.9164276123,87.9164276123,1
2,181,64,0.01,0,0.25,none,89.4409866333,0,89.4409866333,89.4409866333,88.0858230591,0,88.0858230591,88.0858230591,1
3,184,64,0.01,0.0001,0.25,none,89.4409866333,0,89.4409866333,89.4409866333,88.3116836548,0,88.3116836548,88.3116836548,1
4,185,64,0.01,0.0001,0.5,none,89.4409866333,0,89.4409866333,89.4409866333,88.3116836548,0,88.3116836548,88.3116836548,1
5,188,64,0.01,0.001,0.5,none,89.3845291138,0,89.3845291138,89.3845291138,88.1422958374,0,88.1422958374,88.1422958374,1
6,48,4,0.01,0.01,0.75,none,89.3280639648,0,89.3280639648,89.3280639648,87.8599624634,0,87.8599624634,87.8599624634,1
7,123,16,0.001,0,0.75,none,89.3280639648,0,89.3280639648,89.3280639648,88.0293579102,0,88.0293579102,88.0293579102,1
8,126,16,0.001,0.0001,0.75,none,89.3280639648,0,89.3280639648,89.3280639648,88.1987609863,0,88.1987609863,88.1987609863,1
9,148,32,0.01,0.0001,0.25,none,89.3280639648,0,89.3280639648,89.3280639648,88.1422958374,0,88.1422958374,88.1422958374,1
10,46,4,0.01,0.01,0.25,none,89.2715988159,0,89.2715988159,89.2715988159,88.1422958374,0,88.1422958374,88.1422958374,1
11,121,16,0.001,0,0.25,none,89.2715988159,0,89.2715988159,89.2715988159,88.1422958374,0,88.1422958374,88.1422958374,1
12,157,32,0.001,0,0.25,none,89.2715988159,0,89.2715988159,89.2715988159,88.1422958374,0,88.1422958374,88.1422958374,1
13,122,16,0.001,0,0.5,none,89.2151260376,0,89.2151260376,89.2151260376,87.9729003906,0,87.9729003906,87.9729003906,1
14,124,16,0.001,0.0001,0.25,none,89.2151260376,0,89.2151260376,89.2151260376,87.9729003906,0,87.9729003906,87.9729003906,1
15,145,32,0.01,0,0.25,none,89.2151260376,0,89.2151260376,89.2151260376,87.8034973145,0,87.8034973145,87.8034973145,1
16,151,32,0.01,0.001,0.25,none,89.2151260376,0,89.2151260376,89.2151260376,87.8599624634,0,87.8599624634,87.8599624634,1
17,152,32,0.01,0.001,0.5,none,89.2151260376,0,89.2151260376,89.2151260376,88.0293579102,0,88.0293579102,88.0293579102,1
18,183,64,0.01,0,0.75,none,89.2151260376,0,89.2151260376,89.2151260376,88.3116836548,0,88.3116836548,88.3116836548,1
19,186,64,0.01,0.0001,0.75,none,89.2151260376,0,89.2151260376,89.2151260376,88.0293579102,0,88.0293579102,88.0293579102,1
20,114,16,0.01,0.0001,0.75,none,89.1586685181,0,89.1586685181,89.1586685181,87.9729003906,0,87.9729003906,87.9729003906,1
21,116,16,0.01,0.001,0.5,none,89.1586685181,0,89.1586685181,89.1586685181,87.8034973145,0,87.8034973145,87.8034973145,1
22,125,16,0.001,0.0001,0.5,none,89.1586685181,0,89.1586685181,89.1586685181,87.9729003906,0,87.9729003906,87.9729003906,1
23,149,32,0.01,0.0001,0.5,none,89.1586685181,0,89.1586685181,89.1586685181,88.1987609863,0,88.1987609863,88.1987609863,1
24,153,32,0.01,0.001,0.75,none,89.1586685181,0,89.1586685181,89.1586685181,88.0293579102,0,88.0293579102,88.0293579102,1
25,160,32,0.001,0.0001,0.25,none,89.1586685181,0,89.1586685181,89.1586685181,88.0293579102,0,88.0293579102,88.0293579102,1
26,161,32,0.001,0.0001,0.5,none,89.1586685181,0,89.1586685181,89.1586685181,87.9164276123,0,87.9164276123,87.9164276123,1
27,182,64,0.01,0,0.5,none,89.1586685181,0,89.1586685181,89.1586685181,88.0858230591,0,88.0858230591,88.0858230591,1
28,189,64,0.01,0.001,0.75,none,89.1586685181,0,89.1586685181,89.1586685181,87.5211715698,0,87.5211715698,87.5211715698,1
29,110,16,0.01,0,0.5,none,89.1022033691,0,89.1022033691,89.1022033691,88.0858230591,0,88.0858230591,88.0858230591,1
30,158,32,0.001,0,0.5,none,89.1022033691,0,89.1022033691,89.1022033691,87.9164276123,0,87.9164276123,87.9164276123,1
31,83,8,0.01,0.01,0.5,none,89.0457305908,0,89.0457305908,89.0457305908,87.9164276123,0,87.9164276123,87.9164276123,1
32,84,8,0.01,0.01,0.75,none,89.0457305908,0,89.0457305908,89.0457305908,87.8599624634,0,87.8599624634,87.8599624634,1
33,111,16,0.01,0,0.75,none,89.0457305908,0,89.0457305908,89.0457305908,88.0858230591,0,88.0858230591,88.0858230591,1
34,113,16,0.01,0.0001,0.5,none,89.0457305908,0,89.0457305908,89.0457305908,87.9164276123,0,87.9164276123,87.9164276123,1
35,117,16,0.01,0.001,0.75,none,89.0457305908,0,89.0457305908,89.0457305908,87.9729003906,0,87.9729003906,87.9729003906,1
36,127,16,0.001,0.001,0.25,none,89.0457305908,0,89.0457305908,89.0457305908,87.9729003906,0,87.9729003906,87.9729003906,1
37,150,32,0.01,0.0001,0.75,none,89.0457305908,0,89.0457305908,89.0457305908,87.9164276123,0,87.9164276123,87.9164276123,1
38,162,32,0.001,0.0001,0.75,none,89.0457305908,0,89.0457305908,89.0457305908,87.7470321655,0,87.7470321655,87.7470321655,1
