rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,73,8,0.01,0,0.25,none,66.3383407593,0,66.3383407593,66.3383407593,65.8281402588,0,65.8281402588,65.8281402588,1
2,37,4,0.01,0,0.25,none,66.3312530518,0,66.3312530518,66.3312530518,65.8966369629,0,65.8966369629,65.8966369629,1
3,1,2,0.01,0,0.25,none,65.7808990479,0,65.7808990479,65.7808990479,65.5494155884,0,65.5494155884,65.5494155884,1
4,38,4,0.01,0,0.5,none,65.6320877075,0,65.6320877075,65.6320877075,65.0061416626,0,65.0061416626,65.0061416626,1
5,74,8,0.01,0,0.5,none,65.5210723877,0,65.5210723877,65.5210723877,64.9400024414,0,64.9400024414,64.9400024414,1
6,109,16,0.01,0,0.25,none,65.1360549927,0,65.1360549927,65.1360549927,64.7770233154,0,64.7770233154,64.7770233154,1
7,2,2,0.01,0,0.5,none,65.1218795776,0,65.1218795776,65.1218795776,64.6164093018,0,64.6164093018,64.6164093018,1
8,110,16,0.01,0,0.5,none,64.2243041992,0,64.2243041992,64.2243041992,63.9361305237,0,63.9361305237,63.9361305237,1
9,75,8,0.01,0,0.75,none,63.3574256897,0,63.3574256897,63.3574256897,62.8732070923,0,62.8732070923,62.8732070923,1
10,39,4,0.01,0,0.75,none,63.2440490723,0,63.2440490723,63.2440490723,62.7787246704,0,62.7787246704,62.7787246704,1
11,3,2,0.01,0,0.75,none,62.8212394714,0,62.8212394714,62.8212394714,62.3441047668,0,62.3441047668,62.3441047668,1
12,145,32,0.01,0,0.25,none,62.4905509949,0,62.4905509949,62.4905509949,62.4787445068,0,62.4787445068,62.4787445068,1
13,111,16,0.01,0,0.75,none,62.086643219,0,62.086643219,62.086643219,61.9331054688,0,61.9331054688,61.9331054688,1
14,146,32,0.01,0,0.5,none,61.0307998657,0,61.0307998657,61.0307998657,61.0449714661,0,61.0449714661,61.0449714661,1
15,147,32,0.01,0,0.75,none,58.1231117249,0,58.1231117249,58.1231117249,57.9294204712,0,57.9294204712,57.9294204712,1
16,181,64,0.01,0,0.25,none,53.5289115906,0,53.5289115906,53.5289115906,53.2549133301,0,53.2549133301,53.2549133301,1
17,182,64,0.01,0,0.5,none,52.5675544739,0,52.5675544739,52.5675544739,52.4187431335,0,52.4187431335,52.4187431335,1
18,183,64,0.01,0,0.75,none,50.0661392212,0,50.0661392212,50.0661392212,49.6504173279,0,49.6504173279,49.6504173279,1
19,55,4,0.001,0.001,0.25,none,18.6059150696,0,18.6059150696,18.6059150696,18.5114326477,0,18.5114326477,18.5114326477,1
20,19,2,0.001,0.001,0.25,none,18.5657596588,0,18.5657596588,18.5657596588,18.5043468475,0,18.5043468475,18.5043468475,1
21,91,8,0.001,0.001,0.25,none,18.5161552429,0,18.5161552429,18.5161552429,18.3767967224,0,18.3767967224,18.3767967224,1
22,56,4,0.001,0.001,0.5,none,18.4382095337,0,18.4382095337,18.4382095337,18.2964859009,0,18.2964859009,18.2964859009,1
23,92,8,0.001,0.001,0.5,none,18.4287605286,0,18.4287605286,18.4287605286,18.2516059875,0,18.2516059875,18.2516059875,1
24,20,2,0.001,0.001,0.5,none,18.3767967224,0,18.3767967224,18.3767967224,18.2610549927,0,18.2610549927,18.2610549927,1
25,128,16,0.001,0.001,0.5,none,18.3319168091,0,18.3319168091,18.3319168091,18.1500377655,0,18.1500377655,18.1500377655,1
26,62,4,0.0001,0,0.5,none,18.2846755981,0,18.2846755981,18.2846755981,18.1949176788,0,18.1949176788,18.1949176788,1
27,29,2,0.0001,0.0001,0.5,none,18.2775878906,0,18.2775878906,18.2775878906,18.1547622681,0,18.1547622681,18.1547622681,1
28,98,8,0.0001,0,0.5,none,18.2279853821,0,18.2279853821,18.2279853821,17.9988670349,0,17.9988670349,17.9988670349,1
29,127,16,0.001,0.001,0.25,none,18.2232627869,0,18.2232627869,18.2232627869,18.0413818359,0,18.0413818359,18.0413818359,1
30,27,2,0.0001,0,0.75,none,18.2138137817,0,18.2138137817,18.2138137817,18.0909881592,0,18.0909881592,18.0909881592,1
31,63,4,0.0001,0,0.75,none,18.2138137817,0,18.2138137817,18.2138137817,18.069726944,0,18.069726944,18.069726944,1
32,66,4,0.0001,0.0001,0.75,none,18.173658371,0,18.173658371,18.173658371,17.9846935272,0,17.9846935272,17.9846935272,1
33,99,8,0.0001,0,0.75,none,18.1594867706,0,18.1594867706,18.1594867706,17.9209194183,0,17.9209194183,17.9209194183,1
34,30,2,0.0001,0.0001,0.75,none,18.1547622681,0,18.1547622681,18.1547622681,18.024848938,0,18.024848938,18.024848938,1
35,164,32,0.001,0.001,0.5,none,18.1453132629,0,18.1453132629,18.1453132629,17.8713150024,0,17.8713150024,17.8713150024,1
36,102,8,0.0001,0.0001,0.75,none,18.0862617493,0,18.0862617493,18.0862617493,17.8382472992,0,17.8382472992,17.8382472992,1
37,97,8,0.0001,0,0.25,none,18.0815391541,0,18.0815391541,18.0815391541,18.0886230469,0,18.0886230469,18.0886230469,1
38,135,16,0.0001,0,0.75,none,18.0083141327,0,18.0083141327,18.0083141327,17.7697467804,0,17.7697467804,17.7697467804,1
39,69,4,0.0001,0.001,0.75,none,18.0012283325,0,18.0012283325,18.0012283325,17.8689537048,0,17.8689537048,17.8689537048,1
