rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,110,16,0.01,0,0.5,none,68.6791381836,0,68.6791381836,68.6791381836,68.6318969727,0,68.6318969727,68.6318969727,1
2,145,32,0.01,0,0.25,none,68.6295394897,0,68.6295394897,68.6295394897,68.4783630371,0,68.4783630371,68.4783630371,1
3,109,16,0.01,0,0.25,none,68.6082763672,0,68.6082763672,68.6082763672,68.5303268433,0,68.5303268433,68.5303268433,1
4,76,8,0.01,0.0001,0.25,none,68.5492248535,0,68.5492248535,68.5492248535,68.3744277954,0,68.3744277954,68.3744277954,1
5,146,32,0.01,0,0.5,none,68.4996261597,0,68.4996261597,68.4996261597,68.5539474487,0,68.5539474487,68.5539474487,1
6,74,8,0.01,0,0.5,none,68.4712753296,0,68.4712753296,68.4712753296,68.3460922241,0,68.3460922241,68.3460922241,1
7,181,64,0.01,0,0.25,none,68.4523849487,0,68.4523849487,68.4523849487,68.2468795776,0,68.2468795776,68.2468795776,1
8,73,8,0.01,0,0.25,none,68.4334869385,0,68.4334869385,68.4334869385,68.3106613159,0,68.3106613159,68.3106613159,1
9,112,16,0.01,0.0001,0.25,none,68.2161712646,0,68.2161712646,68.2161712646,68.024848938,0,68.024848938,68.024848938,1
10,182,64,0.01,0,0.5,none,68.1760177612,0,68.1760177612,68.1760177612,67.9468994141,0,67.9468994141,67.9468994141,1
11,40,4,0.01,0.0001,0.25,none,68.171295166,0,68.171295166,68.171295166,67.8878479004,0,67.8878479004,67.8878479004,1
12,75,8,0.01,0,0.75,none,68.1476745605,0,68.1476745605,68.1476745605,68.1736602783,0,68.1736602783,68.1736602783,1
13,38,4,0.01,0,0.5,none,68.0697250366,0,68.0697250366,68.0697250366,67.861869812,0,67.861869812,67.861869812,1
14,2,2,0.01,0,0.5,none,68.0342941284,0,68.0342941284,68.0342941284,67.9185562134,0,67.9185562134,67.9185562134,1
15,111,16,0.01,0,0.75,none,68.0177612305,0,68.0177612305,68.0177612305,67.8949356079,0,67.8949356079,67.8949356079,1
16,77,8,0.01,0.0001,0.5,none,67.9185562134,0,67.9185562134,67.9185562134,67.7933654785,0,67.7933654785,67.7933654785,1
17,147,32,0.01,0,0.75,none,67.9091110229,0,67.9091110229,67.9091110229,67.6610946655,0,67.6610946655,67.6610946655,1
18,37,4,0.01,0,0.25,none,67.7768325806,0,67.7768325806,67.7768325806,67.5807800293,0,67.5807800293,67.5807800293,1
19,113,16,0.01,0.0001,0.5,none,67.7744750977,0,67.7744750977,67.7744750977,67.4343338013,0,67.4343338013,67.4343338013,1
