rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,7,2,0.01,0.001,0.25,none,51.7404632568,0,51.7404632568,51.7404632568,51.0120201111,0,51.0120201111,51.0120201111,1
2,19,2,0.001,0.001,0.25,none,51.6207923889,0,51.6207923889,51.6207923889,50.9547843933,0,50.9547843933,50.9547843933,1
3,8,2,0.01,0.001,0.5,none,51.6051826477,0,51.6051826477,51.6051826477,50.7882843018,0,50.7882843018,50.7882843018,1
4,43,4,0.01,0.001,0.25,none,51.5947761536,0,51.5947761536,51.5947761536,51.1368942261,0,51.1368942261,51.1368942261,1
5,44,4,0.01,0.001,0.5,none,51.3970565796,0,51.3970565796,51.3970565796,50.6894226074,0,50.6894226074,50.6894226074,1
6,6,2,0.01,0.0001,0.75,none,51.3502235413,0,51.3502235413,51.3502235413,50.9235610962,0,50.9235610962,50.9235610962,1
7,20,2,0.001,0.001,0.5,none,51.3502235413,0,51.3502235413,51.3502235413,50.6738128662,0,50.6738128662,50.6738128662,1
8,3,2,0.01,0,0.75,none,51.3346138,0,51.3346138,51.3346138,50.8403129578,0,50.8403129578,50.8403129578,1
9,55,4,0.001,0.001,0.25,none,51.3242111206,0,51.3242111206,51.3242111206,50.9443740845,0,50.9443740845,50.9443740845,1
10,39,4,0.01,0,0.75,none,51.1681137085,0,51.1681137085,51.1681137085,50.6165733337,0,50.6165733337,50.6165733337,1
11,42,4,0.01,0.0001,0.75,none,51.1681137085,0,51.1681137085,51.1681137085,50.5645446777,0,50.5645446777,50.5645446777,1
12,56,4,0.001,0.001,0.5,none,50.8767356873,0,50.8767356873,50.8767356873,50.4656867981,0,50.4656867981,50.4656867981,1
13,15,2,0.001,0,0.75,none,50.6894226074,0,50.6894226074,50.6894226074,50.3980407715,0,50.3980407715,50.3980407715,1
14,51,4,0.001,0,0.75,none,50.6634063721,0,50.6634063721,50.6634063721,50.2263374329,0,50.2263374329,50.2263374329,1
15,18,2,0.001,0.0001,0.75,none,50.658203125,0,50.658203125,50.658203125,50.3512153625,0,50.3512153625,50.3512153625,1
16,54,4,0.001,0.0001,0.75,none,50.6269798279,0,50.6269798279,50.6269798279,50.1951141357,0,50.1951141357,50.1951141357,1
17,17,2,0.001,0.0001,0.5,none,50.6113700867,0,50.6113700867,50.6113700867,50.2159309387,0,50.2159309387,50.2159309387,1
18,5,2,0.01,0.0001,0.5,none,50.585357666,0,50.585357666,50.585357666,50.1743087769,0,50.1743087769,50.1743087769,1
19,52,4,0.001,0.0001,0.25,none,50.5437316895,0,50.5437316895,50.5437316895,50.3772315979,0,50.3772315979,50.3772315979,1
20,9,2,0.01,0.001,0.75,none,50.5021018982,0,50.5021018982,50.5021018982,50.0754470825,0,50.0754470825,50.0754470825,1
21,14,2,0.001,0,0.5,none,50.4969062805,0,50.4969062805,50.4969062805,50.236743927,0,50.236743927,50.236743927,1
22,53,4,0.001,0.0001,0.5,none,50.4604797363,0,50.4604797363,50.4604797363,50.1899185181,0,50.1899185181,50.1899185181,1
23,78,8,0.01,0.0001,0.75,none,50.4240570068,0,50.4240570068,50.4240570068,50.3460121155,0,50.3460121155,50.3460121155,1
24,50,4,0.001,0,0.5,none,50.4188537598,0,50.4188537598,50.4188537598,50.2159309387,0,50.2159309387,50.2159309387,1
25,49,4,0.001,0,0.25,none,50.3356056213,0,50.3356056213,50.3356056213,50.236743927,0,50.236743927,50.236743927,1
26,2,2,0.01,0,0.5,none,50.3199920654,0,50.3199920654,50.3199920654,50.0546340942,0,50.0546340942,50.0546340942,1
27,45,4,0.01,0.001,0.75,none,50.3043823242,0,50.3043823242,50.3043823242,49.8777236938,0,49.8777236938,49.8777236938,1
28,16,2,0.001,0.0001,0.25,none,50.2523536682,0,50.2523536682,50.2523536682,50.0286178589,0,50.0286178589,50.0286178589,1
29,79,8,0.01,0.001,0.25,none,50.236743927,0,50.236743927,50.236743927,49.8933334351,0,49.8933334351,49.8933334351,1
30,41,4,0.01,0.0001,0.5,none,50.1534957886,0,50.1534957886,50.1534957886,49.9921951294,0,49.9921951294,49.9921951294,1
31,13,2,0.001,0,0.25,none,50.1482887268,0,50.1482887268,50.1482887268,49.8777236938,0,49.8777236938,49.8777236938,1
32,21,2,0.001,0.001,0.75,none,50.1118659973,0,50.1118659973,50.1118659973,49.7580490112,0,49.7580490112,49.7580490112,1
33,80,8,0.01,0.001,0.5,none,50.033821106,0,50.033821106,50.033821106,49.8360977173,0,49.8360977173,49.8360977173,1
34,88,8,0.001,0.0001,0.25,none,49.8048820496,0,49.8048820496,49.8048820496,49.4458580017,0,49.4458580017,49.4458580017,1
35,38,4,0.01,0,0.5,none,49.7944755554,0,49.7944755554,49.7944755554,49.5030937195,0,49.5030937195,49.5030937195,1
36,91,8,0.001,0.001,0.25,none,49.7944755554,0,49.7944755554,49.7944755554,49.7164230347,0,49.7164230347,49.7164230347,1
37,57,4,0.001,0.001,0.75,none,49.7736587524,0,49.7736587524,49.7736587524,49.4198455811,0,49.4198455811,49.4198455811,1
38,89,8,0.001,0.0001,0.5,none,49.6591911316,0,49.6591911316,49.6591911316,49.4198455811,0,49.4198455811,49.4198455811,1
39,86,8,0.001,0,0.5,none,49.5082969666,0,49.5082969666,49.5082969666,49.2013092041,0,49.2013092041,49.2013092041,1
40,85,8,0.001,0,0.25,none,49.5030937195,0,49.5030937195,49.5030937195,49.2793579102,0,49.2793579102,49.2793579102,1
41,77,8,0.01,0.0001,0.5,none,49.4718742371,0,49.4718742371,49.4718742371,49.2793579102,0,49.2793579102,49.2793579102,1
42,90,8,0.001,0.0001,0.75,none,49.46667099,0,49.46667099,49.46667099,49.1544799805,0,49.1544799805,49.1544799805,1
43,87,8,0.001,0,0.75,none,49.4562644958,0,49.4562644958,49.4562644958,49.0556221008,0,49.0556221008,49.0556221008,1
44,92,8,0.001,0.001,0.5,none,49.4042320251,0,49.4042320251,49.4042320251,49.0816383362,0,49.0816383362,49.0816383362,1
45,75,8,0.01,0,0.75,none,49.3365936279,0,49.3365936279,49.3365936279,49.2949676514,0,49.2949676514,49.2949676514,1
46,40,4,0.01,0.0001,0.25,none,49.2845611572,0,49.2845611572,49.2845611572,49.1805000305,0,49.1805000305,49.1805000305,1
47,81,8,0.01,0.001,0.75,none,49.1700935364,0,49.1700935364,49.1700935364,49.0504188538,0,49.0504188538,49.0504188538,1
48,4,2,0.01,0.0001,0.25,none,49.0244026184,0,49.0244026184,49.0244026184,48.7382278442,0,48.7382278442,48.7382278442,1
49,76,8,0.01,0.0001,0.25,none,48.9567604065,0,48.9567604065,48.9567604065,48.6809921265,0,48.6809921265,48.6809921265,1
50,37,4,0.01,0,0.25,none,48.9359474182,0,48.9359474182,48.9359474182,48.7330245972,0,48.7330245972,48.7330245972,1
51,73,8,0.01,0,0.25,none,48.7902565002,0,48.7902565002,48.7902565002,48.3167686462,0,48.3167686462,48.3167686462,1
52,1,2,0.01,0,0.25,none,48.7746505737,0,48.7746505737,48.7746505737,48.4364433289,0,48.4364433289,48.4364433289,1
53,74,8,0.01,0,0.5,none,48.4988822937,0,48.4988822937,48.4988822937,48.1970977783,0,48.1970977783,48.1970977783,1
54,93,8,0.001,0.001,0.75,none,48.0826263428,0,48.0826263428,48.0826263428,47.9837646484,0,47.9837646484,47.9837646484,1
55,115,16,0.01,0.001,0.25,none,48.0722198486,0,48.0722198486,48.0722198486,47.5206832886,0,47.5206832886,47.5206832886,1
56,10,2,0.01,0.01,0.25,none,47.754825592,0,47.754825592,47.754825592,47.3906021118,0,47.3906021118,47.3906021118,1
57,125,16,0.001,0.0001,0.5,none,47.6195411682,0,47.6195411682,47.6195411682,47.3645858765,0,47.3645858765,47.3645858765,1
58,124,16,0.001,0.0001,0.25,none,47.5675125122,0,47.5675125122,47.5675125122,47.2293052673,0,47.2293052673,47.2293052673,1
59,121,16,0.001,0,0.25,none,47.3801956177,0,47.3801956177,47.3801956177,47.0367851257,0,47.0367851257,47.0367851257,1
60,127,16,0.001,0.001,0.25,none,47.3697891235,0,47.3697891235,47.3697891235,46.7974395752,0,46.7974395752,46.7974395752,1
61,113,16,0.01,0.0001,0.5,none,47.3229598999,0,47.3229598999,47.3229598999,46.8494720459,0,46.8494720459,46.8494720459,1
62,116,16,0.01,0.001,0.5,none,47.255317688,0,47.255317688,47.255317688,46.6309356689,0,46.6309356689,46.6309356689,1
63,114,16,0.01,0.0001,0.75,none,47.1616630554,0,47.1616630554,47.1616630554,46.9691467285,0,46.9691467285,46.9691467285,1
64,122,16,0.001,0,0.5,none,47.0628013611,0,47.0628013611,47.0628013611,46.4904518127,0,46.4904518127,46.4904518127,1
65,123,16,0.001,0,0.75,none,46.7714233398,0,46.7714233398,46.7714233398,46.4280128479,0,46.4280128479,46.4280128479,1
66,126,16,0.001,0.0001,0.75,none,46.7714233398,0,46.7714233398,46.7714233398,46.3655738831,0,46.3655738831,46.3655738831,1
67,11,2,0.01,0.01,0.5,none,46.6517524719,0,46.6517524719,46.6517524719,46.3031387329,0,46.3031387329,46.3031387329,1
68,111,16,0.01,0,0.75,none,46.6153259277,0,46.6153259277,46.6153259277,46.0429801941,0,46.0429801941,46.0429801941,1
69,46,4,0.01,0.01,0.25,none,46.6101264954,0,46.6101264954,46.6101264954,45.9076957703,0,45.9076957703,45.9076957703,1
70,128,16,0.001,0.001,0.5,none,46.6049232483,0,46.6049232483,46.6049232483,45.9857444763,0,45.9857444763,45.9857444763,1
71,117,16,0.01,0.001,0.75,none,46.3811836243,0,46.3811836243,46.3811836243,45.7307891846,0,45.7307891846,45.7307891846,1
72,112,16,0.01,0.0001,0.25,none,46.2927322388,0,46.2927322388,46.2927322388,45.7672080994,0,45.7672080994,45.7672080994,1
73,22,2,0.001,0.01,0.25,none,45.9024887085,0,45.9024887085,45.9024887085,45.4342041016,0,45.4342041016,45.4342041016,1
74,109,16,0.01,0,0.25,none,45.6631469727,0,45.6631469727,45.6631469727,45.1688423157,0,45.1688423157,45.1688423157,1
75,110,16,0.01,0,0.5,none,45.6527366638,0,45.6527366638,45.6527366638,45.2000617981,0,45.2000617981,45.2000617981,1
76,47,4,0.01,0.01,0.5,none,45.2520942688,0,45.2520942688,45.2520942688,44.4716148376,0,44.4716148376,44.4716148376,1
77,23,2,0.001,0.01,0.5,none,45.194858551,0,45.194858551,45.194858551,44.424785614,0,44.424785614,44.424785614,1
78,129,16,0.001,0.001,0.75,none,44.8254318237,0,44.8254318237,44.8254318237,44.0293464661,0,44.0293464661,44.0293464661,1
79,151,32,0.01,0.001,0.25,none,44.2895050049,0,44.2895050049,44.2895050049,43.5454483032,0,43.5454483032,43.5454483032,1
80,58,4,0.001,0.01,0.25,none,44.1073913574,0,44.1073913574,44.1073913574,43.4413833618,0,43.4413833618,43.4413833618,1
81,160,32,0.001,0.0001,0.25,none,44.0605621338,0,44.0605621338,44.0605621338,43.4361801147,0,43.4361801147,43.4361801147,1
82,12,2,0.01,0.01,0.75,none,43.9877204895,0,43.9877204895,43.9877204895,43.1031799316,0,43.1031799316,43.1031799316,1
83,148,32,0.01,0.0001,0.25,none,43.7587814331,0,43.7587814331,43.7587814331,43.3373222351,0,43.3373222351,43.3373222351,1
84,82,8,0.01,0.01,0.25,none,43.7119522095,0,43.7119522095,43.7119522095,42.9574890137,0,42.9574890137,42.9574890137,1
85,157,32,0.001,0,0.25,none,43.6547164917,0,43.6547164917,43.6547164917,42.9887084961,0,42.9887084961,42.9887084961,1
86,161,32,0.001,0.0001,0.5,none,43.5454483032,0,43.5454483032,43.5454483032,43.0719566345,0,43.0719566345,43.0719566345,1
87,59,4,0.001,0.01,0.5,none,43.4934158325,0,43.4934158325,43.4934158325,42.7493629456,0,42.7493629456,42.7493629456,1
88,153,32,0.01,0.001,0.75,none,43.4622001648,0,43.4622001648,43.4622001648,42.6817207336,0,42.6817207336,42.6817207336,1
89,24,2,0.001,0.01,0.75,none,43.3529319763,0,43.3529319763,43.3529319763,42.6713142395,0,42.6713142395,42.6713142395,1
90,149,32,0.01,0.0001,0.5,none,43.326915741,0,43.326915741,43.326915741,42.7753791809,0,42.7753791809,42.7753791809,1
91,158,32,0.001,0,0.5,none,43.2956962585,0,43.2956962585,43.2956962585,42.832611084,0,42.832611084,42.832611084,1
92,150,32,0.01,0.0001,0.75,none,43.1135826111,0,43.1135826111,43.1135826111,42.3799362183,0,42.3799362183,42.3799362183,1
93,152,32,0.01,0.001,0.5,none,42.8950500488,0,42.8950500488,42.8950500488,42.4267654419,0,42.4267654419,42.4267654419,1
94,48,4,0.01,0.01,0.75,none,42.832611084,0,42.832611084,42.832611084,42.0781517029,0,42.0781517029,42.0781517029,1
95,159,32,0.001,0,0.75,none,42.8065948486,0,42.8065948486,42.8065948486,42.3435134888,0,42.3435134888,42.3435134888,1
96,146,32,0.01,0,0.5,none,42.7025299072,0,42.7025299072,42.7025299072,42.0885543823,0,42.0885543823,42.0885543823,1
97,83,8,0.01,0.01,0.5,none,42.6192817688,0,42.6192817688,42.6192817688,41.9116516113,0,41.9116516113,41.9116516113,1
98,163,32,0.001,0.001,0.25,none,42.6088752747,0,42.6088752747,42.6088752747,42.2030258179,0,42.2030258179,42.2030258179,1
99,162,32,0.001,0.0001,0.75,none,42.4944076538,0,42.4944076538,42.4944076538,41.9532737732,0,41.9532737732,41.9532737732,1
100,147,32,0.01,0,0.75,none,41.8960380554,0,41.8960380554,41.8960380554,41.4537696838,0,41.4537696838,41.4537696838,1
101,60,4,0.001,0.01,0.75,none,41.8335990906,0,41.8335990906,41.8335990906,41.3080825806,0,41.3080825806,41.3080825806,1
102,145,32,0.01,0,0.25,none,41.7139282227,0,41.7139282227,41.7139282227,41.0895462036,0,41.0895462036,41.0895462036,1
103,164,32,0.001,0.001,0.5,none,41.6931152344,0,41.6931152344,41.6931152344,41.2612495422,0,41.2612495422,41.2612495422,1
104,94,8,0.001,0.01,0.25,none,40.496383667,0,40.496383667,40.496383667,40.2622413635,0,40.2622413635,40.2622413635,1
105,84,8,0.01,0.01,0.75,none,40.1633796692,0,40.1633796692,40.1633796692,39.6222457886,0,39.6222457886,39.6222457886,1
106,184,64,0.01,0.0001,0.25,none,39.8511886597,0,39.8511886597,39.8511886597,39.6066398621,0,39.6066398621,39.6066398621,1
107,165,32,0.001,0.001,0.75,none,39.8407821655,0,39.8407821655,39.8407821655,39.6950912476,0,39.6950912476,39.6950912476,1
108,95,8,0.001,0.01,0.5,none,39.8199691772,0,39.8199691772,39.8199691772,39.528591156,0,39.528591156,39.528591156,1
109,118,16,0.01,0.01,0.25,none,39.7939529419,0,39.7939529419,39.7939529419,39.4453392029,0,39.4453392029,39.4453392029,1
110,196,64,0.001,0.0001,0.25,none,39.0915260315,0,39.0915260315,39.0915260315,38.8573799133,0,38.8573799133,38.8573799133,1
111,119,16,0.01,0.01,0.5,none,39.0030670166,0,39.0030670166,39.0030670166,38.8157539368,0,38.8157539368,38.8157539368,1
112,197,64,0.001,0.0001,0.5,none,38.9770545959,0,38.9770545959,38.9770545959,38.8938026428,0,38.8938026428,38.8938026428,1
113,185,64,0.01,0.0001,0.5,none,38.9666481018,0,38.9666481018,38.9666481018,38.8885993958,0,38.8885993958,38.8885993958,1
114,193,64,0.001,0,0.25,none,38.8417701721,0,38.8417701721,38.8417701721,38.7429084778,0,38.7429084778,38.7429084778,1
115,181,64,0.01,0,0.25,none,38.8261604309,0,38.8261604309,38.8261604309,38.7533149719,0,38.7533149719,38.7533149719,1
116,187,64,0.01,0.001,0.25,none,38.7533149719,0,38.7533149719,38.7533149719,38.4255180359,0,38.4255180359,38.4255180359,1
117,194,64,0.001,0,0.5,none,38.5295791626,0,38.5295791626,38.5295791626,38.2798271179,0,38.2798271179,38.2798271179,1
118,186,64,0.01,0.0001,0.75,none,38.3058433533,0,38.3058433533,38.3058433533,38.1601524353,0,38.1601524353,38.1601524353,1
119,96,8,0.001,0.01,0.75,none,38.3006401062,0,38.3006401062,38.3006401062,38.0508880615,0,38.0508880615,38.0508880615,1
120,182,64,0.01,0,0.5,none,38.1497459412,0,38.1497459412,38.1497459412,38.1809654236,0,38.1809654236,38.1809654236,1
121,195,64,0.001,0,0.75,none,38.0508880615,0,38.0508880615,38.0508880615,37.7751159668,0,37.7751159668,37.7751159668,1
122,199,64,0.001,0.001,0.25,none,37.9260101318,0,37.9260101318,37.9260101318,37.6554450989,0,37.6554450989,37.6554450989,1
123,188,64,0.01,0.001,0.5,none,37.790725708,0,37.790725708,37.790725708,37.717880249,0,37.717880249,37.717880249,1
124,198,64,0.001,0.0001,0.75,none,37.7334938049,0,37.7334938049,37.7334938049,37.6242256165,0,37.6242256165,37.6242256165,1
125,25,2,0.0001,0,0.25,none,37.5253639221,0,37.5253639221,37.5253639221,37.1871604919,0,37.1871604919,37.1871604919,1
126,28,2,0.0001,0.0001,0.25,none,37.514957428,0,37.514957428,37.514957428,37.1819572449,0,37.1819572449,37.1819572449,1
127,31,2,0.0001,0.001,0.25,none,37.3588638306,0,37.3588638306,37.3588638306,37.0622825623,0,37.0622825623,37.0622825623,1
128,200,64,0.001,0.001,0.5,none,37.2339859009,0,37.2339859009,37.2339859009,37.192363739,0,37.192363739,37.192363739,1
129,183,64,0.01,0,0.75,none,37.2131729126,0,37.2131729126,37.2131729126,37.3796768188,0,37.3796768188,37.3796768188,1
130,120,16,0.01,0.01,0.75,none,37.1403312683,0,37.1403312683,37.1403312683,36.8749694824,0,36.8749694824,36.8749694824,1
131,26,2,0.0001,0,0.5,none,37.0102500916,0,37.0102500916,37.0102500916,36.7188720703,0,36.7188720703,36.7188720703,1
