rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,11,2,0.01,0.01,0.5,none,46.9535369873,0,46.9535369873,46.9535369873,46.9327201843,0,46.9327201843,46.9327201843,1
2,10,2,0.01,0.01,0.25,none,46.85987854,0,46.85987854,46.85987854,46.4592323303,0,46.4592323303,46.4592323303,1
3,46,4,0.01,0.01,0.25,none,46.5216712952,0,46.5216712952,46.5216712952,46.4228096008,0,46.4228096008,46.4228096008,1
4,47,4,0.01,0.01,0.5,none,46.084602356,0,46.084602356,46.084602356,45.8712730408,0,45.8712730408,45.8712730408,1
5,82,8,0.01,0.01,0.25,none,45.3093299866,0,45.3093299866,45.3093299866,45.392578125,0,45.392578125,45.392578125,1
6,7,2,0.01,0.001,0.25,none,44.4403991699,0,44.4403991699,44.4403991699,44.0969848633,0,44.0969848633,44.0969848633,1
7,83,8,0.01,0.01,0.5,none,44.3103179932,0,44.3103179932,44.3103179932,44.0033302307,0,44.0033302307,44.0033302307,1
8,43,4,0.01,0.001,0.25,none,43.6703262329,0,43.6703262329,43.6703262329,43.7691879272,0,43.7691879272,43.7691879272,1
9,48,4,0.01,0.01,0.75,none,43.4622001648,0,43.4622001648,43.4622001648,43.2956962585,0,43.2956962585,43.2956962585,1
10,2,2,0.01,0,0.5,none,43.3685417175,0,43.3685417175,43.3685417175,42.9626922607,0,42.9626922607,42.9626922607,1
11,44,4,0.01,0.001,0.5,none,43.2904930115,0,43.2904930115,43.2904930115,42.8898468018,0,42.8898468018,42.8898468018,1
12,37,4,0.01,0,0.25,none,43.207244873,0,43.207244873,43.207244873,43.0459442139,0,43.0459442139,43.0459442139,1
13,118,16,0.01,0.01,0.25,none,43.0719566345,0,43.0719566345,43.0719566345,42.785785675,0,42.785785675,42.785785675,1
14,41,4,0.01,0.0001,0.5,none,42.6452980042,0,42.6452980042,42.6452980042,42.2966842651,0,42.2966842651,42.2966842651,1
15,40,4,0.01,0.0001,0.25,none,42.5048103333,0,42.5048103333,42.5048103333,42.6296882629,0,42.6296882629,42.6296882629,1
16,1,2,0.01,0,0.25,none,42.3955459595,0,42.3955459595,42.3955459595,42.2290458679,0,42.2290458679,42.2290458679,1
17,8,2,0.01,0.001,0.5,none,42.2550582886,0,42.2550582886,42.2550582886,42.0365257263,0,42.0365257263,42.0365257263,1
18,4,2,0.01,0.0001,0.25,none,41.8752288818,0,41.8752288818,41.8752288818,41.7555541992,0,41.7555541992,41.7555541992,1
19,73,8,0.01,0,0.25,none,41.2820625305,0,41.2820625305,41.2820625305,41.1311721802,0,41.1311721802,41.1311721802,1
20,79,8,0.01,0.001,0.25,none,41.2664527893,0,41.2664527893,41.2664527893,41.0271072388,0,41.0271072388,41.0271072388,1
21,76,8,0.01,0.0001,0.25,none,41.0895462036,0,41.0895462036,41.0895462036,41.115562439,0,41.115562439,41.115562439,1
22,119,16,0.01,0.01,0.5,none,41.0843429565,0,41.0843429565,41.0843429565,40.5536193848,0,40.5536193848,40.5536193848,1
23,5,2,0.01,0.0001,0.5,none,40.6889038086,0,40.6889038086,40.6889038086,40.8814201355,0,40.8814201355,40.8814201355,1
24,80,8,0.01,0.001,0.5,none,40.5171966553,0,40.5171966553,40.5171966553,40.6784934998,0,40.6784934998,40.6784934998,1
25,12,2,0.01,0.01,0.75,none,40.3142738342,0,40.3142738342,40.3142738342,40.4651641846,0,40.4651641846,40.4651641846,1
26,77,8,0.01,0.0001,0.5,none,40.225818634,0,40.225818634,40.225818634,40.3402862549,0,40.3402862549,40.3402862549,1
27,74,8,0.01,0,0.5,none,40.0905342102,0,40.0905342102,40.0905342102,39.7783432007,0,39.7783432007,39.7783432007,1
28,3,2,0.01,0,0.75,none,40.0332984924,0,40.0332984924,40.0332984924,39.8303756714,0,39.8303756714,39.8303756714,1
29,116,16,0.01,0.001,0.5,none,39.9084243774,0,39.9084243774,39.9084243774,39.3100547791,0,39.3100547791,39.3100547791,1
