rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,4,2,0.01,0.0001,0.25,none,71.5344619751,0,71.5344619751,71.5344619751,72.4201049805,0,72.4201049805,72.4201049805,1
2,10,2,0.01,0.01,0.25,none,71.4189453125,0,71.4189453125,71.4189453125,72.3142089844,0,72.3142089844,72.3142089844,1
3,22,2,0.001,0.01,0.25,none,67.7512512207,0,67.7512512207,67.7512512207,68.7716598511,0,68.7716598511,68.7716598511,1
4,19,2,0.001,0.001,0.25,none,67.5202102661,0,67.5202102661,67.5202102661,68.5406188965,0,68.5406188965,68.5406188965,1
5,13,2,0.001,0,0.25,none,67.4720840454,0,67.4720840454,67.4720840454,68.2999572754,0,68.2999572754,68.2999572754,1
6,16,2,0.001,0.0001,0.25,none,66.4998016357,0,66.4998016357,66.4998016357,67.5202102661,0,67.5202102661,67.5202102661,1
7,118,16,0.01,0.01,0.25,none,64.9018096924,0,64.9018096924,64.9018096924,65.9992294312,0,65.9992294312,65.9992294312,1
8,109,16,0.01,0,0.25,none,64.88256073,0,64.88256073,64.88256073,65.9029693604,0,65.9029693604,65.9029693604,1
9,112,16,0.01,0.0001,0.25,none,64.88256073,0,64.88256073,64.88256073,65.9029693604,0,65.9029693604,65.9029693604,1
10,115,16,0.01,0.001,0.25,none,64.88256073,0,64.88256073,64.88256073,65.9029693604,0,65.9029693604,65.9029693604,1
11,7,2,0.01,0.001,0.25,none,64.0835571289,0,64.0835571289,64.0835571289,64.1798248291,0,64.1798248291,64.1798248291,1
12,1,2,0.01,0,0.25,none,64.0643081665,0,64.0643081665,64.0643081665,64.2183303833,0,64.2183303833,64.2183303833,1
13,58,4,0.001,0.01,0.25,none,63.1979217529,0,63.1979217529,63.1979217529,64.0258026123,0,64.0258026123,64.0258026123,1
14,17,2,0.001,0.0001,0.5,none,62.9283790588,0,62.9283790588,62.9283790588,63.8717765808,0,63.8717765808,63.8717765808,1
15,37,4,0.01,0,0.25,none,62.8609962463,0,62.8609962463,62.8609962463,63.5733528137,0,63.5733528137,63.5733528137,1
16,40,4,0.01,0.0001,0.25,none,62.8609962463,0,62.8609962463,62.8609962463,63.5926055908,0,63.5926055908,63.5926055908,1
17,43,4,0.01,0.001,0.25,none,62.8609962463,0,62.8609962463,62.8609962463,63.6022338867,0,63.6022338867,63.6022338867,1
18,46,4,0.01,0.01,0.25,none,62.8128585815,0,62.8128585815,62.8128585815,63.6792488098,0,63.6792488098,63.6792488098,1
19,20,2,0.001,0.001,0.5,none,62.8032341003,0,62.8032341003,62.8032341003,63.8043899536,0,63.8043899536,63.8043899536,1
20,52,4,0.001,0.0001,0.25,none,62.6107025146,0,62.6107025146,62.6107025146,64.2760848999,0,64.2760848999,64.2760848999,1
21,76,8,0.01,0.0001,0.25,none,62.3122825623,0,62.3122825623,62.3122825623,62.5722007751,0,62.5722007751,62.5722007751,1
22,73,8,0.01,0,0.25,none,62.3026542664,0,62.3026542664,62.3026542664,62.5722007751,0,62.5722007751,62.5722007751,1
23,82,8,0.01,0.01,0.25,none,62.3026542664,0,62.3026542664,62.3026542664,62.5914497375,0,62.5914497375,62.5914497375,1
24,79,8,0.01,0.001,0.25,none,62.2834014893,0,62.2834014893,62.2834014893,62.5625724792,0,62.5625724792,62.5625724792,1
25,59,4,0.001,0.01,0.5,none,62.2448997498,0,62.2448997498,62.2448997498,63.0342712402,0,63.0342712402,63.0342712402,1
26,23,2,0.001,0.01,0.5,none,62.1101264954,0,62.1101264954,62.1101264954,63.1401596069,0,63.1401596069,63.1401596069,1
27,56,4,0.001,0.001,0.5,none,62.1101264954,0,62.1101264954,62.1101264954,63.1401596069,0,63.1401596069,63.1401596069,1
28,5,2,0.01,0.0001,0.5,none,61.9272232056,0,61.9272232056,61.9272232056,62.966884613,0,62.966884613,62.966884613,1
29,2,2,0.01,0,0.5,none,61.9175987244,0,61.9175987244,61.9175987244,62.9765090942,0,62.9765090942,62.9765090942,1
30,8,2,0.01,0.001,0.5,none,61.9079704285,0,61.9079704285,61.9079704285,62.9765090942,0,62.9765090942,62.9765090942,1
31,11,2,0.01,0.01,0.5,none,61.8887176514,0,61.8887176514,61.8887176514,63.0053939819,0,63.0053939819,63.0053939819,1
32,49,4,0.001,0,0.25,none,61.8790931702,0,61.8790931702,61.8790931702,63.2653045654,0,63.2653045654,63.2653045654,1
33,85,8,0.001,0,0.25,none,61.6769371033,0,61.6769371033,61.6769371033,62.1678886414,0,62.1678886414,62.1678886414,1
34,14,2,0.001,0,0.5,none,61.5229110718,0,61.5229110718,61.5229110718,62.6973457336,0,62.6973457336,62.6973457336,1
35,55,4,0.001,0.001,0.25,none,61.3785133362,0,61.3785133362,61.3785133362,62.6010780334,0,62.6010780334,62.6010780334,1
36,50,4,0.001,0,0.5,none,61.1185951233,0,61.1185951233,61.1185951233,62.4374275208,0,62.4374275208,62.4374275208,1
37,38,4,0.01,0,0.5,none,60.9260673523,0,60.9260673523,60.9260673523,62.0234909058,0,62.0234909058,62.0234909058,1
38,41,4,0.01,0.0001,0.5,none,60.9260673523,0,60.9260673523,60.9260673523,62.0234909058,0,62.0234909058,62.0234909058,1
39,44,4,0.01,0.001,0.5,none,60.9260673523,0,60.9260673523,60.9260673523,62.0234909058,0,62.0234909058,62.0234909058,1
40,47,4,0.01,0.01,0.5,none,60.8394317627,0,60.8394317627,60.8394317627,62.0427436829,0,62.0427436829,62.0427436829,1
41,214,64,0.0001,0.01,0.25,none,60.4832458496,0,60.4832458496,60.4832458496,61.3496360779,0,61.3496360779,61.3496360779,1
42,94,8,0.001,0.01,0.25,none,60.4447441101,0,60.4447441101,60.4447441101,60.8490600586,0,60.8490600586,60.8490600586,1
43,205,64,0.0001,0,0.25,none,60.425491333,0,60.425491333,60.425491333,61.3400115967,0,61.3400115967,61.3400115967,1
44,208,64,0.0001,0.0001,0.25,none,60.3773574829,0,60.3773574829,60.3773574829,61.3785133362,0,61.3785133362,61.3785133362,1
45,211,64,0.0001,0.001,0.25,none,60.3484802246,0,60.3484802246,60.3484802246,61.3400115967,0,61.3400115967,61.3400115967,1
46,34,2,0.0001,0.01,0.25,none,60.2329597473,0,60.2329597473,60.2329597473,60.7624168396,0,60.7624168396,60.7624168396,1
