rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,58,4,0.001,0.01,0.25,none,70.7932739258,0,70.7932739258,70.7932739258,70.6730804443,0,70.6730804443,70.6730804443,1
2,60,4,0.001,0.01,0.75,none,70.7932739258,0,70.7932739258,70.7932739258,69.9519271851,0,69.9519271851,69.9519271851,1
3,49,4,0.001,0,0.25,none,70.6730804443,0,70.6730804443,70.6730804443,69.9519271851,0,69.9519271851,69.9519271851,1
4,52,4,0.001,0.0001,0.25,none,70.6730804443,0,70.6730804443,70.6730804443,69.9519271851,0,69.9519271851,69.9519271851,1
5,61,4,0.0001,0,0.25,none,70.6730804443,0,70.6730804443,70.6730804443,70.3125,0,70.3125,70.3125,1
6,64,4,0.0001,0.0001,0.25,none,70.6730804443,0,70.6730804443,70.6730804443,70.3125,0,70.3125,70.3125,1
7,67,4,0.0001,0.001,0.25,none,70.6730804443,0,70.6730804443,70.6730804443,70.3125,0,70.3125,70.3125,1
8,51,4,0.001,0,0.75,none,70.5528869629,0,70.5528869629,70.5528869629,69.5913467407,0,69.5913467407,69.5913467407,1
9,54,4,0.001,0.0001,0.75,none,70.5528869629,0,70.5528869629,70.5528869629,69.5913467407,0,69.5913467407,69.5913467407,1
10,55,4,0.001,0.001,0.25,none,70.5528869629,0,70.5528869629,70.5528869629,69.9519271851,0,69.9519271851,69.9519271851,1
11,57,4,0.001,0.001,0.75,none,70.5528869629,0,70.5528869629,70.5528869629,69.9519271851,0,69.9519271851,69.9519271851,1
12,97,8,0.0001,0,0.25,none,70.5528869629,0,70.5528869629,70.5528869629,70.7932739258,0,70.7932739258,70.7932739258,1
13,100,8,0.0001,0.0001,0.25,none,70.5528869629,0,70.5528869629,70.5528869629,70.7932739258,0,70.7932739258,70.7932739258,1
14,53,4,0.001,0.0001,0.5,none,70.4326934814,0,70.4326934814,70.4326934814,70.3125,0,70.3125,70.3125,1
15,56,4,0.001,0.001,0.5,none,70.4326934814,0,70.4326934814,70.4326934814,70.3125,0,70.3125,70.3125,1
16,70,4,0.0001,0.01,0.25,none,70.4326934814,0,70.4326934814,70.4326934814,70.6730804443,0,70.6730804443,70.6730804443,1
17,84,8,0.01,0.01,0.75,none,70.4326934814,0,70.4326934814,70.4326934814,69.8317337036,0,69.8317337036,69.8317337036,1
18,94,8,0.001,0.01,0.25,none,70.4326934814,0,70.4326934814,70.4326934814,70.7932739258,0,70.7932739258,70.7932739258,1
19,156,32,0.01,0.01,0.75,none,70.4326934814,0,70.4326934814,70.4326934814,70.0721206665,0,70.0721206665,70.0721206665,1
20,192,64,0.01,0.01,0.75,none,70.4326934814,0,70.4326934814,70.4326934814,71.3942337036,0,71.3942337036,71.3942337036,1
21,14,2,0.001,0,0.5,none,70.3125,0,70.3125,70.3125,69.9519271851,0,69.9519271851,69.9519271851,1
22,17,2,0.001,0.0001,0.5,none,70.3125,0,70.3125,70.3125,69.9519271851,0,69.9519271851,69.9519271851,1
23,20,2,0.001,0.001,0.5,none,70.3125,0,70.3125,70.3125,69.9519271851,0,69.9519271851,69.9519271851,1
24,23,2,0.001,0.01,0.5,none,70.3125,0,70.3125,70.3125,70.3125,0,70.3125,70.3125,1
25,50,4,0.001,0,0.5,none,70.3125,0,70.3125,70.3125,70.3125,0,70.3125,70.3125,1
26,59,4,0.001,0.01,0.5,none,70.3125,0,70.3125,70.3125,70.6730804443,0,70.6730804443,70.6730804443,1
27,62,4,0.0001,0,0.5,none,70.3125,0,70.3125,70.3125,70.3125,0,70.3125,70.3125,1
28,65,4,0.0001,0.0001,0.5,none,70.3125,0,70.3125,70.3125,70.3125,0,70.3125,70.3125,1
29,68,4,0.0001,0.001,0.5,none,70.3125,0,70.3125,70.3125,70.6730804443,0,70.6730804443,70.6730804443,1
30,120,16,0.01,0.01,0.75,none,70.3125,0,70.3125,70.3125,71.5144271851,0,71.5144271851,71.5144271851,1
31,13,2,0.001,0,0.25,none,70.1923141479,0,70.1923141479,70.1923141479,69.8317337036,0,69.8317337036,69.8317337036,1
32,22,2,0.001,0.01,0.25,none,70.1923141479,0,70.1923141479,70.1923141479,69.8317337036,0,69.8317337036,69.8317337036,1
33,24,2,0.001,0.01,0.75,none,70.1923141479,0,70.1923141479,70.1923141479,69.8317337036,0,69.8317337036,69.8317337036,1
34,103,8,0.0001,0.001,0.25,none,70.1923141479,0,70.1923141479,70.1923141479,70.5528869629,0,70.5528869629,70.5528869629,1
35,104,8,0.0001,0.001,0.5,none,70.1923141479,0,70.1923141479,70.1923141479,70.1923141479,0,70.1923141479,70.1923141479,1
