rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,154,32,0.01,0.01,0.25,none,70.9134674072,0,70.9134674072,70.9134674072,71.0336532593,0,71.0336532593,71.0336532593,1
2,190,64,0.01,0.01,0.25,none,70.5528869629,0,70.5528869629,70.5528869629,71.0336532593,0,71.0336532593,71.0336532593,1
3,192,64,0.01,0.01,0.75,none,70.4326934814,0,70.4326934814,70.4326934814,71.0336532593,0,71.0336532593,71.0336532593,1
4,120,16,0.01,0.01,0.75,none,70.3125,0,70.3125,70.3125,69.4711532593,0,69.4711532593,69.4711532593,1
5,156,32,0.01,0.01,0.75,none,70.3125,0,70.3125,70.3125,68.9903869629,0,68.9903869629,68.9903869629,1
6,191,64,0.01,0.01,0.5,none,69.9519271851,0,69.9519271851,69.9519271851,70.3125,0,70.3125,70.3125,1
7,83,8,0.01,0.01,0.5,none,69.8317337036,0,69.8317337036,69.8317337036,68.2692337036,0,68.2692337036,68.2692337036,1
8,118,16,0.01,0.01,0.25,none,69.8317337036,0,69.8317337036,69.8317337036,69.2307739258,0,69.2307739258,69.2307739258,1
9,48,4,0.01,0.01,0.75,none,69.7115402222,0,69.7115402222,69.7115402222,71.1538467407,0,71.1538467407,71.1538467407,1
10,133,16,0.0001,0,0.25,none,69.5913467407,0,69.5913467407,69.5913467407,68.75,0,68.75,68.75,1
11,136,16,0.0001,0.0001,0.25,none,69.5913467407,0,69.5913467407,69.5913467407,68.75,0,68.75,68.75,1
12,139,16,0.0001,0.001,0.25,none,69.5913467407,0,69.5913467407,69.5913467407,68.75,0,68.75,68.75,1
13,142,16,0.0001,0.01,0.25,none,69.5913467407,0,69.5913467407,69.5913467407,68.75,0,68.75,68.75,1
14,155,32,0.01,0.01,0.5,none,69.5913467407,0,69.5913467407,69.5913467407,70.5528869629,0,70.5528869629,70.5528869629,1
15,84,8,0.01,0.01,0.75,none,69.4711532593,0,69.4711532593,69.4711532593,71.0336532593,0,71.0336532593,71.0336532593,1
