rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,205,64,0.0001,0,0.25,none,89.1022033691,0,89.1022033691,89.1022033691,87.2388458252,0,87.2388458252,87.2388458252,1
2,208,64,0.0001,0.0001,0.25,none,89.1022033691,0,89.1022033691,89.1022033691,87.2388458252,0,87.2388458252,87.2388458252,1
3,211,64,0.0001,0.001,0.25,none,89.1022033691,0,89.1022033691,89.1022033691,87.1823806763,0,87.1823806763,87.1823806763,1
4,214,64,0.0001,0.01,0.25,none,89.1022033691,0,89.1022033691,89.1022033691,87.408241272,0,87.408241272,87.408241272,1
5,194,64,0.001,0,0.5,none,88.9892730713,0,88.9892730713,88.9892730713,87.408241272,0,87.408241272,87.408241272,1
6,203,64,0.001,0.01,0.5,none,88.9892730713,0,88.9892730713,88.9892730713,87.4647064209,0,87.4647064209,87.4647064209,1
7,206,64,0.0001,0,0.5,none,88.9892730713,0,88.9892730713,88.9892730713,87.351776123,0,87.351776123,87.351776123,1
8,209,64,0.0001,0.0001,0.5,none,88.9892730713,0,88.9892730713,88.9892730713,87.351776123,0,87.351776123,87.351776123,1
9,212,64,0.0001,0.001,0.5,none,88.9892730713,0,88.9892730713,88.9892730713,87.351776123,0,87.351776123,87.351776123,1
10,215,64,0.0001,0.01,0.5,none,88.9892730713,0,88.9892730713,88.9892730713,87.351776123,0,87.351776123,87.351776123,1
11,197,64,0.001,0.0001,0.5,none,88.9328079224,0,88.9328079224,88.9328079224,87.408241272,0,87.408241272,87.408241272,1
12,200,64,0.001,0.001,0.5,none,88.9328079224,0,88.9328079224,88.9328079224,87.4647064209,0,87.4647064209,87.4647064209,1
13,178,32,0.0001,0.01,0.25,none,88.876335144,0,88.876335144,88.876335144,86.9000549316,0,86.9000549316,86.9000549316,1
14,196,64,0.001,0.0001,0.25,none,88.876335144,0,88.876335144,88.876335144,87.1823806763,0,87.1823806763,87.1823806763,1
15,207,64,0.0001,0,0.75,none,88.876335144,0,88.876335144,88.876335144,87.0694503784,0,87.0694503784,87.0694503784,1
16,210,64,0.0001,0.0001,0.75,none,88.876335144,0,88.876335144,88.876335144,87.4647064209,0,87.4647064209,87.4647064209,1
17,213,64,0.0001,0.001,0.75,none,88.876335144,0,88.876335144,88.876335144,87.1259155273,0,87.1259155273,87.1259155273,1
18,216,64,0.0001,0.01,0.75,none,88.876335144,0,88.876335144,88.876335144,87.4647064209,0,87.4647064209,87.4647064209,1
19,169,32,0.0001,0,0.25,none,88.8198699951,0,88.8198699951,88.8198699951,86.9565200806,0,86.9565200806,86.9565200806,1
20,172,32,0.0001,0.0001,0.25,none,88.8198699951,0,88.8198699951,88.8198699951,86.9565200806,0,86.9565200806,86.9565200806,1
21,175,32,0.0001,0.001,0.25,none,88.8198699951,0,88.8198699951,88.8198699951,86.9565200806,0,86.9565200806,86.9565200806,1
22,193,64,0.001,0,0.25,none,88.8198699951,0,88.8198699951,88.8198699951,87.0129852295,0,87.0129852295,87.0129852295,1
23,199,64,0.001,0.001,0.25,none,88.8198699951,0,88.8198699951,88.8198699951,87.0129852295,0,87.0129852295,87.0129852295,1
24,170,32,0.0001,0,0.5,none,88.7634124756,0,88.7634124756,88.7634124756,86.7871246338,0,86.7871246338,86.7871246338,1
25,173,32,0.0001,0.0001,0.5,none,88.7634124756,0,88.7634124756,88.7634124756,86.7871246338,0,86.7871246338,86.7871246338,1
26,176,32,0.0001,0.001,0.5,none,88.7634124756,0,88.7634124756,88.7634124756,86.7871246338,0,86.7871246338,86.7871246338,1
27,179,32,0.0001,0.01,0.5,none,88.7634124756,0,88.7634124756,88.7634124756,86.7871246338,0,86.7871246338,86.7871246338,1
28,202,64,0.001,0.01,0.25,none,88.7634124756,0,88.7634124756,88.7634124756,86.9000549316,0,86.9000549316,86.9000549316,1
29,164,32,0.001,0.001,0.5,none,88.7069473267,0,88.7069473267,88.7069473267,86.9000549316,0,86.9000549316,86.9000549316,1
30,168,32,0.001,0.01,0.75,none,88.7069473267,0,88.7069473267,88.7069473267,87.0129852295,0,87.0129852295,87.0129852295,1
31,180,32,0.0001,0.01,0.75,none,88.7069473267,0,88.7069473267,88.7069473267,86.5612640381,0,86.5612640381,86.5612640381,1
32,204,64,0.001,0.01,0.75,none,88.7069473267,0,88.7069473267,88.7069473267,87.0694503784,0,87.0694503784,87.0694503784,1
33,158,32,0.001,0,0.5,none,88.6504745483,0,88.6504745483,88.6504745483,87.0694503784,0,87.0694503784,87.0694503784,1
34,159,32,0.001,0,0.75,none,88.6504745483,0,88.6504745483,88.6504745483,86.9000549316,0,86.9000549316,86.9000549316,1
35,161,32,0.001,0.0001,0.5,none,88.6504745483,0,88.6504745483,88.6504745483,87.0694503784,0,87.0694503784,87.0694503784,1
36,162,32,0.001,0.0001,0.75,none,88.6504745483,0,88.6504745483,88.6504745483,86.9000549316,0,86.9000549316,86.9000549316,1
37,165,32,0.001,0.001,0.75,none,88.6504745483,0,88.6504745483,88.6504745483,86.9000549316,0,86.9000549316,86.9000549316,1
