rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,11,2,0.01,0.01,0.5,none,55.2886428833,0,55.2886428833,55.2886428833,54.7453689575,0,54.7453689575,54.7453689575,1
2,10,2,0.01,0.01,0.25,none,54.6981277466,0,54.6981277466,54.6981277466,54.0650978088,0,54.0650978088,54.0650978088,1
3,8,2,0.01,0.001,0.5,none,54.0462036133,0,54.0462036133,54.0462036133,53.4934806824,0,53.4934806824,53.4934806824,1
4,2,2,0.01,0,0.5,none,54.0060462952,0,54.0060462952,54.0060462952,53.422618866,0,53.422618866,53.422618866,1
5,5,2,0.01,0.0001,0.5,none,53.7273216248,0,53.7273216248,53.7273216248,53.3777427673,0,53.3777427673,53.3777427673,1
6,46,4,0.01,0.01,0.25,none,53.6352043152,0,53.6352043152,53.6352043152,52.8415565491,0,52.8415565491,52.8415565491,1
7,7,2,0.01,0.001,0.25,none,53.2360191345,0,53.2360191345,53.2360191345,52.5675544739,0,52.5675544739,52.5675544739,1
8,4,2,0.01,0.0001,0.25,none,52.5250358582,0,52.5250358582,52.5250358582,52.1447486877,0,52.1447486877,52.1447486877,1
9,47,4,0.01,0.01,0.5,none,51.8636627197,0,51.8636627197,51.8636627197,51.2825965881,0,51.2825965881,51.2825965881,1
10,1,2,0.01,0,0.25,none,51.5731277466,0,51.5731277466,51.5731277466,51.1715812683,0,51.1715812683,51.1715812683,1
11,43,4,0.01,0.001,0.25,none,51.1078071594,0,51.1078071594,51.1078071594,50.4936676025,0,50.4936676025,50.4936676025,1
12,37,4,0.01,0,0.25,none,50.37084198,0,50.37084198,50.37084198,50.0897598267,0,50.0897598267,50.0897598267,1
13,38,4,0.01,0,0.5,none,49.7094688416,0,49.7094688416,49.7094688416,49.0693511963,0,49.0693511963,49.0693511963,1
14,40,4,0.01,0.0001,0.25,none,49.4071235657,0,49.4071235657,49.4071235657,49.0906105042,0,49.0906105042,49.0906105042,1
15,49,4,0.001,0,0.25,none,48.2402687073,0,48.2402687073,48.2402687073,47.9497375488,0,47.9497375488,47.9497375488,1
16,56,4,0.001,0.001,0.5,none,48.2308197021,0,48.2308197021,48.2308197021,47.6261329651,0,47.6261329651,47.6261329651,1
17,59,4,0.001,0.01,0.5,none,48.2001113892,0,48.2001113892,48.2001113892,47.850528717,0,47.850528717,47.850528717,1
18,53,4,0.001,0.0001,0.5,none,48.1221694946,0,48.1221694946,48.1221694946,47.8127365112,0,47.8127365112,47.8127365112,1
19,50,4,0.001,0,0.5,none,48.0867347717,0,48.0867347717,48.0867347717,47.867061615,0,47.867061615,47.867061615,1
20,58,4,0.001,0.01,0.25,none,48.0064239502,0,48.0064239502,48.0064239502,47.7678565979,0,47.7678565979,47.7678565979,1
21,52,4,0.001,0.0001,0.25,none,47.897769928,0,47.897769928,47.897769928,47.7017211914,0,47.7017211914,47.7017211914,1
22,55,4,0.001,0.001,0.25,none,47.7088050842,0,47.7088050842,47.7088050842,47.850528717,0,47.850528717,47.850528717,1
