rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,4,2,0.01,0.0001,0.25,none,41.0323104858,0,41.0323104858,41.0323104858,40.8554000854,0,40.8554000854,40.8554000854,1
2,1,2,0.01,0,0.25,none,40.2050056458,0,40.2050056458,40.2050056458,39.9656600952,0,39.9656600952,39.9656600952,1
3,2,2,0.01,0,0.5,none,40.1633796692,0,40.1633796692,40.1633796692,39.877204895,0,39.877204895,39.877204895,1
4,40,4,0.01,0.0001,0.25,none,40.0853309631,0,40.0853309631,40.0853309631,39.6898880005,0,39.6898880005,39.6898880005,1
5,5,2,0.01,0.0001,0.5,none,39.9344367981,0,39.9344367981,39.9344367981,39.5650100708,0,39.5650100708,39.5650100708,1
6,38,4,0.01,0,0.5,none,39.7835464478,0,39.7835464478,39.7835464478,39.4401359558,0,39.4401359558,39.4401359558,1
7,39,4,0.01,0,0.75,none,39.6638755798,0,39.6638755798,39.6638755798,39.2528190613,0,39.2528190613,39.2528190613,1
8,41,4,0.01,0.0001,0.5,none,39.5910301208,0,39.5910301208,39.5910301208,39.3152580261,0,39.3152580261,39.3152580261,1
9,37,4,0.01,0,0.25,none,39.5858268738,0,39.5858268738,39.5858268738,39.3985137939,0,39.3985137939,39.3985137939,1
10,3,2,0.01,0,0.75,none,39.1695709229,0,39.1695709229,39.1695709229,38.8781929016,0,38.8781929016,38.8781929016,1
11,6,2,0.01,0.0001,0.75,none,38.909412384,0,38.909412384,38.909412384,38.7220993042,0,38.7220993042,38.7220993042,1
12,74,8,0.01,0,0.5,none,38.6700668335,0,38.6700668335,38.6700668335,38.3890914917,0,38.3890914917,38.3890914917,1
13,73,8,0.01,0,0.25,none,38.1081237793,0,38.1081237793,38.1081237793,37.9312133789,0,37.9312133789,37.9312133789,1
14,75,8,0.01,0,0.75,none,37.9624328613,0,37.9624328613,37.9624328613,37.6866645813,0,37.6866645813,37.6866645813,1
15,42,4,0.01,0.0001,0.75,none,37.9104003906,0,37.9104003906,37.9104003906,37.6970710754,0,37.6970710754,37.6970710754,1
16,76,8,0.01,0.0001,0.25,none,37.4160957336,0,37.4160957336,37.4160957336,37.2756118774,0,37.2756118774,37.2756118774,1
17,77,8,0.01,0.0001,0.5,none,37.2808151245,0,37.2808151245,37.2808151245,37.0726890564,0,37.0726890564,37.0726890564,1
18,78,8,0.01,0.0001,0.75,none,36.7761077881,0,36.7761077881,36.7761077881,36.6668395996,0,36.6668395996,36.6668395996,1
19,109,16,0.01,0,0.25,none,35.9748153687,0,35.9748153687,35.9748153687,35.9644088745,0,35.9644088745,35.9644088745,1
20,13,2,0.001,0,0.25,none,35.7354698181,0,35.7354698181,35.7354698181,35.7146568298,0,35.7146568298,35.7146568298,1
21,110,16,0.01,0,0.5,none,35.7094535828,0,35.7094535828,35.7094535828,35.7458763123,0,35.7458763123,35.7458763123,1
