rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,52,4,0.001,0.0001,0.25,none,76.8579101562,0,76.8579101562,76.8579101562,77.7531738281,0,77.7531738281,77.7531738281,1
2,53,4,0.001,0.0001,0.5,none,76.8482894897,0,76.8482894897,76.8482894897,77.705039978,0,77.705039978,77.705039978,1
3,76,8,0.01,0.0001,0.25,none,76.8097839355,0,76.8097839355,76.8097839355,77.2814788818,0,77.2814788818,77.2814788818,1
4,73,8,0.01,0,0.25,none,76.6750106812,0,76.6750106812,76.6750106812,77.1178283691,0,77.1178283691,77.1178283691,1
5,49,4,0.001,0,0.25,none,76.6653823853,0,76.6653823853,76.6653823853,77.5606460571,0,77.5606460571,77.5606460571,1
6,50,4,0.001,0,0.5,none,76.636505127,0,76.636505127,76.636505127,77.5510177612,0,77.5510177612,77.5510177612,1
7,42,4,0.01,0.0001,0.75,none,76.6076278687,0,76.6076278687,76.6076278687,77.6184082031,0,77.6184082031,77.6184082031,1
8,43,4,0.01,0.001,0.25,none,76.5979995728,0,76.5979995728,76.5979995728,77.3969955444,0,77.3969955444,77.3969955444,1
9,41,4,0.01,0.0001,0.5,none,76.5883712769,0,76.5883712769,76.5883712769,77.5606460571,0,77.5606460571,77.5606460571,1
10,44,4,0.01,0.001,0.5,none,76.5883712769,0,76.5883712769,76.5883712769,77.3392410278,0,77.3392410278,77.3392410278,1
11,54,4,0.001,0.0001,0.75,none,76.5691146851,0,76.5691146851,76.5691146851,77.4451293945,0,77.4451293945,77.4451293945,1
12,77,8,0.01,0.0001,0.5,none,76.5209884644,0,76.5209884644,76.5209884644,77.1659622192,0,77.1659622192,77.1659622192,1
13,88,8,0.001,0.0001,0.25,none,76.5113601685,0,76.5113601685,76.5113601685,77.3103561401,0,77.3103561401,77.3103561401,1
14,74,8,0.01,0,0.5,none,76.4824829102,0,76.4824829102,76.4824829102,76.934928894,0,76.934928894,76.934928894,1
15,51,4,0.001,0,0.75,none,76.4728546143,0,76.4728546143,76.4728546143,77.4836349487,0,77.4836349487,77.4836349487,1
16,7,2,0.01,0.001,0.25,none,76.2995758057,0,76.2995758057,76.2995758057,77.1370849609,0,77.1370849609,77.1370849609,1
17,39,4,0.01,0,0.75,none,76.2225646973,0,76.2225646973,76.2225646973,77.2140884399,0,77.2140884399,77.2140884399,1
18,78,8,0.01,0.0001,0.75,none,76.2129364014,0,76.2129364014,76.2129364014,76.8097839355,0,76.8097839355,76.8097839355,1
19,85,8,0.001,0,0.25,none,76.193687439,0,76.193687439,76.193687439,76.9830551147,0,76.9830551147,76.9830551147,1
20,16,2,0.001,0.0001,0.25,none,76.1551818848,0,76.1551818848,76.1551818848,77.0889434814,0,77.0889434814,77.0889434814,1
21,40,4,0.01,0.0001,0.25,none,76.1455535889,0,76.1455535889,76.1455535889,77.1178283691,0,77.1178283691,77.1178283691,1
22,75,8,0.01,0,0.75,none,76.0974197388,0,76.0974197388,76.0974197388,76.8097839355,0,76.8097839355,76.8097839355,1
23,79,8,0.01,0.001,0.25,none,76.0300369263,0,76.0300369263,76.0300369263,76.8290328979,0,76.8290328979,76.8290328979,1
24,13,2,0.001,0,0.25,none,76.0107803345,0,76.0107803345,76.0107803345,76.8097839355,0,76.8097839355,76.8097839355,1
25,38,4,0.01,0,0.5,none,75.9048843384,0,75.9048843384,75.9048843384,76.9541778564,0,76.9541778564,76.9541778564,1
26,17,2,0.001,0.0001,0.5,none,75.8278808594,0,75.8278808594,75.8278808594,76.8675384521,0,76.8675384521,76.8675384521,1
27,80,8,0.01,0.001,0.5,none,75.8086242676,0,75.8086242676,75.8086242676,76.5883712769,0,76.5883712769,76.5883712769,1
28,19,2,0.001,0.001,0.25,none,75.7797470093,0,75.7797470093,75.7797470093,76.4247207642,0,76.4247207642,76.4247207642,1
29,37,4,0.01,0,0.25,none,75.7412338257,0,75.7412338257,75.7412338257,76.7905273438,0,76.7905273438,76.7905273438,1
30,14,2,0.001,0,0.5,none,75.6738510132,0,75.6738510132,75.6738510132,76.7038879395,0,76.7038879395,76.7038879395,1
31,55,4,0.001,0.001,0.25,none,75.5679626465,0,75.5679626465,75.5679626465,76.4247207642,0,76.4247207642,76.4247207642,1
32,8,2,0.01,0.001,0.5,none,75.5390853882,0,75.5390853882,75.5390853882,76.1744308472,0,76.1744308472,76.1744308472,1
33,56,4,0.001,0.001,0.5,none,75.5198287964,0,75.5198287964,75.5198287964,76.2514419556,0,76.2514419556,76.2514419556,1
34,18,2,0.001,0.0001,0.75,none,75.500579834,0,75.500579834,75.500579834,76.38621521,0,76.38621521,76.38621521,1
35,20,2,0.001,0.001,0.5,none,75.4620742798,0,75.4620742798,75.4620742798,76.0204086304,0,76.0204086304,76.0204086304,1
36,112,16,0.01,0.0001,0.25,none,75.3946838379,0,75.3946838379,75.3946838379,75.5872116089,0,75.5872116089,75.5872116089,1
37,15,2,0.001,0,0.75,none,75.2984237671,0,75.2984237671,75.2984237671,76.0877914429,0,76.0877914429,76.0877914429,1
38,113,16,0.01,0.0001,0.5,none,75.1444015503,0,75.1444015503,75.1444015503,75.4235687256,0,75.4235687256,75.4235687256,1
39,5,2,0.01,0.0001,0.5,none,75.0096282959,0,75.0096282959,75.0096282959,75.8278808594,0,75.8278808594,75.8278808594,1
