rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,48,4,0.01,0.01,0.75,none,71.2740402222,0,71.2740402222,71.2740402222,70.5528869629,0,70.5528869629,70.5528869629,1
2,60,4,0.001,0.01,0.75,none,71.0336532593,0,71.0336532593,71.0336532593,70.6730804443,0,70.6730804443,70.6730804443,1
3,12,2,0.01,0.01,0.75,none,70.9134674072,0,70.9134674072,70.9134674072,70.6730804443,0,70.6730804443,70.6730804443,1
4,84,8,0.01,0.01,0.75,none,70.5528869629,0,70.5528869629,70.5528869629,70.7932739258,0,70.7932739258,70.7932739258,1
5,59,4,0.001,0.01,0.5,none,70.4326934814,0,70.4326934814,70.4326934814,70.9134674072,0,70.9134674072,70.9134674072,1
6,118,16,0.01,0.01,0.25,none,70.3125,0,70.3125,70.3125,69.2307739258,0,69.2307739258,69.2307739258,1
7,120,16,0.01,0.01,0.75,none,70.3125,0,70.3125,70.3125,70.1923141479,0,70.1923141479,70.1923141479,1
8,58,4,0.001,0.01,0.25,none,70.1923141479,0,70.1923141479,70.1923141479,69.4711532593,0,69.4711532593,69.4711532593,1
9,94,8,0.001,0.01,0.25,none,70.0721206665,0,70.0721206665,70.0721206665,71.1538467407,0,71.1538467407,71.1538467407,1
10,130,16,0.001,0.01,0.25,none,70.0721206665,0,70.0721206665,70.0721206665,70.9134674072,0,70.9134674072,70.9134674072,1
11,154,32,0.01,0.01,0.25,none,70.0721206665,0,70.0721206665,70.0721206665,69.8317337036,0,69.8317337036,69.8317337036,1
12,24,2,0.001,0.01,0.75,none,69.8317337036,0,69.8317337036,69.8317337036,69.9519271851,0,69.9519271851,69.9519271851,1
13,10,2,0.01,0.01,0.25,none,69.7115402222,0,69.7115402222,69.7115402222,71.2740402222,0,71.2740402222,71.2740402222,1
14,132,16,0.001,0.01,0.75,none,69.7115402222,0,69.7115402222,69.7115402222,70.3125,0,70.3125,70.3125,1
15,156,32,0.01,0.01,0.75,none,69.7115402222,0,69.7115402222,69.7115402222,70.0721206665,0,70.0721206665,70.0721206665,1
16,57,4,0.001,0.001,0.75,none,69.5913467407,0,69.5913467407,69.5913467407,67.6682739258,0,67.6682739258,67.6682739258,1
17,119,16,0.01,0.01,0.5,none,69.5913467407,0,69.5913467407,69.5913467407,70.1923141479,0,70.1923141479,70.1923141479,1
18,131,16,0.001,0.01,0.5,none,69.5913467407,0,69.5913467407,69.5913467407,70.6730804443,0,70.6730804443,70.6730804443,1
19,168,32,0.001,0.01,0.75,none,69.4711532593,0,69.4711532593,69.4711532593,69.7115402222,0,69.7115402222,69.7115402222,1
20,11,2,0.01,0.01,0.5,none,69.3509674072,0,69.3509674072,69.3509674072,71.6346206665,0,71.6346206665,71.6346206665,1
21,46,4,0.01,0.01,0.25,none,69.3509674072,0,69.3509674072,69.3509674072,70.1923141479,0,70.1923141479,70.1923141479,1
22,54,4,0.001,0.0001,0.75,none,69.3509674072,0,69.3509674072,69.3509674072,67.3076934814,0,67.3076934814,67.3076934814,1
23,51,4,0.001,0,0.75,none,69.2307739258,0,69.2307739258,69.2307739258,67.1875,0,67.1875,67.1875,1
24,90,8,0.001,0.0001,0.75,none,69.2307739258,0,69.2307739258,69.2307739258,68.3894271851,0,68.3894271851,68.3894271851,1
25,93,8,0.001,0.001,0.75,none,69.2307739258,0,69.2307739258,69.2307739258,68.6298141479,0,68.6298141479,68.6298141479,1
26,87,8,0.001,0,0.75,none,69.1105804443,0,69.1105804443,69.1105804443,68.3894271851,0,68.3894271851,68.3894271851,1
27,96,8,0.001,0.01,0.75,none,69.1105804443,0,69.1105804443,69.1105804443,70.1923141479,0,70.1923141479,70.1923141479,1
28,190,64,0.01,0.01,0.25,none,69.1105804443,0,69.1105804443,69.1105804443,68.5096206665,0,68.5096206665,68.5096206665,1
29,92,8,0.001,0.001,0.5,none,68.9903869629,0,68.9903869629,68.9903869629,67.5480804443,0,67.5480804443,67.5480804443,1
30,95,8,0.001,0.01,0.5,none,68.9903869629,0,68.9903869629,68.9903869629,69.7115402222,0,69.7115402222,69.7115402222,1
31,155,32,0.01,0.01,0.5,none,68.9903869629,0,68.9903869629,68.9903869629,70.7932739258,0,70.7932739258,70.7932739258,1
32,22,2,0.001,0.01,0.25,none,68.8701934814,0,68.8701934814,68.8701934814,71.0336532593,0,71.0336532593,71.0336532593,1
33,47,4,0.01,0.01,0.5,none,68.8701934814,0,68.8701934814,68.8701934814,70.3125,0,70.3125,70.3125,1
34,82,8,0.01,0.01,0.25,none,68.8701934814,0,68.8701934814,68.8701934814,70.3125,0,70.3125,70.3125,1
35,123,16,0.001,0,0.75,none,68.75,0,68.75,68.75,69.2307739258,0,69.2307739258,69.2307739258,1
36,89,8,0.001,0.0001,0.5,none,68.6298141479,0,68.6298141479,68.6298141479,67.4278869629,0,67.4278869629,67.4278869629,1
37,163,32,0.001,0.001,0.25,none,68.6298141479,0,68.6298141479,68.6298141479,68.3894271851,0,68.3894271851,68.3894271851,1
38,164,32,0.001,0.001,0.5,none,68.6298141479,0,68.6298141479,68.6298141479,68.8701934814,0,68.8701934814,68.8701934814,1
39,165,32,0.001,0.001,0.75,none,68.6298141479,0,68.6298141479,68.6298141479,69.1105804443,0,69.1105804443,69.1105804443,1
40,167,32,0.001,0.01,0.5,none,68.6298141479,0,68.6298141479,68.6298141479,69.2307739258,0,69.2307739258,69.2307739258,1
41,23,2,0.001,0.01,0.5,none,68.5096206665,0,68.5096206665,68.5096206665,70.3125,0,70.3125,70.3125,1
42,86,8,0.001,0,0.5,none,68.5096206665,0,68.5096206665,68.5096206665,67.4278869629,0,67.4278869629,67.4278869629,1
43,129,16,0.001,0.001,0.75,none,68.5096206665,0,68.5096206665,68.5096206665,69.5913467407,0,69.5913467407,69.5913467407,1
44,162,32,0.001,0.0001,0.75,none,68.5096206665,0,68.5096206665,68.5096206665,68.8701934814,0,68.8701934814,68.8701934814,1
45,125,16,0.001,0.0001,0.5,none,68.3894271851,0,68.3894271851,68.3894271851,67.9086532593,0,67.9086532593,67.9086532593,1
46,126,16,0.001,0.0001,0.75,none,68.3894271851,0,68.3894271851,68.3894271851,68.9903869629,0,68.9903869629,68.9903869629,1
47,127,16,0.001,0.001,0.25,none,68.3894271851,0,68.3894271851,68.3894271851,67.5480804443,0,67.5480804443,67.5480804443,1
48,201,64,0.001,0.001,0.75,none,68.3894271851,0,68.3894271851,68.3894271851,68.9903869629,0,68.9903869629,68.9903869629,1
49,202,64,0.001,0.01,0.25,none,68.3894271851,0,68.3894271851,68.3894271851,69.4711532593,0,69.4711532593,69.4711532593,1
50,91,8,0.001,0.001,0.25,none,68.2692337036,0,68.2692337036,68.2692337036,66.5865402222,0,66.5865402222,66.5865402222,1
51,159,32,0.001,0,0.75,none,68.2692337036,0,68.2692337036,68.2692337036,68.2692337036,0,68.2692337036,68.2692337036,1
52,203,64,0.001,0.01,0.5,none,68.2692337036,0,68.2692337036,68.2692337036,69.5913467407,0,69.5913467407,69.5913467407,1
53,122,16,0.001,0,0.5,none,68.1490402222,0,68.1490402222,68.1490402222,67.6682739258,0,67.6682739258,67.6682739258,1
54,128,16,0.001,0.001,0.5,none,68.1490402222,0,68.1490402222,68.1490402222,68.2692337036,0,68.2692337036,68.2692337036,1
55,83,8,0.01,0.01,0.5,none,68.0288467407,0,68.0288467407,68.0288467407,70.3125,0,70.3125,70.3125,1
56,160,32,0.001,0.0001,0.25,none,68.0288467407,0,68.0288467407,68.0288467407,66.8269271851,0,66.8269271851,66.8269271851,1
57,192,64,0.01,0.01,0.75,none,68.0288467407,0,68.0288467407,68.0288467407,69.8317337036,0,69.8317337036,69.8317337036,1
58,124,16,0.001,0.0001,0.25,none,67.9086532593,0,67.9086532593,67.9086532593,66.9471206665,0,66.9471206665,66.9471206665,1
59,81,8,0.01,0.001,0.75,none,67.7884674072,0,67.7884674072,67.7884674072,67.6682739258,0,67.6682739258,67.6682739258,1
60,157,32,0.001,0,0.25,none,67.7884674072,0,67.7884674072,67.7884674072,66.7067337036,0,66.7067337036,66.7067337036,1
61,45,4,0.01,0.001,0.75,none,67.6682739258,0,67.6682739258,67.6682739258,65.7451934814,0,65.7451934814,65.7451934814,1
62,50,4,0.001,0,0.5,none,67.6682739258,0,67.6682739258,67.6682739258,66.4663467407,0,66.4663467407,66.4663467407,1
63,56,4,0.001,0.001,0.5,none,67.6682739258,0,67.6682739258,67.6682739258,66.5865402222,0,66.5865402222,66.5865402222,1
64,88,8,0.001,0.0001,0.25,none,67.6682739258,0,67.6682739258,67.6682739258,65.7451934814,0,65.7451934814,65.7451934814,1
