rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,39,4,0.01,0,0.75,none,89.1586685181,0,89.1586685181,89.1586685181,88.0293579102,0,88.0293579102,88.0293579102,1
2,42,4,0.01,0.0001,0.75,none,89.0457305908,0,89.0457305908,89.0457305908,87.9164276123,0,87.9164276123,87.9164276123,1
3,37,4,0.01,0,0.25,none,88.9328079224,0,88.9328079224,88.9328079224,87.8034973145,0,87.8034973145,87.8034973145,1
4,38,4,0.01,0,0.5,none,88.9328079224,0,88.9328079224,88.9328079224,88.3116836548,0,88.3116836548,88.3116836548,1
5,41,4,0.01,0.0001,0.5,none,88.9328079224,0,88.9328079224,88.9328079224,88.0293579102,0,88.0293579102,88.0293579102,1
6,40,4,0.01,0.0001,0.25,none,88.876335144,0,88.876335144,88.876335144,87.8599624634,0,87.8599624634,87.8599624634,1
7,76,8,0.01,0.0001,0.25,none,88.8198699951,0,88.8198699951,88.8198699951,87.5211715698,0,87.5211715698,87.5211715698,1
8,78,8,0.01,0.0001,0.75,none,88.7069473267,0,88.7069473267,88.7069473267,87.4647064209,0,87.4647064209,87.4647064209,1
9,75,8,0.01,0,0.75,none,88.6504745483,0,88.6504745483,88.6504745483,87.351776123,0,87.351776123,87.351776123,1
10,77,8,0.01,0.0001,0.5,none,88.6504745483,0,88.6504745483,88.6504745483,87.4647064209,0,87.4647064209,87.4647064209,1
11,73,8,0.01,0,0.25,none,88.5940170288,0,88.5940170288,88.5940170288,87.5776443481,0,87.5776443481,87.5776443481,1
12,74,8,0.01,0,0.5,none,88.5940170288,0,88.5940170288,88.5940170288,87.2953109741,0,87.2953109741,87.2953109741,1
13,109,16,0.01,0,0.25,none,88.5940170288,0,88.5940170288,88.5940170288,87.5776443481,0,87.5776443481,87.5776443481,1
14,110,16,0.01,0,0.5,none,88.5940170288,0,88.5940170288,88.5940170288,87.2388458252,0,87.2388458252,87.2388458252,1
15,111,16,0.01,0,0.75,none,88.5940170288,0,88.5940170288,88.5940170288,87.1259155273,0,87.1259155273,87.1259155273,1
16,7,2,0.01,0.001,0.25,none,88.4246139526,0,88.4246139526,88.4246139526,87.5776443481,0,87.5776443481,87.5776443481,1
17,6,2,0.01,0.0001,0.75,none,88.1987609863,0,88.1987609863,88.1987609863,86.9000549316,0,86.9000549316,86.9000549316,1
18,8,2,0.01,0.001,0.5,none,88.1987609863,0,88.1987609863,88.1987609863,87.408241272,0,87.408241272,87.408241272,1
19,9,2,0.01,0.001,0.75,none,88.0858230591,0,88.0858230591,88.0858230591,87.1259155273,0,87.1259155273,87.1259155273,1
20,112,16,0.01,0.0001,0.25,none,88.0858230591,0,88.0858230591,88.0858230591,87.1259155273,0,87.1259155273,87.1259155273,1
21,5,2,0.01,0.0001,0.5,none,88.0293579102,0,88.0293579102,88.0293579102,86.8435897827,0,86.8435897827,86.8435897827,1
22,3,2,0.01,0,0.75,none,87.9164276123,0,87.9164276123,87.9164276123,87.0129852295,0,87.0129852295,87.0129852295,1
23,4,2,0.01,0.0001,0.25,none,87.9164276123,0,87.9164276123,87.9164276123,86.4483261108,0,86.4483261108,86.4483261108,1
24,113,16,0.01,0.0001,0.5,none,87.8599624634,0,87.8599624634,87.8599624634,87.0129852295,0,87.0129852295,87.0129852295,1
25,43,4,0.01,0.001,0.25,none,87.8034973145,0,87.8034973145,87.8034973145,86.9565200806,0,86.9565200806,86.9565200806,1
26,44,4,0.01,0.001,0.5,none,87.8034973145,0,87.8034973145,87.8034973145,86.3918685913,0,86.3918685913,86.3918685913,1
