rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,48,4,0.01,0.01,0.75,none,89.1022033691,0,89.1022033691,89.1022033691,87.9729003906,0,87.9729003906,87.9729003906,1
2,59,4,0.001,0.01,0.5,none,89.0457305908,0,89.0457305908,89.0457305908,87.9164276123,0,87.9164276123,87.9164276123,1
3,60,4,0.001,0.01,0.75,none,89.0457305908,0,89.0457305908,89.0457305908,87.9164276123,0,87.9164276123,87.9164276123,1
4,94,8,0.001,0.01,0.25,none,89.0457305908,0,89.0457305908,89.0457305908,87.351776123,0,87.351776123,87.351776123,1
5,58,4,0.001,0.01,0.25,none,88.9892730713,0,88.9892730713,88.9892730713,87.7470321655,0,87.7470321655,87.7470321655,1
6,82,8,0.01,0.01,0.25,none,88.9892730713,0,88.9892730713,88.9892730713,87.4647064209,0,87.4647064209,87.4647064209,1
7,84,8,0.01,0.01,0.75,none,88.9892730713,0,88.9892730713,88.9892730713,87.5776443481,0,87.5776443481,87.5776443481,1
8,95,8,0.001,0.01,0.5,none,88.9892730713,0,88.9892730713,88.9892730713,87.2953109741,0,87.2953109741,87.2953109741,1
9,148,32,0.01,0.0001,0.25,none,88.9892730713,0,88.9892730713,88.9892730713,87.0129852295,0,87.0129852295,87.0129852295,1
10,46,4,0.01,0.01,0.25,none,88.9328079224,0,88.9328079224,88.9328079224,87.9164276123,0,87.9164276123,87.9164276123,1
11,47,4,0.01,0.01,0.5,none,88.876335144,0,88.876335144,88.876335144,87.8034973145,0,87.8034973145,87.8034973145,1
12,51,4,0.001,0,0.75,none,88.876335144,0,88.876335144,88.876335144,87.6341018677,0,87.6341018677,87.6341018677,1
13,83,8,0.01,0.01,0.5,none,88.876335144,0,88.876335144,88.876335144,87.5776443481,0,87.5776443481,87.5776443481,1
14,54,4,0.001,0.0001,0.75,none,88.8198699951,0,88.8198699951,88.8198699951,87.6341018677,0,87.6341018677,87.6341018677,1
15,93,8,0.001,0.001,0.75,none,88.8198699951,0,88.8198699951,88.8198699951,87.5211715698,0,87.5211715698,87.5211715698,1
16,116,16,0.01,0.001,0.5,none,88.8198699951,0,88.8198699951,88.8198699951,87.351776123,0,87.351776123,87.351776123,1
17,50,4,0.001,0,0.5,none,88.7634124756,0,88.7634124756,88.7634124756,87.9164276123,0,87.9164276123,87.9164276123,1
18,53,4,0.001,0.0001,0.5,none,88.7634124756,0,88.7634124756,88.7634124756,87.9164276123,0,87.9164276123,87.9164276123,1
19,56,4,0.001,0.001,0.5,none,88.7634124756,0,88.7634124756,88.7634124756,87.8599624634,0,87.8599624634,87.8599624634,1
20,57,4,0.001,0.001,0.75,none,88.7634124756,0,88.7634124756,88.7634124756,87.8034973145,0,87.8034973145,87.8034973145,1
21,115,16,0.01,0.001,0.25,none,88.7634124756,0,88.7634124756,88.7634124756,87.2388458252,0,87.2388458252,87.2388458252,1
22,117,16,0.01,0.001,0.75,none,88.7634124756,0,88.7634124756,88.7634124756,87.1823806763,0,87.1823806763,87.1823806763,1
23,55,4,0.001,0.001,0.25,none,88.7069473267,0,88.7069473267,88.7069473267,87.9164276123,0,87.9164276123,87.9164276123,1
24,91,8,0.001,0.001,0.25,none,88.7069473267,0,88.7069473267,88.7069473267,87.5776443481,0,87.5776443481,87.5776443481,1
25,96,8,0.001,0.01,0.75,none,88.7069473267,0,88.7069473267,88.7069473267,87.1823806763,0,87.1823806763,87.1823806763,1
26,37,4,0.01,0,0.25,none,88.6504745483,0,88.6504745483,88.6504745483,87.5776443481,0,87.5776443481,87.5776443481,1
27,43,4,0.01,0.001,0.25,none,88.6504745483,0,88.6504745483,88.6504745483,87.5211715698,0,87.5211715698,87.5211715698,1
28,49,4,0.001,0,0.25,none,88.6504745483,0,88.6504745483,88.6504745483,87.5211715698,0,87.5211715698,87.5211715698,1
29,52,4,0.001,0.0001,0.25,none,88.6504745483,0,88.6504745483,88.6504745483,87.4647064209,0,87.4647064209,87.4647064209,1
30,87,8,0.001,0,0.75,none,88.6504745483,0,88.6504745483,88.6504745483,87.5776443481,0,87.5776443481,87.5776443481,1
31,90,8,0.001,0.0001,0.75,none,88.6504745483,0,88.6504745483,88.6504745483,87.5211715698,0,87.5211715698,87.5211715698,1
